GCCSA_NAME21	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
No usual address (NSW)	45-54		1	2010	7
No usual address (NSW)	45-54		1	2015	7
No usual address (NSW)	45-54		1	2020	6
No usual address (NSW)	45-54		1	2021	10
No usual address (NSW)	45-54	Speaks English not well or not at all	0	2005	6
No usual address (NSW)	45-54	Speaks English not well or not at all	0	2015	4
No usual address (NSW)	45-54	Speaks English not well or not at all	0	2017	4
No usual address (NSW)	45-54	Speaks English not well or not at all	0	2019	3
No usual address (NSW)	45-54	Speaks English well or very well	0	2005	52
No usual address (NSW)	45-54	Speaks English well or very well	0	2010	7
No usual address (NSW)	45-54	Speaks English well or very well	0	2015	13
No usual address (NSW)	45-54	Speaks English well or very well	0	2018	4
No usual address (NSW)	45-54	Speaks English well or very well	0	2021	4
No usual address (NSW)	55-64		1		6
No usual address (NSW)	55-64		1	2005	194
No usual address (NSW)	55-64		1	2010	11
No usual address (NSW)	55-64		1	2015	4
No usual address (NSW)	55-64		1	2021	3
No usual address (NSW)	55-64	Speaks English not well or not at all	0	2005	11
No usual address (NSW)	55-64	Speaks English not well or not at all	0	2019	5
No usual address (NSW)	55-64	Speaks English well or very well	0	2005	38
No usual address (NSW)	55-64	Speaks English well or very well	0	2010	4
No usual address (NSW)	55-64	Speaks English well or very well	0	2015	5
No usual address (NSW)	65-74		1		3
No usual address (NSW)	65-74		1	2005	131
No usual address (NSW)	65-74		1	2010	4
No usual address (NSW)	65-74		1	2015	3
No usual address (NSW)	65-74		1	2016	3
No usual address (NSW)	65-74		1	2018	3
No usual address (NSW)	65-74	Speaks English not well or not at all	0	2005	7
No usual address (NSW)	65-74	Speaks English well or very well	0		6
No usual address (NSW)	65-74	Speaks English well or very well	0	2005	30
No usual address (NSW)	75-84				4
No usual address (NSW)	75-84		1	2005	38
No usual address (NSW)	75-84		1	2015	3
No usual address (NSW)	75-84	Speaks English not well or not at all	0	2005	3
No usual address (NSW)	75-84	Speaks English well or very well	0	2005	11
No usual address (NSW)	85+		1	2005	4
No usual address (NSW)	85+	Speaks English not well or not at all	0	2005	4
Greater Sydney	0-14				137
Greater Sydney	0-14			2010	8
Greater Sydney	0-14			2015	25
Greater Sydney	0-14			2016	17
Greater Sydney	0-14			2017	8
Greater Sydney	0-14			2018	14
Greater Sydney	0-14			2019	17
Greater Sydney	0-14			2020	24
Greater Sydney	0-14			2021	28
Greater Sydney	0-14		0		54
Greater Sydney	0-14		0	2010	5
Greater Sydney	0-14		0	2015	26
Greater Sydney	0-14		0	2016	16
Greater Sydney	0-14		0	2017	29
Greater Sydney	0-14		0	2018	63
Greater Sydney	0-14		0	2019	131
Greater Sydney	0-14		0	2020	142
Greater Sydney	0-14		0	2021	89
Greater Sydney	0-14		1		1287
Greater Sydney	0-14		1	2010	3757
Greater Sydney	0-14		1	2015	10794
Greater Sydney	0-14		1	2016	2778
Greater Sydney	0-14		1	2017	2775
Greater Sydney	0-14		1	2018	2883
Greater Sydney	0-14		1	2019	2879
Greater Sydney	0-14		1	2020	1822
Greater Sydney	0-14		1	2021	881
Greater Sydney	0-14	Speaks English not well or not at all	0		451
Greater Sydney	0-14	Speaks English not well or not at all	0	2010	28
Greater Sydney	0-14	Speaks English not well or not at all	0	2015	286
Greater Sydney	0-14	Speaks English not well or not at all	0	2016	271
Greater Sydney	0-14	Speaks English not well or not at all	0	2017	428
Greater Sydney	0-14	Speaks English not well or not at all	0	2018	751
Greater Sydney	0-14	Speaks English not well or not at all	0	2019	1511
Greater Sydney	0-14	Speaks English not well or not at all	0	2020	986
Greater Sydney	0-14	Speaks English not well or not at all	0	2021	831
Greater Sydney	0-14	Speaks English well or very well	0		1692
Greater Sydney	0-14	Speaks English well or very well	0	2010	4120
Greater Sydney	0-14	Speaks English well or very well	0	2015	18466
Greater Sydney	0-14	Speaks English well or very well	0	2016	7429
Greater Sydney	0-14	Speaks English well or very well	0	2017	7028
Greater Sydney	0-14	Speaks English well or very well	0	2018	6778
Greater Sydney	0-14	Speaks English well or very well	0	2019	7005
Greater Sydney	0-14	Speaks English well or very well	0	2020	2851
Greater Sydney	0-14	Speaks English well or very well	0	2021	977
Greater Sydney	15-24				365
Greater Sydney	15-24			2005	17
Greater Sydney	15-24			2010	32
Greater Sydney	15-24			2015	22
Greater Sydney	15-24			2016	8
Greater Sydney	15-24			2017	17
Greater Sydney	15-24			2018	42
Greater Sydney	15-24			2019	41
Greater Sydney	15-24			2020	8
Greater Sydney	15-24		0		26
Greater Sydney	15-24		0	2005	19
Greater Sydney	15-24		0	2010	18
Greater Sydney	15-24		0	2015	21
Greater Sydney	15-24		0	2016	9
Greater Sydney	15-24		0	2017	23
Greater Sydney	15-24		0	2018	34
Greater Sydney	15-24		0	2019	31
Greater Sydney	15-24		0	2020	9
Greater Sydney	15-24		0	2021	4
Greater Sydney	15-24		1		908
Greater Sydney	15-24		1	2005	9677
Greater Sydney	15-24		1	2010	12673
Greater Sydney	15-24		1	2015	5426
Greater Sydney	15-24		1	2016	1132
Greater Sydney	15-24		1	2017	1353
Greater Sydney	15-24		1	2018	1759
Greater Sydney	15-24		1	2019	2174
Greater Sydney	15-24		1	2020	1188
Greater Sydney	15-24		1	2021	428
Greater Sydney	15-24	Speaks English not well or not at all	0		211
Greater Sydney	15-24	Speaks English not well or not at all	0	2005	212
Greater Sydney	15-24	Speaks English not well or not at all	0	2010	183
Greater Sydney	15-24	Speaks English not well or not at all	0	2015	629
Greater Sydney	15-24	Speaks English not well or not at all	0	2016	489
Greater Sydney	15-24	Speaks English not well or not at all	0	2017	747
Greater Sydney	15-24	Speaks English not well or not at all	0	2018	1148
Greater Sydney	15-24	Speaks English not well or not at all	0	2019	1584
Greater Sydney	15-24	Speaks English not well or not at all	0	2020	539
Greater Sydney	15-24	Speaks English not well or not at all	0	2021	181
Greater Sydney	15-24	Speaks English well or very well	0		1791
Greater Sydney	15-24	Speaks English well or very well	0	2005	10922
Greater Sydney	15-24	Speaks English well or very well	0	2010	20576
Greater Sydney	15-24	Speaks English well or very well	0	2015	19535
Greater Sydney	15-24	Speaks English well or very well	0	2016	8077
Greater Sydney	15-24	Speaks English well or very well	0	2017	10732
Greater Sydney	15-24	Speaks English well or very well	0	2018	15029
Greater Sydney	15-24	Speaks English well or very well	0	2019	16192
Greater Sydney	15-24	Speaks English well or very well	0	2020	5904
Greater Sydney	15-24	Speaks English well or very well	0	2021	685
Greater Sydney	25-34				1155
Greater Sydney	25-34			2005	51
Greater Sydney	25-34			2010	46
Greater Sydney	25-34			2015	107
Greater Sydney	25-34			2016	25
Greater Sydney	25-34			2017	43
Greater Sydney	25-34			2018	55
Greater Sydney	25-34			2019	52
Greater Sydney	25-34			2020	13
Greater Sydney	25-34			2021	4
Greater Sydney	25-34		0		72
Greater Sydney	25-34		0	2005	52
Greater Sydney	25-34		0	2010	47
Greater Sydney	25-34		0	2015	75
Greater Sydney	25-34		0	2016	23
Greater Sydney	25-34		0	2017	28
Greater Sydney	25-34		0	2018	45
Greater Sydney	25-34		0	2019	57
Greater Sydney	25-34		0	2020	14
Greater Sydney	25-34		1		1639
Greater Sydney	25-34		1	2005	25696
Greater Sydney	25-34		1	2010	9104
Greater Sydney	25-34		1	2015	18398
Greater Sydney	25-34		1	2016	5807
Greater Sydney	25-34		1	2017	6224
Greater Sydney	25-34		1	2018	6965
Greater Sydney	25-34		1	2019	7282
Greater Sydney	25-34		1	2020	2716
Greater Sydney	25-34		1	2021	755
Greater Sydney	25-34	Speaks English not well or not at all	0		797
Greater Sydney	25-34	Speaks English not well or not at all	0	2005	946
Greater Sydney	25-34	Speaks English not well or not at all	0	2010	3415
Greater Sydney	25-34	Speaks English not well or not at all	0	2015	7275
Greater Sydney	25-34	Speaks English not well or not at all	0	2016	2516
Greater Sydney	25-34	Speaks English not well or not at all	0	2017	2987
Greater Sydney	25-34	Speaks English not well or not at all	0	2018	3321
Greater Sydney	25-34	Speaks English not well or not at all	0	2019	3722
Greater Sydney	25-34	Speaks English not well or not at all	0	2020	993
Greater Sydney	25-34	Speaks English not well or not at all	0	2021	293
Greater Sydney	25-34	Speaks English well or very well	0		3417
Greater Sydney	25-34	Speaks English well or very well	0	2005	37397
Greater Sydney	25-34	Speaks English well or very well	0	2010	43734
Greater Sydney	25-34	Speaks English well or very well	0	2015	65428
Greater Sydney	25-34	Speaks English well or very well	0	2016	20329
Greater Sydney	25-34	Speaks English well or very well	0	2017	22918
Greater Sydney	25-34	Speaks English well or very well	0	2018	25521
Greater Sydney	25-34	Speaks English well or very well	0	2019	26096
Greater Sydney	25-34	Speaks English well or very well	0	2020	7277
Greater Sydney	25-34	Speaks English well or very well	0	2021	1564
Greater Sydney	35-44				917
Greater Sydney	35-44			2005	69
Greater Sydney	35-44			2010	60
Greater Sydney	35-44			2015	70
Greater Sydney	35-44			2016	8
Greater Sydney	35-44			2017	12
Greater Sydney	35-44			2018	18
Greater Sydney	35-44			2019	10
Greater Sydney	35-44			2020	7
Greater Sydney	35-44		0		50
Greater Sydney	35-44		0	2005	101
Greater Sydney	35-44		0	2010	86
Greater Sydney	35-44		0	2015	89
Greater Sydney	35-44		0	2016	17
Greater Sydney	35-44		0	2017	18
Greater Sydney	35-44		0	2018	13
Greater Sydney	35-44		0	2019	27
Greater Sydney	35-44		0	2020	5
Greater Sydney	35-44		0	2021	4
Greater Sydney	35-44		1		1443
Greater Sydney	35-44		1	2005	45796
Greater Sydney	35-44		1	2010	21819
Greater Sydney	35-44		1	2015	17305
Greater Sydney	35-44		1	2016	2773
Greater Sydney	35-44		1	2017	2292
Greater Sydney	35-44		1	2018	1964
Greater Sydney	35-44		1	2019	1950
Greater Sydney	35-44		1	2020	950
Greater Sydney	35-44		1	2021	406
Greater Sydney	35-44	Speaks English not well or not at all	0		769
Greater Sydney	35-44	Speaks English not well or not at all	0	2005	4850
Greater Sydney	35-44	Speaks English not well or not at all	0	2010	8298
Greater Sydney	35-44	Speaks English not well or not at all	0	2015	8499
Greater Sydney	35-44	Speaks English not well or not at all	0	2016	2232
Greater Sydney	35-44	Speaks English not well or not at all	0	2017	2632
Greater Sydney	35-44	Speaks English not well or not at all	0	2018	2114
Greater Sydney	35-44	Speaks English not well or not at all	0	2019	2327
Greater Sydney	35-44	Speaks English not well or not at all	0	2020	761
Greater Sydney	35-44	Speaks English not well or not at all	0	2021	211
Greater Sydney	35-44	Speaks English well or very well	0		2484
Greater Sydney	35-44	Speaks English well or very well	0	2005	92640
Greater Sydney	35-44	Speaks English well or very well	0	2010	84101
Greater Sydney	35-44	Speaks English well or very well	0	2015	55000
Greater Sydney	35-44	Speaks English well or very well	0	2016	12207
Greater Sydney	35-44	Speaks English well or very well	0	2017	11247
Greater Sydney	35-44	Speaks English well or very well	0	2018	9982
Greater Sydney	35-44	Speaks English well or very well	0	2019	8920
Greater Sydney	35-44	Speaks English well or very well	0	2020	3190
Greater Sydney	35-44	Speaks English well or very well	0	2021	1250
Greater Sydney	45-54				613
Greater Sydney	45-54			2005	79
Greater Sydney	45-54			2010	30
Greater Sydney	45-54			2015	13
Greater Sydney	45-54			2016	6
Greater Sydney	45-54			2017	4
Greater Sydney	45-54			2018	3
Greater Sydney	45-54			2019	5
Greater Sydney	45-54			2020	4
Greater Sydney	45-54		0		58
Greater Sydney	45-54		0	2005	194
Greater Sydney	45-54		0	2010	42
Greater Sydney	45-54		0	2015	34
Greater Sydney	45-54		0	2016	15
Greater Sydney	45-54		0	2017	14
Greater Sydney	45-54		0	2018	10
Greater Sydney	45-54		0	2019	12
Greater Sydney	45-54		0	2020	11
Greater Sydney	45-54		1		1406
Greater Sydney	45-54		1	2005	74295
Greater Sydney	45-54		1	2010	13007
Greater Sydney	45-54		1	2015	6065
Greater Sydney	45-54		1	2016	880
Greater Sydney	45-54		1	2017	711
Greater Sydney	45-54		1	2018	660
Greater Sydney	45-54		1	2019	666
Greater Sydney	45-54		1	2020	412
Greater Sydney	45-54		1	2021	173
Greater Sydney	45-54	Speaks English not well or not at all	0		1102
Greater Sydney	45-54	Speaks English not well or not at all	0	2005	17852
Greater Sydney	45-54	Speaks English not well or not at all	0	2010	7923
Greater Sydney	45-54	Speaks English not well or not at all	0	2015	6406
Greater Sydney	45-54	Speaks English not well or not at all	0	2016	1924
Greater Sydney	45-54	Speaks English not well or not at all	0	2017	2274
Greater Sydney	45-54	Speaks English not well or not at all	0	2018	1657
Greater Sydney	45-54	Speaks English not well or not at all	0	2019	1832
Greater Sydney	45-54	Speaks English not well or not at all	0	2020	728
Greater Sydney	45-54	Speaks English not well or not at all	0	2021	156
Greater Sydney	45-54	Speaks English well or very well	0		1932
Greater Sydney	45-54	Speaks English well or very well	0	2005	114073
Greater Sydney	45-54	Speaks English well or very well	0	2010	29731
Greater Sydney	45-54	Speaks English well or very well	0	2015	13702
Greater Sydney	45-54	Speaks English well or very well	0	2016	2357
Greater Sydney	45-54	Speaks English well or very well	0	2017	1991
Greater Sydney	45-54	Speaks English well or very well	0	2018	1670
Greater Sydney	45-54	Speaks English well or very well	0	2019	1621
Greater Sydney	45-54	Speaks English well or very well	0	2020	851
Greater Sydney	45-54	Speaks English well or very well	0	2021	320
Greater Sydney	55-64				719
Greater Sydney	55-64			2005	146
Greater Sydney	55-64			2010	15
Greater Sydney	55-64			2015	9
Greater Sydney	55-64			2016	4
Greater Sydney	55-64			2018	9
Greater Sydney	55-64			2019	5
Greater Sydney	55-64		0		65
Greater Sydney	55-64		0	2005	247
Greater Sydney	55-64		0	2010	36
Greater Sydney	55-64		0	2015	31
Greater Sydney	55-64		0	2016	4
Greater Sydney	55-64		0	2018	4
Greater Sydney	55-64		0	2019	16
Greater Sydney	55-64		0	2020	7
Greater Sydney	55-64		1		1342
Greater Sydney	55-64		1	2005	84173
Greater Sydney	55-64		1	2010	4224
Greater Sydney	55-64		1	2015	1773
Greater Sydney	55-64		1	2016	255
Greater Sydney	55-64		1	2017	227
Greater Sydney	55-64		1	2018	231
Greater Sydney	55-64		1	2019	275
Greater Sydney	55-64		1	2020	222
Greater Sydney	55-64		1	2021	68
Greater Sydney	55-64	Speaks English not well or not at all	0		1805
Greater Sydney	55-64	Speaks English not well or not at all	0	2005	37020
Greater Sydney	55-64	Speaks English not well or not at all	0	2010	6203
Greater Sydney	55-64	Speaks English not well or not at all	0	2015	6295
Greater Sydney	55-64	Speaks English not well or not at all	0	2016	1974
Greater Sydney	55-64	Speaks English not well or not at all	0	2017	1578
Greater Sydney	55-64	Speaks English not well or not at all	0	2018	1429
Greater Sydney	55-64	Speaks English not well or not at all	0	2019	3173
Greater Sydney	55-64	Speaks English not well or not at all	0	2020	1394
Greater Sydney	55-64	Speaks English not well or not at all	0	2021	222
Greater Sydney	55-64	Speaks English well or very well	0		2007
Greater Sydney	55-64	Speaks English well or very well	0	2005	119953
Greater Sydney	55-64	Speaks English well or very well	0	2010	7193
Greater Sydney	55-64	Speaks English well or very well	0	2015	3173
Greater Sydney	55-64	Speaks English well or very well	0	2016	591
Greater Sydney	55-64	Speaks English well or very well	0	2017	490
Greater Sydney	55-64	Speaks English well or very well	0	2018	402
Greater Sydney	55-64	Speaks English well or very well	0	2019	798
Greater Sydney	55-64	Speaks English well or very well	0	2020	508
Greater Sydney	55-64	Speaks English well or very well	0	2021	130
Greater Sydney	65-74				944
Greater Sydney	65-74			2005	180
Greater Sydney	65-74			2010	9
Greater Sydney	65-74			2015	10
Greater Sydney	65-74		0		57
Greater Sydney	65-74		0	2005	314
Greater Sydney	65-74		0	2010	20
Greater Sydney	65-74		0	2015	19
Greater Sydney	65-74		0	2016	3
Greater Sydney	65-74		0	2017	3
Greater Sydney	65-74		0	2018	4
Greater Sydney	65-74		0	2019	7
Greater Sydney	65-74		0	2020	6
Greater Sydney	65-74		1		1332
Greater Sydney	65-74		1	2005	70865
Greater Sydney	65-74		1	2010	1116
Greater Sydney	65-74		1	2015	746
Greater Sydney	65-74		1	2016	107
Greater Sydney	65-74		1	2017	105
Greater Sydney	65-74		1	2018	121
Greater Sydney	65-74		1	2019	184
Greater Sydney	65-74		1	2020	147
Greater Sydney	65-74		1	2021	48
Greater Sydney	65-74	Speaks English not well or not at all	0		1399
Greater Sydney	65-74	Speaks English not well or not at all	0	2005	36332
Greater Sydney	65-74	Speaks English not well or not at all	0	2010	5152
Greater Sydney	65-74	Speaks English not well or not at all	0	2015	6596
Greater Sydney	65-74	Speaks English not well or not at all	0	2016	1662
Greater Sydney	65-74	Speaks English not well or not at all	0	2017	1129
Greater Sydney	65-74	Speaks English not well or not at all	0	2018	1133
Greater Sydney	65-74	Speaks English not well or not at all	0	2019	2651
Greater Sydney	65-74	Speaks English not well or not at all	0	2020	1163
Greater Sydney	65-74	Speaks English not well or not at all	0	2021	137
Greater Sydney	65-74	Speaks English well or very well	0		1504
Greater Sydney	65-74	Speaks English well or very well	0	2005	84255
Greater Sydney	65-74	Speaks English well or very well	0	2010	1826
Greater Sydney	65-74	Speaks English well or very well	0	2015	1455
Greater Sydney	65-74	Speaks English well or very well	0	2016	276
Greater Sydney	65-74	Speaks English well or very well	0	2017	248
Greater Sydney	65-74	Speaks English well or very well	0	2018	243
Greater Sydney	65-74	Speaks English well or very well	0	2019	626
Greater Sydney	65-74	Speaks English well or very well	0	2020	496
Greater Sydney	65-74	Speaks English well or very well	0	2021	72
Greater Sydney	75-84				1872
Greater Sydney	75-84			2005	198
Greater Sydney	75-84			2010	6
Greater Sydney	75-84			2015	4
Greater Sydney	75-84		0		109
Greater Sydney	75-84		0	2005	234
Greater Sydney	75-84		0	2010	3
Greater Sydney	75-84		0	2015	6
Greater Sydney	75-84		0	2019	7
Greater Sydney	75-84		1		1197
Greater Sydney	75-84		1	2005	41068
Greater Sydney	75-84		1	2010	753
Greater Sydney	75-84		1	2015	393
Greater Sydney	75-84		1	2016	59
Greater Sydney	75-84		1	2017	73
Greater Sydney	75-84		1	2018	52
Greater Sydney	75-84		1	2019	89
Greater Sydney	75-84		1	2020	78
Greater Sydney	75-84		1	2021	16
Greater Sydney	75-84	Speaks English not well or not at all	0		1039
Greater Sydney	75-84	Speaks English not well or not at all	0	2005	27305
Greater Sydney	75-84	Speaks English not well or not at all	0	2010	2728
Greater Sydney	75-84	Speaks English not well or not at all	0	2015	2137
Greater Sydney	75-84	Speaks English not well or not at all	0	2016	500
Greater Sydney	75-84	Speaks English not well or not at all	0	2017	358
Greater Sydney	75-84	Speaks English not well or not at all	0	2018	307
Greater Sydney	75-84	Speaks English not well or not at all	0	2019	706
Greater Sydney	75-84	Speaks English not well or not at all	0	2020	293
Greater Sydney	75-84	Speaks English not well or not at all	0	2021	14
Greater Sydney	75-84	Speaks English well or very well	0		976
Greater Sydney	75-84	Speaks English well or very well	0	2005	39939
Greater Sydney	75-84	Speaks English well or very well	0	2010	701
Greater Sydney	75-84	Speaks English well or very well	0	2015	454
Greater Sydney	75-84	Speaks English well or very well	0	2016	79
Greater Sydney	75-84	Speaks English well or very well	0	2017	92
Greater Sydney	75-84	Speaks English well or very well	0	2018	56
Greater Sydney	75-84	Speaks English well or very well	0	2019	221
Greater Sydney	75-84	Speaks English well or very well	0	2020	136
Greater Sydney	75-84	Speaks English well or very well	0	2021	16
Greater Sydney	85+				2871
Greater Sydney	85+			2005	154
Greater Sydney	85+			2010	9
Greater Sydney	85+			2015	4
Greater Sydney	85+		0		125
Greater Sydney	85+		0	2005	143
Greater Sydney	85+		0	2010	4
Greater Sydney	85+		0	2019	3
Greater Sydney	85+		1		949
Greater Sydney	85+		1	2005	12510
Greater Sydney	85+		1	2010	195
Greater Sydney	85+		1	2015	100
Greater Sydney	85+		1	2016	15
Greater Sydney	85+		1	2017	19
Greater Sydney	85+		1	2018	19
Greater Sydney	85+		1	2019	31
Greater Sydney	85+		1	2020	17
Greater Sydney	85+		1	2021	4
Greater Sydney	85+	Speaks English not well or not at all	0		1175
Greater Sydney	85+	Speaks English not well or not at all	0	2005	15147
Greater Sydney	85+	Speaks English not well or not at all	0	2010	693
Greater Sydney	85+	Speaks English not well or not at all	0	2015	429
Greater Sydney	85+	Speaks English not well or not at all	0	2016	111
Greater Sydney	85+	Speaks English not well or not at all	0	2017	68
Greater Sydney	85+	Speaks English not well or not at all	0	2018	47
Greater Sydney	85+	Speaks English not well or not at all	0	2019	125
Greater Sydney	85+	Speaks English not well or not at all	0	2020	60
Greater Sydney	85+	Speaks English not well or not at all	0	2021	9
Greater Sydney	85+	Speaks English well or very well	0		771
Greater Sydney	85+	Speaks English well or very well	0	2005	12076
Greater Sydney	85+	Speaks English well or very well	0	2010	158
Greater Sydney	85+	Speaks English well or very well	0	2015	79
Greater Sydney	85+	Speaks English well or very well	0	2016	7
Greater Sydney	85+	Speaks English well or very well	0	2017	8
Greater Sydney	85+	Speaks English well or very well	0	2018	7
Greater Sydney	85+	Speaks English well or very well	0	2019	28
Greater Sydney	85+	Speaks English well or very well	0	2020	23
Greater Sydney	85+	Speaks English well or very well	0	2021	4
Rest of NSW	0-14				25
Rest of NSW	0-14			2015	3
Rest of NSW	0-14			2018	3
Rest of NSW	0-14			2019	5
Rest of NSW	0-14			2020	5
Rest of NSW	0-14		0		8
Rest of NSW	0-14		0	2015	9
Rest of NSW	0-14		0	2016	3
Rest of NSW	0-14		0	2017	3
Rest of NSW	0-14		0	2018	4
Rest of NSW	0-14		0	2019	16
Rest of NSW	0-14		0	2020	15
Rest of NSW	0-14		0	2021	13
Rest of NSW	0-14		1		386
Rest of NSW	0-14		1	2010	1108
Rest of NSW	0-14		1	2015	2792
Rest of NSW	0-14		1	2016	587
Rest of NSW	0-14		1	2017	611
Rest of NSW	0-14		1	2018	586
Rest of NSW	0-14		1	2019	744
Rest of NSW	0-14		1	2020	458
Rest of NSW	0-14		1	2021	257
Rest of NSW	0-14	Speaks English not well or not at all	0		76
Rest of NSW	0-14	Speaks English not well or not at all	0	2010	9
Rest of NSW	0-14	Speaks English not well or not at all	0	2015	37
Rest of NSW	0-14	Speaks English not well or not at all	0	2016	32
Rest of NSW	0-14	Speaks English not well or not at all	0	2017	47
Rest of NSW	0-14	Speaks English not well or not at all	0	2018	121
Rest of NSW	0-14	Speaks English not well or not at all	0	2019	313
Rest of NSW	0-14	Speaks English not well or not at all	0	2020	151
Rest of NSW	0-14	Speaks English not well or not at all	0	2021	110
Rest of NSW	0-14	Speaks English well or very well	0		266
Rest of NSW	0-14	Speaks English well or very well	0	2010	443
Rest of NSW	0-14	Speaks English well or very well	0	2015	2095
Rest of NSW	0-14	Speaks English well or very well	0	2016	768
Rest of NSW	0-14	Speaks English well or very well	0	2017	801
Rest of NSW	0-14	Speaks English well or very well	0	2018	1150
Rest of NSW	0-14	Speaks English well or very well	0	2019	1337
Rest of NSW	0-14	Speaks English well or very well	0	2020	450
Rest of NSW	0-14	Speaks English well or very well	0	2021	148
Rest of NSW	15-24				124
Rest of NSW	15-24			2005	4
Rest of NSW	15-24			2010	7
Rest of NSW	15-24			2017	3
Rest of NSW	15-24			2018	5
Rest of NSW	15-24			2019	3
Rest of NSW	15-24		0	2010	6
Rest of NSW	15-24		0	2016	3
Rest of NSW	15-24		0	2017	4
Rest of NSW	15-24		0	2018	3
Rest of NSW	15-24		0	2019	5
Rest of NSW	15-24		1		281
Rest of NSW	15-24		1	2005	2023
Rest of NSW	15-24		1	2010	3170
Rest of NSW	15-24		1	2015	1430
Rest of NSW	15-24		1	2016	237
Rest of NSW	15-24		1	2017	252
Rest of NSW	15-24		1	2018	278
Rest of NSW	15-24		1	2019	358
Rest of NSW	15-24		1	2020	255
Rest of NSW	15-24		1	2021	116
Rest of NSW	15-24	Speaks English not well or not at all	0		22
Rest of NSW	15-24	Speaks English not well or not at all	0	2005	16
