GCCSA_NAME21	Religion	Denomination	Sex	persons
No usual address (NSW)	Judaism		M	10
No usual address (NSW)	No religion		F	1648
No usual address (NSW)	No religion		M	2014
Greater Sydney	(Other)		F	165542
Greater Sydney	(Other)		M	176931
Greater Sydney	(Other)	(Other)	F	14906
Greater Sydney	(Other)	(Other)	M	13327
Greater Sydney	(Other)	Australian Aboriginal Traditional	F	252
Greater Sydney	(Other)	Australian Aboriginal Traditional	M	237
Greater Sydney	(Other)	Other spiritual beliefs	F	4970
Greater Sydney	(Other)	Other spiritual beliefs	M	3125
Greater Sydney	(Other)	Secular beliefs	F	6384
Greater Sydney	(Other)	Secular beliefs	M	8007
Greater Sydney	(Other)	Sikhism	F	18081
Greater Sydney	(Other)	Sikhism	M	20630
Greater Sydney	Buddhism		F	114103
Greater Sydney	Buddhism		M	86443
Greater Sydney	Christianity		F	69792
Greater Sydney	Christianity		M	61991
Greater Sydney	Christianity	(Other)	F	2088
Greater Sydney	Christianity	(Other)	M	1873
Greater Sydney	Christianity	Anglican	F	258625
Greater Sydney	Christianity	Anglican	M	220153
Greater Sydney	Christianity	Assyrian Apostolic	F	7888
Greater Sydney	Christianity	Assyrian Apostolic	M	7315
Greater Sydney	Christianity	Baptist	F	32541
Greater Sydney	Christianity	Baptist	M	28393
Greater Sydney	Christianity	Brethren	F	1820
Greater Sydney	Christianity	Brethren	M	1761
Greater Sydney	Christianity	Catholic	F	634217
Greater Sydney	Christianity	Catholic	M	576760
Greater Sydney	Christianity	Churches Of Christ	F	2024
Greater Sydney	Christianity	Churches Of Christ	M	1727
Greater Sydney	Christianity	Eastern Orthodox	F	90990
Greater Sydney	Christianity	Eastern Orthodox	M	86398
Greater Sydney	Christianity	Jehovah's Witnesses	F	6988
Greater Sydney	Christianity	Jehovah's Witnesses	M	5309
Greater Sydney	Christianity	Latter Day Saints	F	5945
Greater Sydney	Christianity	Latter Day Saints	M	5575
Greater Sydney	Christianity	Lutheran	F	4359
Greater Sydney	Christianity	Lutheran	M	3560
Greater Sydney	Christianity	Oriental Orthodox	F	14751
Greater Sydney	Christianity	Oriental Orthodox	M	14532
Greater Sydney	Christianity	Pentecostal	F	26122
Greater Sydney	Christianity	Pentecostal	M	21782
Greater Sydney	Christianity	Presbyterian Reformed	F	43000
Greater Sydney	Christianity	Presbyterian Reformed	M	37272
Greater Sydney	Christianity	Protestant (Other)	F	13200
Greater Sydney	Christianity	Protestant (Other)	M	11866
Greater Sydney	Christianity	Salvation Army	F	2519
Greater Sydney	Christianity	Salvation Army	M	1865
Greater Sydney	Christianity	Seventh Day Adventist	F	6275
Greater Sydney	Christianity	Seventh Day Adventist	M	5217
Greater Sydney	Christianity	Uniting Church	F	43412
Greater Sydney	Christianity	Uniting Church	M	34568
Greater Sydney	Hinduism		F	120398
Greater Sydney	Hinduism		M	132804
Greater Sydney	Islam		F	158119
Greater Sydney	Islam		M	171446
Greater Sydney	Judaism		F	19509
Greater Sydney	Judaism		M	18373
Greater Sydney	No religion		F	757093
Greater Sydney	No religion		M	825990
Rest of NSW	(Other)		F	106842
Rest of NSW	(Other)		M	121262
Rest of NSW	(Other)	(Other)	F	6207
Rest of NSW	(Other)	(Other)	M	4115
Rest of NSW	(Other)	Australian Aboriginal Traditional	F	469
Rest of NSW	(Other)	Australian Aboriginal Traditional	M	454
Rest of NSW	(Other)	Other spiritual beliefs	F	3322
Rest of NSW	(Other)	Other spiritual beliefs	M	2002
Rest of NSW	(Other)	Secular beliefs	F	3419
Rest of NSW	(Other)	Secular beliefs	M	4313
Rest of NSW	(Other)	Sikhism	F	3929
Rest of NSW	(Other)	Sikhism	M	4515
Rest of NSW	Buddhism		F	13227
Rest of NSW	Buddhism		M	8865
Rest of NSW	Christianity		F	33040
Rest of NSW	Christianity		M	28691
Rest of NSW	Christianity	(Other)	F	1225
Rest of NSW	Christianity	(Other)	M	1089
Rest of NSW	Christianity	Anglican	F	258762
Rest of NSW	Christianity	Anglican	M	221869
Rest of NSW	Christianity	Assyrian Apostolic	F	21
Rest of NSW	Christianity	Assyrian Apostolic	M	29
Rest of NSW	Christianity	Baptist	F	17224
Rest of NSW	Christianity	Baptist	M	15373
Rest of NSW	Christianity	Brethren	F	1785
Rest of NSW	Christianity	Brethren	M	1786
Rest of NSW	Christianity	Catholic	F	314782
Rest of NSW	Christianity	Catholic	M	280752
Rest of NSW	Christianity	Churches Of Christ	F	969
Rest of NSW	Christianity	Churches Of Christ	M	729
Rest of NSW	Christianity	Eastern Orthodox	F	12238
Rest of NSW	Christianity	Eastern Orthodox	M	12302
Rest of NSW	Christianity	Jehovah's Witnesses	F	6244
Rest of NSW	Christianity	Jehovah's Witnesses	M	4816
Rest of NSW	Christianity	Latter Day Saints	F	1820
Rest of NSW	Christianity	Latter Day Saints	M	1545
Rest of NSW	Christianity	Lutheran	F	5128
Rest of NSW	Christianity	Lutheran	M	4107
Rest of NSW	Christianity	Oriental Orthodox	F	736
Rest of NSW	Christianity	Oriental Orthodox	M	770
Rest of NSW	Christianity	Pentecostal	F	13044
Rest of NSW	Christianity	Pentecostal	M	10607
Rest of NSW	Christianity	Presbyterian Reformed	F	38784
Rest of NSW	Christianity	Presbyterian Reformed	M	34287
Rest of NSW	Christianity	Protestant (Other)	F	5492
Rest of NSW	Christianity	Protestant (Other)	M	5020
Rest of NSW	Christianity	Salvation Army	F	3815
Rest of NSW	Christianity	Salvation Army	M	2858
Rest of NSW	Christianity	Seventh Day Adventist	F	6106
Rest of NSW	Christianity	Seventh Day Adventist	M	5104
Rest of NSW	Christianity	Uniting Church	F	53120
Rest of NSW	Christianity	Uniting Church	M	40856
Rest of NSW	Hinduism		F	9532
Rest of NSW	Hinduism		M	10977
Rest of NSW	Islam		F	8982
Rest of NSW	Islam		M	10527
Rest of NSW	Judaism		F	1183
Rest of NSW	Judaism		M	1172
Rest of NSW	No religion		F	505643
Rest of NSW	No religion		M	551772
No usual address (Vic.)	(Other)		F	1494
No usual address (Vic.)	(Other)		M	2361
No usual address (Vic.)	(Other)	(Other)	F	23
No usual address (Vic.)	(Other)	(Other)	M	25
No usual address (Vic.)	(Other)	Other spiritual beliefs	F	14
No usual address (Vic.)	(Other)	Other spiritual beliefs	M	15
No usual address (Vic.)	(Other)	Secular beliefs	F	12
No usual address (Vic.)	(Other)	Secular beliefs	M	18
No usual address (Vic.)	(Other)	Sikhism	F	3
No usual address (Vic.)	(Other)	Sikhism	M	13
No usual address (Vic.)	Buddhism		F	63
No usual address (Vic.)	Buddhism		M	64
No usual address (Vic.)	Christianity		F	101
No usual address (Vic.)	Christianity		M	114
No usual address (Vic.)	Christianity	(Other)	F	4
No usual address (Vic.)	Christianity	(Other)	M	10
No usual address (Vic.)	Christianity	Anglican	F	162
No usual address (Vic.)	Christianity	Anglican	M	160
No usual address (Vic.)	Christianity	Baptist	F	25
No usual address (Vic.)	Christianity	Baptist	M	21
No usual address (Vic.)	Christianity	Catholic	F	371
No usual address (Vic.)	Christianity	Catholic	M	401
No usual address (Vic.)	Christianity	Churches Of Christ	F	9
No usual address (Vic.)	Christianity	Churches Of Christ	M	6
No usual address (Vic.)	Christianity	Eastern Orthodox	F	35
No usual address (Vic.)	Christianity	Eastern Orthodox	M	40
No usual address (Vic.)	Christianity	Jehovah's Witnesses	F	11
No usual address (Vic.)	Christianity	Jehovah's Witnesses	M	3
No usual address (Vic.)	Christianity	Latter Day Saints	F	7
No usual address (Vic.)	Christianity	Latter Day Saints	M	16
No usual address (Vic.)	Christianity	Lutheran	F	9
No usual address (Vic.)	Christianity	Oriental Orthodox	F	6
No usual address (Vic.)	Christianity	Oriental Orthodox	M	4
No usual address (Vic.)	Christianity	Pentecostal	F	20
No usual address (Vic.)	Christianity	Pentecostal	M	13
No usual address (Vic.)	Christianity	Presbyterian Reformed	F	29
No usual address (Vic.)	Christianity	Presbyterian Reformed	M	45
No usual address (Vic.)	Christianity	Protestant (Other)	F	15
No usual address (Vic.)	Christianity	Protestant (Other)	M	13
No usual address (Vic.)	Christianity	Salvation Army	F	5
No usual address (Vic.)	Christianity	Salvation Army	M	9
No usual address (Vic.)	Christianity	Seventh Day Adventist	F	6
No usual address (Vic.)	Christianity	Uniting Church	F	66
No usual address (Vic.)	Christianity	Uniting Church	M	62
No usual address (Vic.)	Hinduism		F	29
No usual address (Vic.)	Hinduism		M	49
No usual address (Vic.)	Islam		F	100
No usual address (Vic.)	Islam		M	104
No usual address (Vic.)	Judaism		F	8
No usual address (Vic.)	Judaism		M	15
No usual address (Vic.)	No religion		F	1297
No usual address (Vic.)	No religion		M	1584
Migratory - Offshore - Shipping (Vic.)	(Other)		F	3
Migratory - Offshore - Shipping (Vic.)	(Other)		M	24
Migratory - Offshore - Shipping (Vic.)	Christianity	Anglican	M	3
Migratory - Offshore - Shipping (Vic.)	Christianity	Catholic	M	5
Migratory - Offshore - Shipping (Vic.)	No religion		M	7
Greater Melbourne	(Other)		F	147351
Greater Melbourne	(Other)		M	158844
Greater Melbourne	(Other)	(Other)	F	10157
Greater Melbourne	(Other)	(Other)	M	8325
Greater Melbourne	(Other)	Australian Aboriginal Traditional	F	106
Greater Melbourne	(Other)	Australian Aboriginal Traditional	M	100
Greater Melbourne	(Other)	Other spiritual beliefs	F	5328
Greater Melbourne	(Other)	Other spiritual beliefs	M	3186
Greater Melbourne	(Other)	Secular beliefs	F	6556
Greater Melbourne	(Other)	Secular beliefs	M	8246
Greater Melbourne	(Other)	Sikhism	F	39536
Greater Melbourne	(Other)	Sikhism	M	45751
Greater Melbourne	Buddhism		F	105665
Greater Melbourne	Buddhism		M	84786
Greater Melbourne	Christianity		F	71484
Greater Melbourne	Christianity		M	61355
Greater Melbourne	Christianity	(Other)	F	1834
Greater Melbourne	Christianity	(Other)	M	1569
Greater Melbourne	Christianity	Anglican	F	150505
Greater Melbourne	Christianity	Anglican	M	119395
Greater Melbourne	Christianity	Assyrian Apostolic	F	1888
Greater Melbourne	Christianity	Assyrian Apostolic	M	1818
Greater Melbourne	Christianity	Baptist	F	33273
Greater Melbourne	Christianity	Baptist	M	29175
Greater Melbourne	Christianity	Brethren	F	1006
Greater Melbourne	Christianity	Brethren	M	1010
Greater Melbourne	Christianity	Catholic	F	541109
Greater Melbourne	Christianity	Catholic	M	482990
Greater Melbourne	Christianity	Churches Of Christ	F	3845
Greater Melbourne	Christianity	Churches Of Christ	M	3050
Greater Melbourne	Christianity	Eastern Orthodox	F	106287
Greater Melbourne	Christianity	Eastern Orthodox	M	99786
Greater Melbourne	Christianity	Jehovah's Witnesses	F	6070
Greater Melbourne	Christianity	Jehovah's Witnesses	M	4744
Greater Melbourne	Christianity	Latter Day Saints	F	5015
Greater Melbourne	Christianity	Latter Day Saints	M	4622
Greater Melbourne	Christianity	Lutheran	F	6843
Greater Melbourne	Christianity	Lutheran	M	5351
Greater Melbourne	Christianity	Oriental Orthodox	F	9391
Greater Melbourne	Christianity	Oriental Orthodox	M	8992
Greater Melbourne	Christianity	Pentecostal	F	23251
Greater Melbourne	Christianity	Pentecostal	M	20003
Greater Melbourne	Christianity	Presbyterian Reformed	F	29347
Greater Melbourne	Christianity	Presbyterian Reformed	M	24696
Greater Melbourne	Christianity	Protestant (Other)	F	10065
Greater Melbourne	Christianity	Protestant (Other)	M	8733
Greater Melbourne	Christianity	Salvation Army	F	2664
Greater Melbourne	Christianity	Salvation Army	M	1883
Greater Melbourne	Christianity	Seventh Day Adventist	F	4454
Greater Melbourne	Christianity	Seventh Day Adventist	M	3770
Greater Melbourne	Christianity	Uniting Church	F	48068
Greater Melbourne	Christianity	Uniting Church	M	34505
Greater Melbourne	Hinduism		F	94716
Greater Melbourne	Hinduism		M	108471
Greater Melbourne	Islam		F	124498
Greater Melbourne	Islam		M	133752
Greater Melbourne	Judaism		F	23788
Greater Melbourne	Judaism		M	21911
Greater Melbourne	No religion		F	882927
Greater Melbourne	No religion		M	929893
Rest of Vic.	(Other)		F	60742
Rest of Vic.	(Other)		M	67672
Rest of Vic.	(Other)	(Other)	F	2841
Rest of Vic.	(Other)	(Other)	M	1804
Rest of Vic.	(Other)	Australian Aboriginal Traditional	F	78
Rest of Vic.	(Other)	Australian Aboriginal Traditional	M	102
Rest of Vic.	(Other)	Other spiritual beliefs	F	1766
Rest of Vic.	(Other)	Other spiritual beliefs	M	970
Rest of Vic.	(Other)	Secular beliefs	F	1853
Rest of Vic.	(Other)	Secular beliefs	M	2311
Rest of Vic.	(Other)	Sikhism	F	2987
Rest of Vic.	(Other)	Sikhism	M	3455
Rest of Vic.	Buddhism		F	7868
Rest of Vic.	Buddhism		M	6040
Rest of Vic.	Christianity		F	17525
Rest of Vic.	Christianity		M	15055
Rest of Vic.	Christianity	(Other)	F	517
Rest of Vic.	Christianity	(Other)	M	424
Rest of Vic.	Christianity	Anglican	F	85323
Rest of Vic.	Christianity	Anglican	M	69455
Rest of Vic.	Christianity	Assyrian Apostolic	F	3
Rest of Vic.	Christianity	Assyrian Apostolic	M	7
Rest of Vic.	Christianity	Baptist	F	10422
Rest of Vic.	Christianity	Baptist	M	9128
Rest of Vic.	Christianity	Brethren	F	1074
Rest of Vic.	Christianity	Brethren	M	1078
Rest of Vic.	Christianity	Catholic	F	164801
Rest of Vic.	Christianity	Catholic	M	146105
Rest of Vic.	Christianity	Churches Of Christ	F	1945
Rest of Vic.	Christianity	Churches Of Christ	M	1447
Rest of Vic.	Christianity	Eastern Orthodox	F	5256
Rest of Vic.	Christianity	Eastern Orthodox	M	5385
Rest of Vic.	Christianity	Jehovah's Witnesses	F	2689
Rest of Vic.	Christianity	Jehovah's Witnesses	M	2003
Rest of Vic.	Christianity	Latter Day Saints	F	944
Rest of Vic.	Christianity	Latter Day Saints	M	859
Rest of Vic.	Christianity	Lutheran	F	5941
Rest of Vic.	Christianity	Lutheran	M	4948
Rest of Vic.	Christianity	Oriental Orthodox	F	316
Rest of Vic.	Christianity	Oriental Orthodox	M	352
Rest of Vic.	Christianity	Pentecostal	F	6061
Rest of Vic.	Christianity	Pentecostal	M	5147
Rest of Vic.	Christianity	Presbyterian Reformed	F	18474
Rest of Vic.	Christianity	Presbyterian Reformed	M	16208
Rest of Vic.	Christianity	Protestant (Other)	F	2152
Rest of Vic.	Christianity	Protestant (Other)	M	1947
Rest of Vic.	Christianity	Salvation Army	F	1762
Rest of Vic.	Christianity	Salvation Army	M	1188
Rest of Vic.	Christianity	Seventh Day Adventist	F	1457
Rest of Vic.	Christianity	Seventh Day Adventist	M	1237
Rest of Vic.	Christianity	Uniting Church	F	41850
Rest of Vic.	Christianity	Uniting Church	M	31600
Rest of Vic.	Hinduism		F	4767
Rest of Vic.	Hinduism		M	6020
Rest of Vic.	Islam		F	6596
Rest of Vic.	Islam		M	7976
Rest of Vic.	Judaism		F	468
Rest of Vic.	Judaism		M	450
Rest of Vic.	No religion		F	343083
Rest of Vic.	No religion		M	364669
No usual address (Qld)	(Other)		F	1617
No usual address (Qld)	(Other)		M	2313
No usual address (Qld)	(Other)	(Other)	F	48
No usual address (Qld)	(Other)	(Other)	M	27
No usual address (Qld)	(Other)	Other spiritual beliefs	F	34
No usual address (Qld)	(Other)	Other spiritual beliefs	M	31
No usual address (Qld)	(Other)	Secular beliefs	F	26
No usual address (Qld)	(Other)	Secular beliefs	M	43
No usual address (Qld)	(Other)	Sikhism	F	8
No usual address (Qld)	(Other)	Sikhism	M	5
No usual address (Qld)	Buddhism		F	80
No usual address (Qld)	Buddhism		M	42
No usual address (Qld)	Christianity		F	205
No usual address (Qld)	Christianity		M	197
No usual address (Qld)	Christianity	(Other)	F	10
No usual address (Qld)	Christianity	(Other)	M	16
No usual address (Qld)	Christianity	Anglican	F	592
No usual address (Qld)	Christianity	Anglican	M	650
No usual address (Qld)	Christianity	Baptist	F	64
No usual address (Qld)	Christianity	Baptist	M	59
No usual address (Qld)	Christianity	Brethren	F	3
No usual address (Qld)	Christianity	Catholic	F	748
No usual address (Qld)	Christianity	Catholic	M	757
No usual address (Qld)	Christianity	Eastern Orthodox	F	19
No usual address (Qld)	Christianity	Eastern Orthodox	M	32
No usual address (Qld)	Christianity	Jehovah's Witnesses	F	30
No usual address (Qld)	Christianity	Jehovah's Witnesses	M	13
No usual address (Qld)	Christianity	Latter Day Saints	F	15
No usual address (Qld)	Christianity	Latter Day Saints	M	16
No usual address (Qld)	Christianity	Lutheran	F	39
No usual address (Qld)	Christianity	Lutheran	M	23
No usual address (Qld)	Christianity	Pentecostal	F	76
No usual address (Qld)	Christianity	Pentecostal	M	70
No usual address (Qld)	Christianity	Presbyterian Reformed	F	133
No usual address (Qld)	Christianity	Presbyterian Reformed	M	132
No usual address (Qld)	Christianity	Protestant (Other)	F	28
No usual address (Qld)	Christianity	Protestant (Other)	M	28
No usual address (Qld)	Christianity	Salvation Army	F	20
No usual address (Qld)	Christianity	Salvation Army	M	18
No usual address (Qld)	Christianity	Seventh Day Adventist	F	26
No usual address (Qld)	Christianity	Seventh Day Adventist	M	19
No usual address (Qld)	Christianity	Uniting Church	F	188
No usual address (Qld)	Christianity	Uniting Church	M	200
No usual address (Qld)	Hinduism		F	16
No usual address (Qld)	Hinduism		M	28
No usual address (Qld)	Islam		F	38
No usual address (Qld)	Islam		M	39
No usual address (Qld)	Judaism		F	9
No usual address (Qld)	Judaism		M	8
No usual address (Qld)	No religion		F	2724
No usual address (Qld)	No religion		M	3084
Migratory - Offshore - Shipping (Qld)	(Other)		F	28
Migratory - Offshore - Shipping (Qld)	(Other)		M	110
Migratory - Offshore - Shipping (Qld)	Christianity	Anglican	M	5
Migratory - Offshore - Shipping (Qld)	Christianity	Catholic	M	17
Migratory - Offshore - Shipping (Qld)	No religion		F	4
Migratory - Offshore - Shipping (Qld)	No religion		M	12
Greater Brisbane	(Other)		F	78948
Greater Brisbane	(Other)		M	90912
Greater Brisbane	(Other)	(Other)	F	6080
Greater Brisbane	(Other)	(Other)	M	4514
Greater Brisbane	(Other)	Australian Aboriginal Traditional	F	158
Greater Brisbane	(Other)	Australian Aboriginal Traditional	M	129
Greater Brisbane	(Other)	Other spiritual beliefs	F	3151
Greater Brisbane	(Other)	Other spiritual beliefs	M	1832
Greater Brisbane	(Other)	Secular beliefs	F	3743
Greater Brisbane	(Other)	Secular beliefs	M	4719
Greater Brisbane	(Other)	Sikhism	F	9381
Greater Brisbane	(Other)	Sikhism	M	10716
Greater Brisbane	Buddhism		F	27788
Greater Brisbane	Buddhism		M	19896
Greater Brisbane	Christianity		F	43165
Greater Brisbane	Christianity		M	36902
Greater Brisbane	Christianity	(Other)	F	2826
Greater Brisbane	Christianity	(Other)	M	2522
Greater Brisbane	Christianity	Anglican	F	134001
Greater Brisbane	Christianity	Anglican	M	111852
Greater Brisbane	Christianity	Assyrian Apostolic	F	37
Greater Brisbane	Christianity	Assyrian Apostolic	M	22
Greater Brisbane	Christianity	Baptist	F	26711
Greater Brisbane	Christianity	Baptist	M	23952
Greater Brisbane	Christianity	Brethren	F	571
Greater Brisbane	Christianity	Brethren	M	567
Greater Brisbane	Christianity	Catholic	F	250979
Greater Brisbane	Christianity	Catholic	M	219213
Greater Brisbane	Christianity	Churches Of Christ	F	1792
Greater Brisbane	Christianity	Churches Of Christ	M	1422
Greater Brisbane	Christianity	Eastern Orthodox	F	12137
Greater Brisbane	Christianity	Eastern Orthodox	M	11557
Greater Brisbane	Christianity	Jehovah's Witnesses	F	6143
Greater Brisbane	Christianity	Jehovah's Witnesses	M	4787
Greater Brisbane	Christianity	Latter Day Saints	F	7004
Greater Brisbane	Christianity	Latter Day Saints	M	6447
Greater Brisbane	Christianity	Lutheran	F	11094
Greater Brisbane	Christianity	Lutheran	M	8870
Greater Brisbane	Christianity	Oriental Orthodox	F	1476
Greater Brisbane	Christianity	Oriental Orthodox	M	1464
Greater Brisbane	Christianity	Pentecostal	F	18710
Greater Brisbane	Christianity	Pentecostal	M	15717
Greater Brisbane	Christianity	Presbyterian Reformed	F	25910
Greater Brisbane	Christianity	Presbyterian Reformed	M	22981
Greater Brisbane	Christianity	Protestant (Other)	F	7174
Greater Brisbane	Christianity	Protestant (Other)	M	6443
Greater Brisbane	Christianity	Salvation Army	F	2482
Greater Brisbane	Christianity	Salvation Army	M	1850
Greater Brisbane	Christianity	Seventh Day Adventist	F	4912
Greater Brisbane	Christianity	Seventh Day Adventist	M	4080
Greater Brisbane	Christianity	Uniting Church	F	46682
Greater Brisbane	Christianity	Uniting Church	M	35053
Greater Brisbane	Hinduism		F	24333
Greater Brisbane	Hinduism		M	26236
Greater Brisbane	Islam		F	22595
Greater Brisbane	Islam		M	24004
Greater Brisbane	Judaism		F	1184
Greater Brisbane	Judaism		M	1135
Greater Brisbane	No religion		F	502724
Greater Brisbane	No religion		M	542563
Rest of Qld	(Other)		F	110015
Rest of Qld	(Other)		M	130471
Rest of Qld	(Other)	(Other)	F	6462
Rest of Qld	(Other)	(Other)	M	4612
Rest of Qld	(Other)	Australian Aboriginal Traditional	F	342
Rest of Qld	(Other)	Australian Aboriginal Traditional	M	356
Rest of Qld	(Other)	Other spiritual beliefs	F	3499
Rest of Qld	(Other)	Other spiritual beliefs	M	2120
Rest of Qld	(Other)	Secular beliefs	F	2826
Rest of Qld	(Other)	Secular beliefs	M	3660
Rest of Qld	(Other)	Sikhism	F	3475
Rest of Qld	(Other)	Sikhism	M	4127
Rest of Qld	Buddhism		F	15750
Rest of Qld	Buddhism		M	10136
Rest of Qld	Christianity		F	42628
Rest of Qld	Christianity		M	36859
Rest of Qld	Christianity	(Other)	F	1867
Rest of Qld	Christianity	(Other)	M	1705
Rest of Qld	Christianity	Anglican	F	180551
Rest of Qld	Christianity	Anglican	M	153720
Rest of Qld	Christianity	Assyrian Apostolic	F	19
Rest of Qld	Christianity	Assyrian Apostolic	M	24
Rest of Qld	Christianity	Baptist	F	19101
Rest of Qld	Christianity	Baptist	M	16987
Rest of Qld	Christianity	Brethren	F	970
Rest of Qld	Christianity	Brethren	M	948
Rest of Qld	Christianity	Catholic	F	260238
Rest of Qld	Christianity	Catholic	M	229518
Rest of Qld	Christianity	Churches Of Christ	F	2595
Rest of Qld	Christianity	Churches Of Christ	M	2092
Rest of Qld	Christianity	Eastern Orthodox	F	6037
Rest of Qld	Christianity	Eastern Orthodox	M	5599
Rest of Qld	Christianity	Jehovah's Witnesses	F	7895
Rest of Qld	Christianity	Jehovah's Witnesses	M	5967
Rest of Qld	Christianity	Latter Day Saints	F	3502
Rest of Qld	Christianity	Latter Day Saints	M	3203
Rest of Qld	Christianity	Lutheran	F	14885
Rest of Qld	Christianity	Lutheran	M	12602
Rest of Qld	Christianity	Oriental Orthodox	F	628
Rest of Qld	Christianity	Oriental Orthodox	M	654
Rest of Qld	Christianity	Pentecostal	F	19214
Rest of Qld	Christianity	Pentecostal	M	16112
Rest of Qld	Christianity	Presbyterian Reformed	F	30982
Rest of Qld	Christianity	Presbyterian Reformed	M	28526
Rest of Qld	Christianity	Protestant (Other)	F	5633
Rest of Qld	Christianity	Protestant (Other)	M	5076
Rest of Qld	Christianity	Salvation Army	F	2639
Rest of Qld	Christianity	Salvation Army	M	1975
Rest of Qld	Christianity	Seventh Day Adventist	F	4532
Rest of Qld	Christianity	Seventh Day Adventist	M	3690
Rest of Qld	Christianity	Uniting Church	F	58516
Rest of Qld	Christianity	Uniting Church	M	45728
Rest of Qld	Hinduism		F	8965
Rest of Qld	Hinduism		M	9952
Rest of Qld	Islam		F	6473
Rest of Qld	Islam		M	7223
Rest of Qld	Judaism		F	1276
Rest of Qld	Judaism		M	1205
Rest of Qld	No religion		F	503496
Rest of Qld	No religion		M	545163
No usual address (SA)	(Other)		F	342
No usual address (SA)	(Other)		M	550
No usual address (SA)	(Other)	(Other)	F	19
No usual address (SA)	(Other)	(Other)	M	15
No usual address (SA)	(Other)	Other spiritual beliefs	F	12
No usual address (SA)	(Other)	Other spiritual beliefs	M	9
No usual address (SA)	(Other)	Secular beliefs	F	5
No usual address (SA)	(Other)	Secular beliefs	M	7
No usual address (SA)	(Other)	Sikhism	F	3
No usual address (SA)	Buddhism		F	19
No usual address (SA)	Buddhism		M	19
No usual address (SA)	Christianity		F	39
No usual address (SA)	Christianity		M	33
No usual address (SA)	Christianity	(Other)	F	3
No usual address (SA)	Christianity	Anglican	F	79
No usual address (SA)	Christianity	Anglican	M	96
No usual address (SA)	Christianity	Baptist	F	10
No usual address (SA)	Christianity	Baptist	M	12
No usual address (SA)	Christianity	Catholic	F	142
No usual address (SA)	Christianity	Catholic	M	135
No usual address (SA)	Christianity	Eastern Orthodox	F	6
No usual address (SA)	Christianity	Eastern Orthodox	M	12
No usual address (SA)	Christianity	Jehovah's Witnesses	F	3
No usual address (SA)	Christianity	Jehovah's Witnesses	M	4
No usual address (SA)	Christianity	Latter Day Saints	M	5
No usual address (SA)	Christianity	Lutheran	F	22
No usual address (SA)	Christianity	Lutheran	M	14
No usual address (SA)	Christianity	Pentecostal	F	16
No usual address (SA)	Christianity	Pentecostal	M	14
No usual address (SA)	Christianity	Presbyterian Reformed	F	14
