GCCSA_NAME21	DwellingStructure	DwellingSubtype	HouseholdComposition	occupied_private_dwellings
Rest of NSW	(Other)	Improvised home, tent sleepers	Couple family with children	42
Rest of NSW	(Other)	Improvised home, tent sleepers	Couple family with no children	102
Rest of NSW	(Other)	Improvised home, tent sleepers	Group household	25
Rest of NSW	(Other)	Improvised home, tent sleepers	Lone-person household	258
Rest of NSW	(Other)	Improvised home, tent sleepers	One parent family with children	39
Rest of NSW	(Other)	Improvised home, tent sleepers	Other family	3
Rest of NSW	Flat/apartment		Couple family with children	348
Rest of NSW	Flat/apartment		Couple family with no children	554
Rest of NSW	Flat/apartment		Group household	110
Rest of NSW	Flat/apartment		Lone-person household	863
Rest of NSW	Flat/apartment		One parent family with children	233
Rest of NSW	Flat/apartment		Other family	28
Rest of NSW	Flat/apartment	1 or 2 storey block	Couple family with children	2908
Rest of NSW	Flat/apartment	1 or 2 storey block	Couple family with no children	6473
Rest of NSW	Flat/apartment	1 or 2 storey block	Group household	2005
Rest of NSW	Flat/apartment	1 or 2 storey block	Lone-person household	24052
Rest of NSW	Flat/apartment	1 or 2 storey block	One parent family with children	3593
Rest of NSW	Flat/apartment	1 or 2 storey block	Other family	432
Rest of NSW	Flat/apartment	3 storey block	Couple family with children	841
Rest of NSW	Flat/apartment	3 storey block	Couple family with no children	2525
Rest of NSW	Flat/apartment	3 storey block	Group household	856
Rest of NSW	Flat/apartment	3 storey block	Lone-person household	5782
Rest of NSW	Flat/apartment	3 storey block	One parent family with children	884
Rest of NSW	Flat/apartment	3 storey block	Other family	107
Rest of NSW	Flat/apartment	4-8 storey block	Couple family with children	804
Rest of NSW	Flat/apartment	4-8 storey block	Couple family with no children	3383
Rest of NSW	Flat/apartment	4-8 storey block	Group household	726
Rest of NSW	Flat/apartment	4-8 storey block	Lone-person household	5063
Rest of NSW	Flat/apartment	4-8 storey block	One parent family with children	678
Rest of NSW	Flat/apartment	4-8 storey block	Other family	123
Rest of NSW	Flat/apartment	9 or more storey block	Couple family with children	391
Rest of NSW	Flat/apartment	9 or more storey block	Couple family with no children	1682
Rest of NSW	Flat/apartment	9 or more storey block	Group household	367
Rest of NSW	Flat/apartment	9 or more storey block	Lone-person household	1973
Rest of NSW	Flat/apartment	9 or more storey block	One parent family with children	229
Rest of NSW	Flat/apartment	9 or more storey block	Other family	37
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	5442
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	8951
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.		Group household	2332
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	15009
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	5156
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.		Other family	454
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	5857
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	14728
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	2482
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	38121
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	7332
Rest of NSW	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	705
Rest of NSW	Separate house		Couple family with children	266367
Rest of NSW	Separate house		Couple family with no children	275361
Rest of NSW	Separate house		Group household	25547
Rest of NSW	Separate house		Lone-person household	199896
Rest of NSW	Separate house		One parent family with children	106386
Rest of NSW	Separate house		Other family	8541
Greater Melbourne			Couple family with children	328
Greater Melbourne			Couple family with no children	369
Greater Melbourne			Group household	123
Greater Melbourne			Lone-person household	837
Greater Melbourne			One parent family with children	143
Greater Melbourne			Other family	29
Greater Melbourne	(Other)	Cabin household	Couple family with children	22
Greater Melbourne	(Other)	Cabin household	Couple family with no children	182
Greater Melbourne	(Other)	Cabin household	Group household	25
Greater Melbourne	(Other)	Cabin household	Lone-person household	1148
Greater Melbourne	(Other)	Cabin household	One parent family with children	56
Greater Melbourne	(Other)	Cabin household	Other family	9
Greater Melbourne	(Other)	Caravan	Couple family with children	7
Greater Melbourne	(Other)	Caravan	Couple family with no children	61
Greater Melbourne	(Other)	Caravan	Group household	4
Greater Melbourne	(Other)	Caravan	Lone-person household	331
Greater Melbourne	(Other)	Caravan	One parent family with children	11
Greater Melbourne	(Other)	Caravan	Other family	4
Greater Melbourne	(Other)	House or flat attached to a shop, office, etc	Couple family with children	451
Greater Melbourne	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	916
Greater Melbourne	(Other)	House or flat attached to a shop, office, etc	Group household	456
Greater Melbourne	(Other)	House or flat attached to a shop, office, etc	Lone-person household	1531
Greater Melbourne	(Other)	House or flat attached to a shop, office, etc	One parent family with children	260
Greater Melbourne	(Other)	House or flat attached to a shop, office, etc	Other family	59
Greater Melbourne	(Other)	Improvised home, tent sleepers	Couple family with children	4
Greater Melbourne	(Other)	Improvised home, tent sleepers	Couple family with no children	3
Greater Melbourne	(Other)	Improvised home, tent sleepers	Lone-person household	14
Greater Melbourne	(Other)	Improvised home, tent sleepers	One parent family with children	5
Greater Melbourne	Flat/apartment		Couple family with children	217
Greater Melbourne	Flat/apartment		Couple family with no children	189
Greater Melbourne	Flat/apartment		Group household	24
Greater Melbourne	Flat/apartment		Lone-person household	463
Greater Melbourne	Flat/apartment		One parent family with children	104
Greater Melbourne	Flat/apartment		Other family	14
Greater Melbourne	Flat/apartment	1 or 2 storey block	Couple family with children	11324
Greater Melbourne	Flat/apartment	1 or 2 storey block	Couple family with no children	18975
Greater Melbourne	Flat/apartment	1 or 2 storey block	Group household	5543
Greater Melbourne	Flat/apartment	1 or 2 storey block	Lone-person household	42577
Greater Melbourne	Flat/apartment	1 or 2 storey block	One parent family with children	6931
Greater Melbourne	Flat/apartment	1 or 2 storey block	Other family	1288
Greater Melbourne	Flat/apartment	3 storey block	Couple family with children	3967
Greater Melbourne	Flat/apartment	3 storey block	Couple family with no children	13020
Greater Melbourne	Flat/apartment	3 storey block	Group household	4386
Greater Melbourne	Flat/apartment	3 storey block	Lone-person household	27729
Greater Melbourne	Flat/apartment	3 storey block	One parent family with children	2888
Greater Melbourne	Flat/apartment	3 storey block	Other family	812
Greater Melbourne	Flat/apartment	4-8 storey block	Couple family with children	4576
Greater Melbourne	Flat/apartment	4-8 storey block	Couple family with no children	17255
Greater Melbourne	Flat/apartment	4-8 storey block	Group household	4657
Greater Melbourne	Flat/apartment	4-8 storey block	Lone-person household	31975
Greater Melbourne	Flat/apartment	4-8 storey block	One parent family with children	3319
Greater Melbourne	Flat/apartment	4-8 storey block	Other family	964
Greater Melbourne	Flat/apartment	9 or more storey block	Couple family with children	5442
Greater Melbourne	Flat/apartment	9 or more storey block	Couple family with no children	19984
Greater Melbourne	Flat/apartment	9 or more storey block	Group household	8363
Greater Melbourne	Flat/apartment	9 or more storey block	Lone-person household	35051
Greater Melbourne	Flat/apartment	9 or more storey block	One parent family with children	3691
Greater Melbourne	Flat/apartment	9 or more storey block	Other family	1790
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	37262
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	34443
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.		Group household	9264
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	29779
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	14679
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.		Other family	2083
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	32079
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	38287
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	8240
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	64333
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	16028
Greater Melbourne	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	2059
Greater Melbourne	Separate house		Couple family with children	519629
Greater Melbourne	Separate house		Couple family with no children	292408
Greater Melbourne	Separate house		Group household	35527
Greater Melbourne	Separate house		Lone-person household	205364
Greater Melbourne	Separate house		One parent family with children	140904
Greater Melbourne	Separate house		Other family	14067
Rest of Vic.			Couple family with children	186
Rest of Vic.			Couple family with no children	308
Rest of Vic.			Group household	79
Rest of Vic.			Lone-person household	494
Rest of Vic.			One parent family with children	65
Rest of Vic.			Other family	8
Rest of Vic.	(Other)	Cabin household	Couple family with children	87
Rest of Vic.	(Other)	Cabin household	Couple family with no children	521
Rest of Vic.	(Other)	Cabin household	Group household	75
Rest of Vic.	(Other)	Cabin household	Lone-person household	1313
Rest of Vic.	(Other)	Cabin household	One parent family with children	97
Rest of Vic.	(Other)	Cabin household	Other family	14
Rest of Vic.	(Other)	Caravan	Couple family with children	70
Rest of Vic.	(Other)	Caravan	Couple family with no children	296
Rest of Vic.	(Other)	Caravan	Group household	48
Rest of Vic.	(Other)	Caravan	Lone-person household	1056
Rest of Vic.	(Other)	Caravan	One parent family with children	53
Rest of Vic.	(Other)	Caravan	Other family	6
Rest of Vic.	(Other)	House or flat attached to a shop, office, etc	Couple family with children	192
Rest of Vic.	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	304
Rest of Vic.	(Other)	House or flat attached to a shop, office, etc	Group household	54
Rest of Vic.	(Other)	House or flat attached to a shop, office, etc	Lone-person household	470
Rest of Vic.	(Other)	House or flat attached to a shop, office, etc	One parent family with children	80
Rest of Vic.	(Other)	House or flat attached to a shop, office, etc	Other family	12
Rest of Vic.	(Other)	Improvised home, tent sleepers	Couple family with children	22
Rest of Vic.	(Other)	Improvised home, tent sleepers	Couple family with no children	45
Rest of Vic.	(Other)	Improvised home, tent sleepers	Group household	9
Rest of Vic.	(Other)	Improvised home, tent sleepers	Lone-person household	76
Rest of Vic.	(Other)	Improvised home, tent sleepers	One parent family with children	9
Rest of Vic.	Flat/apartment		Couple family with children	22
Rest of Vic.	Flat/apartment		Couple family with no children	34
Rest of Vic.	Flat/apartment		Lone-person household	95
Rest of Vic.	Flat/apartment		One parent family with children	12
Rest of Vic.	Flat/apartment	1 or 2 storey block	Couple family with children	531
Rest of Vic.	Flat/apartment	1 or 2 storey block	Couple family with no children	1532
Rest of Vic.	Flat/apartment	1 or 2 storey block	Group household	381
Rest of Vic.	Flat/apartment	1 or 2 storey block	Lone-person household	7109
Rest of Vic.	Flat/apartment	1 or 2 storey block	One parent family with children	810
Rest of Vic.	Flat/apartment	1 or 2 storey block	Other family	96
Rest of Vic.	Flat/apartment	3 storey block	Couple family with children	31
Rest of Vic.	Flat/apartment	3 storey block	Couple family with no children	105
Rest of Vic.	Flat/apartment	3 storey block	Group household	27
Rest of Vic.	Flat/apartment	3 storey block	Lone-person household	294
Rest of Vic.	Flat/apartment	3 storey block	One parent family with children	30
Rest of Vic.	Flat/apartment	3 storey block	Other family	3
Rest of Vic.	Flat/apartment	4-8 storey block	Couple family with children	21
Rest of Vic.	Flat/apartment	4-8 storey block	Couple family with no children	77
Rest of Vic.	Flat/apartment	4-8 storey block	Group household	23
Rest of Vic.	Flat/apartment	4-8 storey block	Lone-person household	208
Rest of Vic.	Flat/apartment	4-8 storey block	One parent family with children	13
Rest of Vic.	Flat/apartment	4-8 storey block	Other family	3
Rest of Vic.	Flat/apartment	9 or more storey block	Couple family with children	8
Rest of Vic.	Flat/apartment	9 or more storey block	Couple family with no children	70
Rest of Vic.	Flat/apartment	9 or more storey block	Group household	7
Rest of Vic.	Flat/apartment	9 or more storey block	Lone-person household	63
Rest of Vic.	Flat/apartment	9 or more storey block	One parent family with children	6
Rest of Vic.	Flat/apartment	9 or more storey block	Other family	5
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	676
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	1401
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.		Group household	355
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	2121
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	672
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.		Other family	66
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	2489
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	6542
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	1343
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	24483
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	3198
Rest of Vic.	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	378
Rest of Vic.	Separate house		Couple family with children	155421
Rest of Vic.	Separate house		Couple family with no children	170159
Rest of Vic.	Separate house		Group household	15545
Rest of Vic.	Separate house		Lone-person household	140629
Rest of Vic.	Separate house		One parent family with children	60665
Rest of Vic.	Separate house		Other family	5088
Greater Brisbane			Couple family with children	224
Greater Brisbane			Couple family with no children	313
Greater Brisbane			Group household	110
Greater Brisbane			Lone-person household	876
Greater Brisbane			One parent family with children	137
Greater Brisbane			Other family	16
Greater Brisbane	(Other)	Cabin household	Couple family with children	67
Greater Brisbane	(Other)	Cabin household	Couple family with no children	313
Greater Brisbane	(Other)	Cabin household	Group household	47
Greater Brisbane	(Other)	Cabin household	Lone-person household	1290
Greater Brisbane	(Other)	Cabin household	One parent family with children	100
Greater Brisbane	(Other)	Cabin household	Other family	11
Greater Brisbane	(Other)	Caravan	Couple family with children	41
Greater Brisbane	(Other)	Caravan	Couple family with no children	299
Greater Brisbane	(Other)	Caravan	Group household	31
Greater Brisbane	(Other)	Caravan	Lone-person household	983
Greater Brisbane	(Other)	Caravan	One parent family with children	64
Greater Brisbane	(Other)	House or flat attached to a shop, office, etc	Couple family with children	61
Greater Brisbane	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	84
Greater Brisbane	(Other)	House or flat attached to a shop, office, etc	Group household	39
Greater Brisbane	(Other)	House or flat attached to a shop, office, etc	Lone-person household	115
Greater Brisbane	(Other)	House or flat attached to a shop, office, etc	One parent family with children	27
Greater Brisbane	(Other)	House or flat attached to a shop, office, etc	Other family	3
Greater Brisbane	(Other)	Improvised home, tent sleepers	Couple family with children	20
Greater Brisbane	(Other)	Improvised home, tent sleepers	Couple family with no children	16
Greater Brisbane	(Other)	Improvised home, tent sleepers	Group household	3
Greater Brisbane	(Other)	Improvised home, tent sleepers	Lone-person household	32
Greater Brisbane	(Other)	Improvised home, tent sleepers	One parent family with children	11
Greater Brisbane	Flat/apartment		Couple family with children	214
Greater Brisbane	Flat/apartment		Couple family with no children	471
Greater Brisbane	Flat/apartment		Group household	136
Greater Brisbane	Flat/apartment		Lone-person household	699
Greater Brisbane	Flat/apartment		One parent family with children	134
Greater Brisbane	Flat/apartment		Other family	29
Greater Brisbane	Flat/apartment	1 or 2 storey block	Couple family with children	2894
Greater Brisbane	Flat/apartment	1 or 2 storey block	Couple family with no children	6420
Greater Brisbane	Flat/apartment	1 or 2 storey block	Group household	2689
Greater Brisbane	Flat/apartment	1 or 2 storey block	Lone-person household	19782
Greater Brisbane	Flat/apartment	1 or 2 storey block	One parent family with children	3116
Greater Brisbane	Flat/apartment	1 or 2 storey block	Other family	609
Greater Brisbane	Flat/apartment	3 storey block	Couple family with children	2986
Greater Brisbane	Flat/apartment	3 storey block	Couple family with no children	8773
Greater Brisbane	Flat/apartment	3 storey block	Group household	3585
Greater Brisbane	Flat/apartment	3 storey block	Lone-person household	16313
Greater Brisbane	Flat/apartment	3 storey block	One parent family with children	2491
Greater Brisbane	Flat/apartment	3 storey block	Other family	755
Greater Brisbane	Flat/apartment	4-8 storey block	Couple family with children	2885
Greater Brisbane	Flat/apartment	4-8 storey block	Couple family with no children	9728
Greater Brisbane	Flat/apartment	4-8 storey block	Group household	3404
Greater Brisbane	Flat/apartment	4-8 storey block	Lone-person household	12740
Greater Brisbane	Flat/apartment	4-8 storey block	One parent family with children	1736
Greater Brisbane	Flat/apartment	4-8 storey block	Other family	555
Greater Brisbane	Flat/apartment	9 or more storey block	Couple family with children	2502
Greater Brisbane	Flat/apartment	9 or more storey block	Couple family with no children	9880
Greater Brisbane	Flat/apartment	9 or more storey block	Group household	3367
Greater Brisbane	Flat/apartment	9 or more storey block	Lone-person household	13046
Greater Brisbane	Flat/apartment	9 or more storey block	One parent family with children	1447
Greater Brisbane	Flat/apartment	9 or more storey block	Other family	502
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	13790
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	15886
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.		Group household	5034
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.		Lone-person household	22985
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.		One parent family with children	12279
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.		Other family	1386
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with children	2760
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.	1 storey	Couple family with no children	6679
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.	1 storey	Group household	1042
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.	1 storey	Lone-person household	17435
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.	1 storey	One parent family with children	3903
Greater Brisbane	Semi-detached, row/terrace house, townhouse etc.	1 storey	Other family	374
Greater Brisbane	Separate house		Couple family with children	264565
Greater Brisbane	Separate house		Couple family with no children	181331
Greater Brisbane	Separate house		Group household	22940
Greater Brisbane	Separate house		Lone-person household	109242
Greater Brisbane	Separate house		One parent family with children	83272
Greater Brisbane	Separate house		Other family	7884
Rest of Qld			Couple family with children	602
Rest of Qld			Couple family with no children	1213
Rest of Qld			Group household	179
Rest of Qld			Lone-person household	1938
Rest of Qld			One parent family with children	283
Rest of Qld			Other family	40
Rest of Qld	(Other)	Cabin household	Couple family with children	138
Rest of Qld	(Other)	Cabin household	Couple family with no children	646
Rest of Qld	(Other)	Cabin household	Group household	86
Rest of Qld	(Other)	Cabin household	Lone-person household	1478
Rest of Qld	(Other)	Cabin household	One parent family with children	127
Rest of Qld	(Other)	Cabin household	Other family	23
Rest of Qld	(Other)	Caravan	Couple family with children	257
Rest of Qld	(Other)	Caravan	Couple family with no children	1664
Rest of Qld	(Other)	Caravan	Group household	177
Rest of Qld	(Other)	Caravan	Lone-person household	3147
Rest of Qld	(Other)	Caravan	One parent family with children	198
Rest of Qld	(Other)	Caravan	Other family	36
Rest of Qld	(Other)	House or flat attached to a shop, office, etc	Couple family with children	151
Rest of Qld	(Other)	House or flat attached to a shop, office, etc	Couple family with no children	281
Rest of Qld	(Other)	House or flat attached to a shop, office, etc	Group household	58
Rest of Qld	(Other)	House or flat attached to a shop, office, etc	Lone-person household	335
Rest of Qld	(Other)	House or flat attached to a shop, office, etc	One parent family with children	99
Rest of Qld	(Other)	House or flat attached to a shop, office, etc	Other family	9
Rest of Qld	(Other)	Improvised home, tent sleepers	Couple family with children	97
Rest of Qld	(Other)	Improvised home, tent sleepers	Couple family with no children	200
Rest of Qld	(Other)	Improvised home, tent sleepers	Group household	33
Rest of Qld	(Other)	Improvised home, tent sleepers	Lone-person household	522
Rest of Qld	(Other)	Improvised home, tent sleepers	One parent family with children	62
Rest of Qld	(Other)	Improvised home, tent sleepers	Other family	4
Rest of Qld	Flat/apartment		Couple family with children	154
Rest of Qld	Flat/apartment		Couple family with no children	271
Rest of Qld	Flat/apartment		Group household	27
Rest of Qld	Flat/apartment		Lone-person household	374
Rest of Qld	Flat/apartment		One parent family with children	91
Rest of Qld	Flat/apartment		Other family	3
Rest of Qld	Flat/apartment	1 or 2 storey block	Couple family with children	2973
Rest of Qld	Flat/apartment	1 or 2 storey block	Couple family with no children	6711
Rest of Qld	Flat/apartment	1 or 2 storey block	Group household	2263
Rest of Qld	Flat/apartment	1 or 2 storey block	Lone-person household	20236
Rest of Qld	Flat/apartment	1 or 2 storey block	One parent family with children	4354
Rest of Qld	Flat/apartment	1 or 2 storey block	Other family	483
Rest of Qld	Flat/apartment	3 storey block	Couple family with children	2050
Rest of Qld	Flat/apartment	3 storey block	Couple family with no children	6316
Rest of Qld	Flat/apartment	3 storey block	Group household	2212
Rest of Qld	Flat/apartment	3 storey block	Lone-person household	10411
Rest of Qld	Flat/apartment	3 storey block	One parent family with children	2260
Rest of Qld	Flat/apartment	3 storey block	Other family	319
Rest of Qld	Flat/apartment	4-8 storey block	Couple family with children	1583
Rest of Qld	Flat/apartment	4-8 storey block	Couple family with no children	6532
Rest of Qld	Flat/apartment	4-8 storey block	Group household	1458
Rest of Qld	Flat/apartment	4-8 storey block	Lone-person household	7267
Rest of Qld	Flat/apartment	4-8 storey block	One parent family with children	1585
Rest of Qld	Flat/apartment	4-8 storey block	Other family	264
Rest of Qld	Flat/apartment	9 or more storey block	Couple family with children	1620
Rest of Qld	Flat/apartment	9 or more storey block	Couple family with no children	7559
Rest of Qld	Flat/apartment	9 or more storey block	Group household	1199
Rest of Qld	Flat/apartment	9 or more storey block	Lone-person household	7670
Rest of Qld	Flat/apartment	9 or more storey block	One parent family with children	1220
Rest of Qld	Flat/apartment	9 or more storey block	Other family	171
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.		Couple family with children	9234
Rest of Qld	Semi-detached, row/terrace house, townhouse etc.		Couple family with no children	14156
