SED_NAME16	IndigenousStatus	persons
Shellharbour	Both Aboriginal & Torres Strait Islander	50
Shellharbour	Non-indigenous	84172
Shellharbour	Torres Strait Islander	71
South Coast	Aboriginal	4811
South Coast	Both Aboriginal & Torres Strait Islander	88
South Coast	Non-indigenous	71668
South Coast	Torres Strait Islander	93
Strathfield	Aboriginal	434
Strathfield	Both Aboriginal & Torres Strait Islander	13
Strathfield	Non-indigenous	101757
Strathfield	Torres Strait Islander	20
Summer Hill	Aboriginal	903
Summer Hill	Both Aboriginal & Torres Strait Islander	37
Summer Hill	Non-indigenous	80060
Summer Hill	Torres Strait Islander	26
Swansea	Aboriginal	4108
Swansea	Both Aboriginal & Torres Strait Islander	84
Swansea	Non-indigenous	69869
Swansea	Torres Strait Islander	63
Sydney	Aboriginal	638
Sydney	Both Aboriginal & Torres Strait Islander	31
Sydney	Non-indigenous	92699
Sydney	Torres Strait Islander	33
Tamworth	Aboriginal	10188
Tamworth	Both Aboriginal & Torres Strait Islander	272
Tamworth	Non-indigenous	70258
Tamworth	Torres Strait Islander	138
Terrigal	Aboriginal	2075
Terrigal	Both Aboriginal & Torres Strait Islander	29
Terrigal	Non-indigenous	75449
Terrigal	Torres Strait Islander	60
The Entrance	Aboriginal	3704
The Entrance	Both Aboriginal & Torres Strait Islander	61
The Entrance	Non-indigenous	72178
The Entrance	Torres Strait Islander	66
Tweed	Aboriginal	3193
Tweed	Both Aboriginal & Torres Strait Islander	322
Tweed	Non-indigenous	77406
Tweed	Torres Strait Islander	227
Upper Hunter	Aboriginal	6751
Upper Hunter	Both Aboriginal & Torres Strait Islander	156
Upper Hunter	Non-indigenous	71810
Upper Hunter	Torres Strait Islander	110
Vaucluse	Aboriginal	250
Vaucluse	Both Aboriginal & Torres Strait Islander	8
Vaucluse	Non-indigenous	79757
Vaucluse	Torres Strait Islander	21
Wagga Wagga	Aboriginal	5201
Wagga Wagga	Both Aboriginal & Torres Strait Islander	76
Wagga Wagga	Non-indigenous	76960
Wagga Wagga	Torres Strait Islander	89
Wakehurst	Aboriginal	591
Wakehurst	Both Aboriginal & Torres Strait Islander	15
Wakehurst	Non-indigenous	82702
Wakehurst	Torres Strait Islander	17
Wallsend	Aboriginal	4520
Wallsend	Both Aboriginal & Torres Strait Islander	63
Wallsend	Non-indigenous	82460
Wallsend	Torres Strait Islander	68
Willoughby	Aboriginal	234
Willoughby	Both Aboriginal & Torres Strait Islander	7
Willoughby	Non-indigenous	86600
Willoughby	Torres Strait Islander	10
Wollondilly	Aboriginal	2936
Wollondilly	Both Aboriginal & Torres Strait Islander	47
Wollondilly	Non-indigenous	80131
Wollondilly	Torres Strait Islander	44
Wollongong	Aboriginal	2701
Wollongong	Both Aboriginal & Torres Strait Islander	47
Wollongong	Non-indigenous	82477
Wollongong	Torres Strait Islander	74
Wyong	Aboriginal	5396
Wyong	Both Aboriginal & Torres Strait Islander	102
Wyong	Non-indigenous	76913
Wyong	Torres Strait Islander	123
No usual address (NSW)	Aboriginal	1175
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	35
No usual address (NSW)	Non-indigenous	10141
No usual address (NSW)	Torres Strait Islander	20
Albert Park (Southern Metropolitan)	Aboriginal	377
Albert Park (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	12
Albert Park (Southern Metropolitan)	Non-indigenous	80547
Albert Park (Southern Metropolitan)	Torres Strait Islander	10
Altona (Western Metropolitan)	Aboriginal	641
Altona (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	30
Altona (Western Metropolitan)	Non-indigenous	107848
Altona (Western Metropolitan)	Torres Strait Islander	15
Bass (Eastern Victoria)	Aboriginal	1039
Bass (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	20
Bass (Eastern Victoria)	Non-indigenous	114722
Bass (Eastern Victoria)	Torres Strait Islander	36
Bayswater (Eastern Metropolitan)	Aboriginal	508
Bayswater (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	8
Bayswater (Eastern Metropolitan)	Non-indigenous	64153
Bayswater (Eastern Metropolitan)	Torres Strait Islander	16
Bellarine (Western Victoria)	Aboriginal	624
Bellarine (Western Victoria)	Both Aboriginal & Torres Strait Islander	21
Bellarine (Western Victoria)	Non-indigenous	70691
Bellarine (Western Victoria)	Torres Strait Islander	3
Benambra (Northern Victoria)	Aboriginal	1790
Benambra (Northern Victoria)	Both Aboriginal & Torres Strait Islander	51
Benambra (Northern Victoria)	Non-indigenous	68502
Benambra (Northern Victoria)	Torres Strait Islander	61
Bendigo East (Northern Victoria)	Aboriginal	1472
Bendigo East (Northern Victoria)	Both Aboriginal & Torres Strait Islander	34
Bendigo East (Northern Victoria)	Non-indigenous	70553
Bendigo East (Northern Victoria)	Torres Strait Islander	58
Bendigo West (Northern Victoria)	Aboriginal	1272
Bendigo West (Northern Victoria)	Both Aboriginal & Torres Strait Islander	24
Bendigo West (Northern Victoria)	Non-indigenous	62423
Bendigo West (Northern Victoria)	Torres Strait Islander	38
Bentleigh (Southern Metropolitan)	Aboriginal	192
Bentleigh (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Bentleigh (Southern Metropolitan)	Non-indigenous	66569
Bentleigh (Southern Metropolitan)	Torres Strait Islander	13
Box Hill (Eastern Metropolitan)	Aboriginal	176
Box Hill (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	7
Box Hill (Eastern Metropolitan)	Non-indigenous	73244
Box Hill (Eastern Metropolitan)	Torres Strait Islander	17
Brighton (Southern Metropolitan)	Aboriginal	142
Brighton (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Brighton (Southern Metropolitan)	Non-indigenous	62054
Brighton (Southern Metropolitan)	Torres Strait Islander	4
Broadmeadows (Northern Metropolitan)	Aboriginal	499
Broadmeadows (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Broadmeadows (Northern Metropolitan)	Non-indigenous	73838
Broadmeadows (Northern Metropolitan)	Torres Strait Islander	33
Brunswick (Northern Metropolitan)	Aboriginal	507
Brunswick (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	27
Brunswick (Northern Metropolitan)	Non-indigenous	73749
Brunswick (Northern Metropolitan)	Torres Strait Islander	17
Bulleen (Eastern Metropolitan)	Aboriginal	149
Bulleen (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	4
Bulleen (Eastern Metropolitan)	Non-indigenous	66958
Bundoora (Northern Metropolitan)	Aboriginal	498
Bundoora (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	22
Bundoora (Northern Metropolitan)	Non-indigenous	60393
Bundoora (Northern Metropolitan)	Torres Strait Islander	22
Buninyong (Western Victoria)	Aboriginal	1202
Buninyong (Western Victoria)	Both Aboriginal & Torres Strait Islander	39
Buninyong (Western Victoria)	Non-indigenous	66135
Buninyong (Western Victoria)	Torres Strait Islander	49
Burwood (Southern Metropolitan)	Aboriginal	236
Burwood (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Burwood (Southern Metropolitan)	Non-indigenous	68618
Burwood (Southern Metropolitan)	Torres Strait Islander	4
Carrum (South-Eastern Metropolitan)	Aboriginal	797
Carrum (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	11
Carrum (South-Eastern Metropolitan)	Non-indigenous	69987
Carrum (South-Eastern Metropolitan)	Torres Strait Islander	46
Caulfield (Southern Metropolitan)	Aboriginal	174
Caulfield (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	4
Caulfield (Southern Metropolitan)	Non-indigenous	67604
Caulfield (Southern Metropolitan)	Torres Strait Islander	5
Clarinda (South-Eastern Metropolitan)	Aboriginal	194
Clarinda (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Clarinda (South-Eastern Metropolitan)	Non-indigenous	75745
Clarinda (South-Eastern Metropolitan)	Torres Strait Islander	16
Cranbourne (South-Eastern Metropolitan)	Aboriginal	958
Cranbourne (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	21
Cranbourne (South-Eastern Metropolitan)	Non-indigenous	126888
Cranbourne (South-Eastern Metropolitan)	Torres Strait Islander	25
Croydon (Eastern Metropolitan)	Aboriginal	389
Croydon (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	7
Croydon (Eastern Metropolitan)	Non-indigenous	61419
Croydon (Eastern Metropolitan)	Torres Strait Islander	21
Dandenong (South-Eastern Metropolitan)	Aboriginal	436
Dandenong (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Dandenong (South-Eastern Metropolitan)	Non-indigenous	75869
Dandenong (South-Eastern Metropolitan)	Torres Strait Islander	20
Eildon (Northern Victoria)	Aboriginal	951
Eildon (Northern Victoria)	Both Aboriginal & Torres Strait Islander	13
Eildon (Northern Victoria)	Non-indigenous	61361
Eildon (Northern Victoria)	Torres Strait Islander	40
Eltham (Eastern Metropolitan)	Aboriginal	313
Eltham (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	4
Eltham (Eastern Metropolitan)	Non-indigenous	59488
Eltham (Eastern Metropolitan)	Torres Strait Islander	10
Essendon (Western Metropolitan)	Aboriginal	321
Essendon (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	14
Essendon (Western Metropolitan)	Non-indigenous	69654
Essendon (Western Metropolitan)	Torres Strait Islander	19
Euroa (Northern Victoria)	Aboriginal	1365
Euroa (Northern Victoria)	Both Aboriginal & Torres Strait Islander	36
Euroa (Northern Victoria)	Non-indigenous	66946
Euroa (Northern Victoria)	Torres Strait Islander	36
Evelyn (Eastern Victoria)	Aboriginal	584
Evelyn (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	18
Evelyn (Eastern Victoria)	Non-indigenous	60219
Evelyn (Eastern Victoria)	Torres Strait Islander	30
Ferntree Gully (Eastern Metropolitan)	Aboriginal	346
Ferntree Gully (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	14
Ferntree Gully (Eastern Metropolitan)	Non-indigenous	59726
Ferntree Gully (Eastern Metropolitan)	Torres Strait Islander	10
Footscray (Western Metropolitan)	Aboriginal	523
Footscray (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	16
Footscray (Western Metropolitan)	Non-indigenous	83232
Footscray (Western Metropolitan)	Torres Strait Islander	18
Forest Hill (Eastern Metropolitan)	Aboriginal	142
Forest Hill (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Forest Hill (Eastern Metropolitan)	Non-indigenous	61257
Frankston (South-Eastern Metropolitan)	Aboriginal	784
Frankston (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	34
Frankston (South-Eastern Metropolitan)	Non-indigenous	62141
Frankston (South-Eastern Metropolitan)	Torres Strait Islander	35
Geelong (Western Victoria)	Aboriginal	829
Geelong (Western Victoria)	Both Aboriginal & Torres Strait Islander	17
Geelong (Western Victoria)	Non-indigenous	66184
Geelong (Western Victoria)	Torres Strait Islander	33
Gembrook (Eastern Victoria)	Aboriginal	570
Gembrook (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	17
Gembrook (Eastern Victoria)	Non-indigenous	83689
Gembrook (Eastern Victoria)	Torres Strait Islander	29
Gippsland East (Eastern Victoria)	Aboriginal	1893
Gippsland East (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	17
Gippsland East (Eastern Victoria)	Non-indigenous	61967
Gippsland East (Eastern Victoria)	Torres Strait Islander	24
Gippsland South (Eastern Victoria)	Aboriginal	963
Gippsland South (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	27
Gippsland South (Eastern Victoria)	Non-indigenous	59191
Gippsland South (Eastern Victoria)	Torres Strait Islander	37
Hastings (Eastern Victoria)	Aboriginal	908
Hastings (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	26
Hastings (Eastern Victoria)	Non-indigenous	71151
Hastings (Eastern Victoria)	Torres Strait Islander	50
Hawthorn (Southern Metropolitan)	Aboriginal	155
Hawthorn (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Hawthorn (Southern Metropolitan)	Non-indigenous	64252
Hawthorn (Southern Metropolitan)	Torres Strait Islander	5
Ivanhoe (Eastern Metropolitan)	Aboriginal	419
Ivanhoe (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	13
Ivanhoe (Eastern Metropolitan)	Non-indigenous	67192
Ivanhoe (Eastern Metropolitan)	Torres Strait Islander	15
Kew (Southern Metropolitan)	Aboriginal	163
Kew (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	6
Kew (Southern Metropolitan)	Non-indigenous	63848
Kew (Southern Metropolitan)	Torres Strait Islander	12
Keysborough (South-Eastern Metropolitan)	Aboriginal	170
Keysborough (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	9
Keysborough (South-Eastern Metropolitan)	Non-indigenous	75753
Keysborough (South-Eastern Metropolitan)	Torres Strait Islander	9
Kororoit (Western Metropolitan)	Aboriginal	678
Kororoit (Western Metropolitan)	Both Aboriginal & Torres Strait Islander	18
Kororoit (Western Metropolitan)	Non-indigenous	101063
Kororoit (Western Metropolitan)	Torres Strait Islander	18
Lara (Western Victoria)	Aboriginal	1349
Lara (Western Victoria)	Both Aboriginal & Torres Strait Islander	34
Lara (Western Victoria)	Non-indigenous	69081
Lara (Western Victoria)	Torres Strait Islander	40
Lowan (Western Victoria)	Aboriginal	1025
Lowan (Western Victoria)	Both Aboriginal & Torres Strait Islander	26
Lowan (Western Victoria)	Non-indigenous	57367
Lowan (Western Victoria)	Torres Strait Islander	40
Macedon (Northern Victoria)	Aboriginal	567
Macedon (Northern Victoria)	Both Aboriginal & Torres Strait Islander	16
Macedon (Northern Victoria)	Non-indigenous	64430
Macedon (Northern Victoria)	Torres Strait Islander	25
Malvern (Southern Metropolitan)	Aboriginal	146
Malvern (Southern Metropolitan)	Both Aboriginal & Torres Strait Islander	7
Malvern (Southern Metropolitan)	Non-indigenous	59988
Malvern (Southern Metropolitan)	Torres Strait Islander	7
Melbourne (Northern Metropolitan)	Aboriginal	582
Melbourne (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	29
Melbourne (Northern Metropolitan)	Non-indigenous	123578
Melbourne (Northern Metropolitan)	Torres Strait Islander	17
Melton (Western Victoria)	Aboriginal	1566
Melton (Western Victoria)	Both Aboriginal & Torres Strait Islander	50
Melton (Western Victoria)	Non-indigenous	96030
Melton (Western Victoria)	Torres Strait Islander	34
Mildura (Northern Victoria)	Aboriginal	2843
Mildura (Northern Victoria)	Both Aboriginal & Torres Strait Islander	96
Mildura (Northern Victoria)	Non-indigenous	63775
Mildura (Northern Victoria)	Torres Strait Islander	57
Mill Park (Northern Metropolitan)	Aboriginal	657
Mill Park (Northern Metropolitan)	Both Aboriginal & Torres Strait Islander	16
Mill Park (Northern Metropolitan)	Non-indigenous	70754
Monbulk (Eastern Victoria)	Aboriginal	375
Monbulk (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	14
Monbulk (Eastern Victoria)	Non-indigenous	57988
Monbulk (Eastern Victoria)	Torres Strait Islander	10
Mordialloc (South-Eastern Metropolitan)	Aboriginal	316
Mordialloc (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	10
Mordialloc (South-Eastern Metropolitan)	Non-indigenous	65449
Mordialloc (South-Eastern Metropolitan)	Torres Strait Islander	23
Mornington (Eastern Victoria)	Aboriginal	410
Mornington (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	11
Mornington (Eastern Victoria)	Non-indigenous	64820
Mornington (Eastern Victoria)	Torres Strait Islander	20
Morwell (Eastern Victoria)	Aboriginal	1276
Morwell (Eastern Victoria)	Both Aboriginal & Torres Strait Islander	32
Morwell (Eastern Victoria)	Non-indigenous	66878
Morwell (Eastern Victoria)	Torres Strait Islander	70
Mount Waverley (Eastern Metropolitan)	Aboriginal	122
Mount Waverley (Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	3
Mount Waverley (Eastern Metropolitan)	Non-indigenous	65535
Mount Waverley (Eastern Metropolitan)	Torres Strait Islander	3
Mulgrave (South-Eastern Metropolitan)	Aboriginal	200
Mulgrave (South-Eastern Metropolitan)	Both Aboriginal & Torres Strait Islander	7
Mulgrave (South-Eastern Metropolitan)	Non-indigenous	63412
Mulgrave (South-Eastern Metropolitan)	Torres Strait Islander	20
Murray Plains (Northern Victoria)	Aboriginal	1956
