SED_NAME21	Religion	Denomination	Sex	persons
Balmain	(Other)	Australian Aboriginal Traditional	M	3
Balmain	(Other)	Other spiritual beliefs	F	148
Balmain	(Other)	Other spiritual beliefs	M	80
Balmain	(Other)	Secular beliefs	F	282
Balmain	(Other)	Secular beliefs	M	275
Balmain	(Other)	Sikhism	F	51
Balmain	(Other)	Sikhism	M	46
Balmain	Buddhism		F	1467
Balmain	Buddhism		M	910
Balmain	Christianity		F	597
Balmain	Christianity		M	428
Balmain	Christianity	(Other)	F	24
Balmain	Christianity	(Other)	M	29
Balmain	Christianity	Anglican	F	3313
Balmain	Christianity	Anglican	M	2733
Balmain	Christianity	Assyrian Apostolic	F	3
Balmain	Christianity	Assyrian Apostolic	M	4
Balmain	Christianity	Baptist	F	197
Balmain	Christianity	Baptist	M	166
Balmain	Christianity	Catholic	F	8643
Balmain	Christianity	Catholic	M	7475
Balmain	Christianity	Churches Of Christ	F	4
Balmain	Christianity	Churches Of Christ	M	3
Balmain	Christianity	Eastern Orthodox	F	946
Balmain	Christianity	Eastern Orthodox	M	876
Balmain	Christianity	Jehovah's Witnesses	F	63
Balmain	Christianity	Jehovah's Witnesses	M	50
Balmain	Christianity	Latter Day Saints	F	30
Balmain	Christianity	Latter Day Saints	M	20
Balmain	Christianity	Lutheran	F	111
Balmain	Christianity	Lutheran	M	67
Balmain	Christianity	Oriental Orthodox	F	65
Balmain	Christianity	Oriental Orthodox	M	69
Balmain	Christianity	Pentecostal	F	161
Balmain	Christianity	Pentecostal	M	114
Balmain	Christianity	Presbyterian Reformed	F	509
Balmain	Christianity	Presbyterian Reformed	M	408
Balmain	Christianity	Protestant (Other)	F	123
Balmain	Christianity	Protestant (Other)	M	85
Balmain	Christianity	Salvation Army	F	22
Balmain	Christianity	Salvation Army	M	19
Balmain	Christianity	Seventh Day Adventist	F	33
Balmain	Christianity	Seventh Day Adventist	M	23
Balmain	Christianity	Uniting Church	F	508
Balmain	Christianity	Uniting Church	M	391
Balmain	Hinduism		F	433
Balmain	Hinduism		M	497
Balmain	Islam		F	365
Balmain	Islam		M	467
Balmain	Judaism		F	248
Balmain	Judaism		M	238
Balmain	No religion		F	21781
Balmain	No religion		M	21691
Bankstown	(Other)		F	4547
Bankstown	(Other)		M	5044
Bankstown	(Other)	(Other)	F	167
Bankstown	(Other)	(Other)	M	172
Bankstown	(Other)	Other spiritual beliefs	F	31
Bankstown	(Other)	Other spiritual beliefs	M	25
Bankstown	(Other)	Secular beliefs	F	29
Bankstown	(Other)	Secular beliefs	M	55
Bankstown	(Other)	Sikhism	F	54
Bankstown	(Other)	Sikhism	M	59
Bankstown	Buddhism		F	4749
Bankstown	Buddhism		M	3948
Bankstown	Christianity		F	1107
Bankstown	Christianity		M	1118
Bankstown	Christianity	(Other)	F	39
Bankstown	Christianity	(Other)	M	39
Bankstown	Christianity	Anglican	F	1425
Bankstown	Christianity	Anglican	M	1262
Bankstown	Christianity	Assyrian Apostolic	F	25
Bankstown	Christianity	Assyrian Apostolic	M	25
Bankstown	Christianity	Baptist	F	457
Bankstown	Christianity	Baptist	M	394
Bankstown	Christianity	Brethren	F	3
Bankstown	Christianity	Brethren	M	3
Bankstown	Christianity	Catholic	F	8864
Bankstown	Christianity	Catholic	M	8310
Bankstown	Christianity	Churches Of Christ	F	24
Bankstown	Christianity	Churches Of Christ	M	26
Bankstown	Christianity	Eastern Orthodox	F	2435
Bankstown	Christianity	Eastern Orthodox	M	2382
Bankstown	Christianity	Jehovah's Witnesses	F	106
Bankstown	Christianity	Jehovah's Witnesses	M	75
Bankstown	Christianity	Latter Day Saints	F	134
Bankstown	Christianity	Latter Day Saints	M	127
Bankstown	Christianity	Lutheran	F	47
Bankstown	Christianity	Lutheran	M	50
Bankstown	Christianity	Oriental Orthodox	F	264
Bankstown	Christianity	Oriental Orthodox	M	244
Bankstown	Christianity	Pentecostal	F	292
Bankstown	Christianity	Pentecostal	M	231
Bankstown	Christianity	Presbyterian Reformed	F	389
Bankstown	Christianity	Presbyterian Reformed	M	345
Bankstown	Christianity	Protestant (Other)	F	176
Bankstown	Christianity	Protestant (Other)	M	170
Bankstown	Christianity	Salvation Army	F	43
Bankstown	Christianity	Salvation Army	M	27
Bankstown	Christianity	Seventh Day Adventist	F	93
Bankstown	Christianity	Seventh Day Adventist	M	77
Bankstown	Christianity	Uniting Church	F	408
Bankstown	Christianity	Uniting Church	M	354
Bankstown	Hinduism		F	476
Bankstown	Hinduism		M	503
Bankstown	Islam		F	15003
Bankstown	Islam		M	15272
Bankstown	Judaism		F	9
Bankstown	Judaism		M	8
Bankstown	No religion		F	5959
Bankstown	No religion		M	6953
Barwon	(Other)		F	5055
Barwon	(Other)		M	5170
Barwon	(Other)	(Other)	F	91
Barwon	(Other)	(Other)	M	51
Barwon	(Other)	Australian Aboriginal Traditional	F	12
Barwon	(Other)	Australian Aboriginal Traditional	M	10
Barwon	(Other)	Other spiritual beliefs	F	39
Barwon	(Other)	Other spiritual beliefs	M	35
Barwon	(Other)	Secular beliefs	F	47
Barwon	(Other)	Secular beliefs	M	59
Barwon	(Other)	Sikhism	F	19
Barwon	(Other)	Sikhism	M	17
Barwon	Buddhism		F	146
Barwon	Buddhism		M	118
Barwon	Christianity		F	645
Barwon	Christianity		M	554
Barwon	Christianity	(Other)	F	15
Barwon	Christianity	(Other)	M	14
Barwon	Christianity	Anglican	F	7152
Barwon	Christianity	Anglican	M	6692
Barwon	Christianity	Baptist	F	255
Barwon	Christianity	Baptist	M	238
Barwon	Christianity	Brethren	F	97
Barwon	Christianity	Brethren	M	89
Barwon	Christianity	Catholic	F	8640
Barwon	Christianity	Catholic	M	7883
Barwon	Christianity	Churches Of Christ	F	25
Barwon	Christianity	Churches Of Christ	M	25
Barwon	Christianity	Eastern Orthodox	F	78
Barwon	Christianity	Eastern Orthodox	M	87
Barwon	Christianity	Jehovah's Witnesses	F	92
Barwon	Christianity	Jehovah's Witnesses	M	61
Barwon	Christianity	Latter Day Saints	F	44
Barwon	Christianity	Latter Day Saints	M	27
Barwon	Christianity	Lutheran	F	153
Barwon	Christianity	Lutheran	M	129
Barwon	Christianity	Oriental Orthodox	F	14
Barwon	Christianity	Oriental Orthodox	M	12
Barwon	Christianity	Pentecostal	F	262
Barwon	Christianity	Pentecostal	M	200
Barwon	Christianity	Presbyterian Reformed	F	1177
Barwon	Christianity	Presbyterian Reformed	M	1159
Barwon	Christianity	Protestant (Other)	F	108
Barwon	Christianity	Protestant (Other)	M	100
Barwon	Christianity	Salvation Army	F	115
Barwon	Christianity	Salvation Army	M	86
Barwon	Christianity	Seventh Day Adventist	F	104
Barwon	Christianity	Seventh Day Adventist	M	77
Barwon	Christianity	Uniting Church	F	1530
Barwon	Christianity	Uniting Church	M	1271
Barwon	Hinduism		F	138
Barwon	Hinduism		M	157
Barwon	Islam		F	80
Barwon	Islam		M	110
Barwon	Judaism		F	5
Barwon	Judaism		M	8
Barwon	No religion		F	10947
Barwon	No religion		M	12408
Bathurst	(Other)		F	2917
Bathurst	(Other)		M	4482
Bathurst	(Other)	(Other)	F	161
Bathurst	(Other)	(Other)	M	113
Bathurst	(Other)	Australian Aboriginal Traditional	F	17
Bathurst	(Other)	Australian Aboriginal Traditional	M	12
Bathurst	(Other)	Other spiritual beliefs	F	65
Bathurst	(Other)	Other spiritual beliefs	M	28
Bathurst	(Other)	Secular beliefs	F	96
Bathurst	(Other)	Secular beliefs	M	138
Bathurst	(Other)	Sikhism	F	92
Bathurst	(Other)	Sikhism	M	100
Bathurst	Buddhism		F	328
Bathurst	Buddhism		M	220
Bathurst	Christianity		F	651
Bathurst	Christianity		M	637
Bathurst	Christianity	(Other)	F	32
Bathurst	Christianity	(Other)	M	19
Bathurst	Christianity	Anglican	F	7170
Bathurst	Christianity	Anglican	M	6364
Bathurst	Christianity	Baptist	F	479
Bathurst	Christianity	Baptist	M	429
Bathurst	Christianity	Brethren	F	169
Bathurst	Christianity	Brethren	M	180
Bathurst	Christianity	Catholic	F	10848
Bathurst	Christianity	Catholic	M	9958
Bathurst	Christianity	Churches Of Christ	F	26
Bathurst	Christianity	Churches Of Christ	M	15
Bathurst	Christianity	Eastern Orthodox	F	135
Bathurst	Christianity	Eastern Orthodox	M	151
Bathurst	Christianity	Jehovah's Witnesses	F	104
Bathurst	Christianity	Jehovah's Witnesses	M	99
Bathurst	Christianity	Latter Day Saints	F	41
Bathurst	Christianity	Latter Day Saints	M	37
Bathurst	Christianity	Lutheran	F	83
Bathurst	Christianity	Lutheran	M	73
Bathurst	Christianity	Oriental Orthodox	F	9
Bathurst	Christianity	Oriental Orthodox	M	6
Bathurst	Christianity	Pentecostal	F	294
Bathurst	Christianity	Pentecostal	M	257
Bathurst	Christianity	Presbyterian Reformed	F	1336
Bathurst	Christianity	Presbyterian Reformed	M	1198
Bathurst	Christianity	Protestant (Other)	F	119
Bathurst	Christianity	Protestant (Other)	M	114
Bathurst	Christianity	Salvation Army	F	90
Bathurst	Christianity	Salvation Army	M	77
Bathurst	Christianity	Seventh Day Adventist	F	122
Bathurst	Christianity	Seventh Day Adventist	M	100
Bathurst	Christianity	Uniting Church	F	1648
Bathurst	Christianity	Uniting Church	M	1350
Bathurst	Hinduism		F	290
Bathurst	Hinduism		M	303
Bathurst	Islam		F	175
Bathurst	Islam		M	242
Bathurst	Judaism		F	24
Bathurst	Judaism		M	20
Bathurst	No religion		F	12387
Bathurst	No religion		M	13847
Baulkham Hills	(Other)		F	1736
Baulkham Hills	(Other)		M	1847
Baulkham Hills	(Other)	(Other)	F	315
Baulkham Hills	(Other)	(Other)	M	275
Baulkham Hills	(Other)	Other spiritual beliefs	F	62
Baulkham Hills	(Other)	Other spiritual beliefs	M	25
Baulkham Hills	(Other)	Secular beliefs	F	91
Baulkham Hills	(Other)	Secular beliefs	M	126
Baulkham Hills	(Other)	Sikhism	F	544
Baulkham Hills	(Other)	Sikhism	M	585
Baulkham Hills	Buddhism		F	1843
Baulkham Hills	Buddhism		M	1408
Baulkham Hills	Christianity		F	1211
Baulkham Hills	Christianity		M	1048
Baulkham Hills	Christianity	(Other)	F	36
Baulkham Hills	Christianity	(Other)	M	30
Baulkham Hills	Christianity	Anglican	F	4686
Baulkham Hills	Christianity	Anglican	M	4224
Baulkham Hills	Christianity	Assyrian Apostolic	F	11
Baulkham Hills	Christianity	Assyrian Apostolic	M	5
Baulkham Hills	Christianity	Baptist	F	867
Baulkham Hills	Christianity	Baptist	M	793
Baulkham Hills	Christianity	Brethren	F	148
Baulkham Hills	Christianity	Brethren	M	135
Baulkham Hills	Christianity	Catholic	F	10491
Baulkham Hills	Christianity	Catholic	M	9535
Baulkham Hills	Christianity	Churches Of Christ	F	40
Baulkham Hills	Christianity	Churches Of Christ	M	35
Baulkham Hills	Christianity	Eastern Orthodox	F	852
Baulkham Hills	Christianity	Eastern Orthodox	M	809
Baulkham Hills	Christianity	Jehovah's Witnesses	F	59
Baulkham Hills	Christianity	Jehovah's Witnesses	M	41
Baulkham Hills	Christianity	Latter Day Saints	F	109
Baulkham Hills	Christianity	Latter Day Saints	M	95
Baulkham Hills	Christianity	Lutheran	F	84
Baulkham Hills	Christianity	Lutheran	M	76
Baulkham Hills	Christianity	Oriental Orthodox	F	263
Baulkham Hills	Christianity	Oriental Orthodox	M	243
Baulkham Hills	Christianity	Pentecostal	F	904
Baulkham Hills	Christianity	Pentecostal	M	785
Baulkham Hills	Christianity	Presbyterian Reformed	F	1213
Baulkham Hills	Christianity	Presbyterian Reformed	M	1061
Baulkham Hills	Christianity	Protestant (Other)	F	270
Baulkham Hills	Christianity	Protestant (Other)	M	275
Baulkham Hills	Christianity	Salvation Army	F	46
Baulkham Hills	Christianity	Salvation Army	M	41
Baulkham Hills	Christianity	Seventh Day Adventist	F	134
Baulkham Hills	Christianity	Seventh Day Adventist	M	108
Baulkham Hills	Christianity	Uniting Church	F	1149
Baulkham Hills	Christianity	Uniting Church	M	884
Baulkham Hills	Hinduism		F	3748
Baulkham Hills	Hinduism		M	3722
Baulkham Hills	Islam		F	1601
Baulkham Hills	Islam		M	1638
Baulkham Hills	Judaism		F	53
Baulkham Hills	Judaism		M	52
Baulkham Hills	No religion		F	12370
Baulkham Hills	No religion		M	13773
Bega	(Other)		F	3339
Bega	(Other)		M	3564
Bega	(Other)	(Other)	F	148
Bega	(Other)	(Other)	M	101
Bega	(Other)	Australian Aboriginal Traditional	F	13
Bega	(Other)	Australian Aboriginal Traditional	M	23
Bega	(Other)	Other spiritual beliefs	F	127
Bega	(Other)	Other spiritual beliefs	M	78
Bega	(Other)	Secular beliefs	F	121
Bega	(Other)	Secular beliefs	M	152
Bega	(Other)	Sikhism	F	24
Bega	(Other)	Sikhism	M	21
Bega	Buddhism		F	426
Bega	Buddhism		M	236
Bega	Christianity		F	750
Bega	Christianity		M	631
Bega	Christianity	(Other)	F	25
Bega	Christianity	(Other)	M	16
Bega	Christianity	Anglican	F	6994
Bega	Christianity	Anglican	M	5906
Bega	Christianity	Baptist	F	319
Bega	Christianity	Baptist	M	298
Bega	Christianity	Brethren	M	4
Bega	Christianity	Catholic	F	6866
Bega	Christianity	Catholic	M	6227
Bega	Christianity	Churches Of Christ	F	22
Bega	Christianity	Churches Of Christ	M	14
Bega	Christianity	Eastern Orthodox	F	135
Bega	Christianity	Eastern Orthodox	M	160
Bega	Christianity	Jehovah's Witnesses	F	309
Bega	Christianity	Jehovah's Witnesses	M	217
Bega	Christianity	Latter Day Saints	F	34
Bega	Christianity	Latter Day Saints	M	31
Bega	Christianity	Lutheran	F	145
Bega	Christianity	Lutheran	M	93
Bega	Christianity	Oriental Orthodox	F	8
Bega	Christianity	Oriental Orthodox	M	12
Bega	Christianity	Pentecostal	F	235
Bega	Christianity	Pentecostal	M	192
Bega	Christianity	Presbyterian Reformed	F	899
Bega	Christianity	Presbyterian Reformed	M	772
Bega	Christianity	Protestant (Other)	F	138
Bega	Christianity	Protestant (Other)	M	127
Bega	Christianity	Salvation Army	F	77
Bega	Christianity	Salvation Army	M	59
Bega	Christianity	Seventh Day Adventist	F	97
Bega	Christianity	Seventh Day Adventist	M	87
Bega	Christianity	Uniting Church	F	1167
Bega	Christianity	Uniting Church	M	819
Bega	Hinduism		F	118
Bega	Hinduism		M	123
Bega	Islam		F	64
Bega	Islam		M	76
Bega	Judaism		F	35
Bega	Judaism		M	24
Bega	No religion		F	16374
Bega	No religion		M	17463
Blacktown	(Other)		F	3226
Blacktown	(Other)		M	3578
Blacktown	(Other)	(Other)	F	297
Blacktown	(Other)	(Other)	M	247
Blacktown	(Other)	Australian Aboriginal Traditional	F	3
Blacktown	(Other)	Other spiritual beliefs	F	62
Blacktown	(Other)	Other spiritual beliefs	M	48
Blacktown	(Other)	Secular beliefs	F	74
Blacktown	(Other)	Secular beliefs	M	97
Blacktown	(Other)	Sikhism	F	2750
Blacktown	(Other)	Sikhism	M	3493
Blacktown	Buddhism		F	909
Blacktown	Buddhism		M	770
Blacktown	Christianity		F	1608
Blacktown	Christianity		M	1521
Blacktown	Christianity	(Other)	F	39
Blacktown	Christianity	(Other)	M	39
Blacktown	Christianity	Anglican	F	3315
Blacktown	Christianity	Anglican	M	2920
Blacktown	Christianity	Assyrian Apostolic	F	3
Blacktown	Christianity	Assyrian Apostolic	M	3
Blacktown	Christianity	Baptist	F	624
Blacktown	Christianity	Baptist	M	550
Blacktown	Christianity	Brethren	F	8
Blacktown	Christianity	Brethren	M	8
Blacktown	Christianity	Catholic	F	12018
Blacktown	Christianity	Catholic	M	10920
Blacktown	Christianity	Churches Of Christ	F	90
Blacktown	Christianity	Churches Of Christ	M	83
Blacktown	Christianity	Eastern Orthodox	F	960
Blacktown	Christianity	Eastern Orthodox	M	953
Blacktown	Christianity	Jehovah's Witnesses	F	156
Blacktown	Christianity	Jehovah's Witnesses	M	130
Blacktown	Christianity	Latter Day Saints	F	214
Blacktown	Christianity	Latter Day Saints	M	204
Blacktown	Christianity	Lutheran	F	40
Blacktown	Christianity	Lutheran	M	28
Blacktown	Christianity	Oriental Orthodox	F	472
Blacktown	Christianity	Oriental Orthodox	M	426
Blacktown	Christianity	Pentecostal	F	696
Blacktown	Christianity	Pentecostal	M	606
Blacktown	Christianity	Presbyterian Reformed	F	679
Blacktown	Christianity	Presbyterian Reformed	M	596
Blacktown	Christianity	Protestant (Other)	F	431
Blacktown	Christianity	Protestant (Other)	M	373
Blacktown	Christianity	Salvation Army	F	51
Blacktown	Christianity	Salvation Army	M	39
Blacktown	Christianity	Seventh Day Adventist	F	233
Blacktown	Christianity	Seventh Day Adventist	M	221
Blacktown	Christianity	Uniting Church	F	729
Blacktown	Christianity	Uniting Church	M	632
Blacktown	Hinduism		F	5654
Blacktown	Hinduism		M	6019
Blacktown	Islam		F	3061
Blacktown	Islam		M	3265
Blacktown	Judaism		F	18
Blacktown	Judaism		M	22
Blacktown	No religion		F	7373
Blacktown	No religion		M	8671
Blue Mountains	(Other)		F	1995
Blue Mountains	(Other)		M	2006
Blue Mountains	(Other)	(Other)	F	301
Blue Mountains	(Other)	(Other)	M	207
Blue Mountains	(Other)	Australian Aboriginal Traditional	F	12
Blue Mountains	(Other)	Australian Aboriginal Traditional	M	8
Blue Mountains	(Other)	Other spiritual beliefs	F	194
Blue Mountains	(Other)	Other spiritual beliefs	M	113
Blue Mountains	(Other)	Secular beliefs	F	164
Blue Mountains	(Other)	Secular beliefs	M	227
Blue Mountains	(Other)	Sikhism	F	20
Blue Mountains	(Other)	Sikhism	M	13
Blue Mountains	Buddhism		F	645
Blue Mountains	Buddhism		M	407
Blue Mountains	Christianity		F	1102
Blue Mountains	Christianity		M	987
Blue Mountains	Christianity	(Other)	F	56
Blue Mountains	Christianity	(Other)	M	35
Blue Mountains	Christianity	Anglican	F	5231
Blue Mountains	Christianity	Anglican	M	4381
Blue Mountains	Christianity	Assyrian Apostolic	F	3
Blue Mountains	Christianity	Baptist	F	820
Blue Mountains	Christianity	Baptist	M	723
Blue Mountains	Christianity	Brethren	F	138
Blue Mountains	Christianity	Brethren	M	135
Blue Mountains	Christianity	Catholic	F	6618
Blue Mountains	Christianity	Catholic	M	5556
Blue Mountains	Christianity	Churches Of Christ	F	34
Blue Mountains	Christianity	Churches Of Christ	M	29
Blue Mountains	Christianity	Eastern Orthodox	F	260
Blue Mountains	Christianity	Eastern Orthodox	M	260
Blue Mountains	Christianity	Jehovah's Witnesses	F	154
Blue Mountains	Christianity	Jehovah's Witnesses	M	114
Blue Mountains	Christianity	Latter Day Saints	F	70
Blue Mountains	Christianity	Latter Day Saints	M	64
Blue Mountains	Christianity	Lutheran	F	120
Blue Mountains	Christianity	Lutheran	M	98
Blue Mountains	Christianity	Oriental Orthodox	F	13
Blue Mountains	Christianity	Oriental Orthodox	M	13
Blue Mountains	Christianity	Pentecostal	F	373
Blue Mountains	Christianity	Pentecostal	M	342
Blue Mountains	Christianity	Presbyterian Reformed	F	880
Blue Mountains	Christianity	Presbyterian Reformed	M	716
Blue Mountains	Christianity	Protestant (Other)	F	138
Blue Mountains	Christianity	Protestant (Other)	M	112
Blue Mountains	Christianity	Salvation Army	F	78
Blue Mountains	Christianity	Salvation Army	M	59
Blue Mountains	Christianity	Seventh Day Adventist	F	74
Blue Mountains	Christianity	Seventh Day Adventist	M	44
Blue Mountains	Christianity	Uniting Church	F	885
Blue Mountains	Christianity	Uniting Church	M	640
Blue Mountains	Hinduism		F	126
Blue Mountains	Hinduism		M	149
Blue Mountains	Islam		F	116
Blue Mountains	Islam		M	101
Blue Mountains	Judaism		F	94
Blue Mountains	Judaism		M	82
Blue Mountains	No religion		F	16598
Blue Mountains	No religion		M	17348
Cabramatta	(Other)		F	2932
Cabramatta	(Other)		M	3028
Cabramatta	(Other)	(Other)	F	347
Cabramatta	(Other)	(Other)	M	318
Cabramatta	(Other)	Other spiritual beliefs	F	14
Cabramatta	(Other)	Other spiritual beliefs	M	18
Cabramatta	(Other)	Secular beliefs	F	22
Cabramatta	(Other)	Secular beliefs	M	31
Cabramatta	(Other)	Sikhism	F	25
Cabramatta	(Other)	Sikhism	M	28
Cabramatta	Buddhism		F	12706
Cabramatta	Buddhism		M	10830
Cabramatta	Christianity		F	1476
Cabramatta	Christianity		M	1411
Cabramatta	Christianity	(Other)	F	24
Cabramatta	Christianity	(Other)	M	18
Cabramatta	Christianity	Anglican	F	1048
Cabramatta	Christianity	Anglican	M	936
Cabramatta	Christianity	Assyrian Apostolic	F	1294
Cabramatta	Christianity	Assyrian Apostolic	M	1171
Cabramatta	Christianity	Baptist	F	476
Cabramatta	Christianity	Baptist	M	428
Cabramatta	Christianity	Brethren	F	4
Cabramatta	Christianity	Catholic	F	10856
