SA4_NAME21	IndigenousStatus	persons
Ballarat	Both Aboriginal & Torres Strait Islander	64
Ballarat	Non-indigenous	170860
Ballarat	Torres Strait Islander	106
Bendigo	Aboriginal	3138
Bendigo	Both Aboriginal & Torres Strait Islander	75
Bendigo	Non-indigenous	164434
Bendigo	Torres Strait Islander	117
Geelong	Aboriginal	3798
Geelong	Both Aboriginal & Torres Strait Islander	106
Geelong	Non-indigenous	323861
Geelong	Torres Strait Islander	113
Hume	Aboriginal	3771
Hume	Both Aboriginal & Torres Strait Islander	97
Hume	Non-indigenous	180941
Hume	Torres Strait Islander	126
Latrobe - Gippsland	Aboriginal	5522
Latrobe - Gippsland	Both Aboriginal & Torres Strait Islander	111
Latrobe - Gippsland	Non-indigenous	295029
Latrobe - Gippsland	Torres Strait Islander	186
Melbourne - Inner	Aboriginal	3105
Melbourne - Inner	Both Aboriginal & Torres Strait Islander	129
Melbourne - Inner	Non-indigenous	613672
Melbourne - Inner	Torres Strait Islander	112
Melbourne - Inner East	Aboriginal	900
Melbourne - Inner East	Both Aboriginal & Torres Strait Islander	25
Melbourne - Inner East	Non-indigenous	372511
Melbourne - Inner East	Torres Strait Islander	36
Melbourne - Inner South	Aboriginal	1353
Melbourne - Inner South	Both Aboriginal & Torres Strait Islander	36
Melbourne - Inner South	Non-indigenous	421173
Melbourne - Inner South	Torres Strait Islander	77
Melbourne - North East	Aboriginal	4834
Melbourne - North East	Both Aboriginal & Torres Strait Islander	140
Melbourne - North East	Non-indigenous	535548
Melbourne - North East	Torres Strait Islander	142
Melbourne - North West	Aboriginal	2794
Melbourne - North West	Both Aboriginal & Torres Strait Islander	77
Melbourne - North West	Non-indigenous	421326
Melbourne - North West	Torres Strait Islander	131
Melbourne - Outer East	Aboriginal	3530
Melbourne - Outer East	Both Aboriginal & Torres Strait Islander	91
Melbourne - Outer East	Non-indigenous	514543
Melbourne - Outer East	Torres Strait Islander	137
Melbourne - South East	Aboriginal	4442
Melbourne - South East	Both Aboriginal & Torres Strait Islander	120
Melbourne - South East	Non-indigenous	855312
Melbourne - South East	Torres Strait Islander	186
Melbourne - West	Aboriginal	6668
Melbourne - West	Both Aboriginal & Torres Strait Islander	183
Melbourne - West	Non-indigenous	846039
Melbourne - West	Torres Strait Islander	164
Mornington Peninsula	Aboriginal	3272
Mornington Peninsula	Both Aboriginal & Torres Strait Islander	99
Mornington Peninsula	Non-indigenous	304707
Mornington Peninsula	Torres Strait Islander	148
North West	Aboriginal	4716
North West	Both Aboriginal & Torres Strait Islander	151
North West	Non-indigenous	150556
North West	Torres Strait Islander	145
Shepparton	Aboriginal	4267
Shepparton	Both Aboriginal & Torres Strait Islander	124
Shepparton	Non-indigenous	133116
Shepparton	Torres Strait Islander	111
Warrnambool and South West	Aboriginal	2388
Warrnambool and South West	Both Aboriginal & Torres Strait Islander	45
Warrnambool and South West	Non-indigenous	125586
Warrnambool and South West	Torres Strait Islander	50
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	38
No usual address (Vic.)	Aboriginal	448
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	4
No usual address (Vic.)	Non-indigenous	8628
No usual address (Vic.)	Torres Strait Islander	9
Brisbane - East	Aboriginal	6028
Brisbane - East	Both Aboriginal & Torres Strait Islander	365
Brisbane - East	Non-indigenous	233115
Brisbane - East	Torres Strait Islander	309
Brisbane - North	Aboriginal	4786
Brisbane - North	Both Aboriginal & Torres Strait Islander	376
Brisbane - North	Non-indigenous	219084
Brisbane - North	Torres Strait Islander	352
Brisbane - South	Aboriginal	4911
Brisbane - South	Both Aboriginal & Torres Strait Islander	410
Brisbane - South	Non-indigenous	365288
Brisbane - South	Torres Strait Islander	417
Brisbane - West	Aboriginal	1969
Brisbane - West	Both Aboriginal & Torres Strait Islander	129
Brisbane - West	Non-indigenous	186929
Brisbane - West	Torres Strait Islander	186
Brisbane Inner City	Aboriginal	3502
Brisbane Inner City	Both Aboriginal & Torres Strait Islander	241
Brisbane Inner City	Non-indigenous	288211
Brisbane Inner City	Torres Strait Islander	291
Cairns	Aboriginal	17110
Cairns	Both Aboriginal & Torres Strait Islander	4825
Cairns	Non-indigenous	226815
Cairns	Torres Strait Islander	4998
Darling Downs - Maranoa	Aboriginal	8763
Darling Downs - Maranoa	Both Aboriginal & Torres Strait Islander	254
Darling Downs - Maranoa	Non-indigenous	119373
Darling Downs - Maranoa	Torres Strait Islander	232
Central Queensland	Aboriginal	14545
Central Queensland	Both Aboriginal & Torres Strait Islander	1251
Central Queensland	Non-indigenous	211762
Central Queensland	Torres Strait Islander	688
Gold Coast	Aboriginal	12724
Gold Coast	Both Aboriginal & Torres Strait Islander	585
Gold Coast	Non-indigenous	626880
Gold Coast	Torres Strait Islander	589
Ipswich	Aboriginal	16588
Ipswich	Both Aboriginal & Torres Strait Islander	1017
Ipswich	Non-indigenous	348727
Ipswich	Torres Strait Islander	794
Logan - Beaudesert	Aboriginal	13665
Logan - Beaudesert	Both Aboriginal & Torres Strait Islander	975
Logan - Beaudesert	Non-indigenous	344306
Logan - Beaudesert	Torres Strait Islander	821
Mackay - Isaac - Whitsunday	Aboriginal	7519
Mackay - Isaac - Whitsunday	Both Aboriginal & Torres Strait Islander	1637
Mackay - Isaac - Whitsunday	Non-indigenous	170070
Mackay - Isaac - Whitsunday	Torres Strait Islander	1668
Moreton Bay - North	Aboriginal	11310
Moreton Bay - North	Both Aboriginal & Torres Strait Islander	669
Moreton Bay - North	Non-indigenous	252309
Moreton Bay - North	Torres Strait Islander	464
Moreton Bay - South	Aboriginal	5678
Moreton Bay - South	Both Aboriginal & Torres Strait Islander	353
Moreton Bay - South	Non-indigenous	211340
Moreton Bay - South	Torres Strait Islander	329
Queensland - Outback	Aboriginal	16358
Queensland - Outback	Both Aboriginal & Torres Strait Islander	4364
Queensland - Outback	Non-indigenous	53061
Queensland - Outback	Torres Strait Islander	6044
Sunshine Coast	Aboriginal	8501
Sunshine Coast	Both Aboriginal & Torres Strait Islander	382
Sunshine Coast	Non-indigenous	389574
Sunshine Coast	Torres Strait Islander	383
Toowoomba	Aboriginal	7272
Toowoomba	Both Aboriginal & Torres Strait Islander	252
Toowoomba	Non-indigenous	154319
Toowoomba	Torres Strait Islander	216
Townsville	Aboriginal	15886
Townsville	Both Aboriginal & Torres Strait Islander	3020
Townsville	Non-indigenous	213104
Townsville	Torres Strait Islander	2273
Wide Bay	Aboriginal	15262
Wide Bay	Both Aboriginal & Torres Strait Islander	922
Wide Bay	Non-indigenous	290906
Wide Bay	Torres Strait Islander	655
Migratory - Offshore - Shipping (Qld)	Non-indigenous	183
No usual address (Qld)	Aboriginal	1025
No usual address (Qld)	Both Aboriginal & Torres Strait Islander	84
No usual address (Qld)	Non-indigenous	13489
No usual address (Qld)	Torres Strait Islander	72
Adelaide - Central and Hills	Aboriginal	2220
Adelaide - Central and Hills	Both Aboriginal & Torres Strait Islander	89
Adelaide - Central and Hills	Non-indigenous	309969
Adelaide - Central and Hills	Torres Strait Islander	99
Adelaide - North	Aboriginal	10839
Adelaide - North	Both Aboriginal & Torres Strait Islander	261
Adelaide - North	Non-indigenous	444310
Adelaide - North	Torres Strait Islander	297
Adelaide - South	Aboriginal	5074
Adelaide - South	Both Aboriginal & Torres Strait Islander	154
Adelaide - South	Non-indigenous	369479
Adelaide - South	Torres Strait Islander	152
Adelaide - West	Aboriginal	4296
Adelaide - West	Both Aboriginal & Torres Strait Islander	135
Adelaide - West	Non-indigenous	239787
Adelaide - West	Torres Strait Islander	129
Barossa - Yorke - Mid North	Aboriginal	3062
Barossa - Yorke - Mid North	Both Aboriginal & Torres Strait Islander	62
Barossa - Yorke - Mid North	Non-indigenous	111283
Barossa - Yorke - Mid North	Torres Strait Islander	80
South Australia - Outback	Aboriginal	9414
South Australia - Outback	Both Aboriginal & Torres Strait Islander	150
South Australia - Outback	Non-indigenous	72964
South Australia - Outback	Torres Strait Islander	118
South Australia - South East	Aboriginal	5318
South Australia - South East	Both Aboriginal & Torres Strait Islander	118
South Australia - South East	Non-indigenous	188165
South Australia - South East	Torres Strait Islander	108
Migratory - Offshore - Shipping (SA)	Non-indigenous	12
No usual address (SA)	Aboriginal	376
No usual address (SA)	Both Aboriginal & Torres Strait Islander	6
No usual address (SA)	Non-indigenous	2995
Bunbury	Aboriginal	5136
Bunbury	Both Aboriginal & Torres Strait Islander	105
Bunbury	Non-indigenous	183418
Bunbury	Torres Strait Islander	88
Mandurah	Aboriginal	2967
Mandurah	Both Aboriginal & Torres Strait Islander	52
Mandurah	Non-indigenous	104549
Mandurah	Torres Strait Islander	73
Perth - Inner	Aboriginal	1344
Perth - Inner	Both Aboriginal & Torres Strait Islander	25
Perth - Inner	Non-indigenous	180858
Perth - Inner	Torres Strait Islander	40
Perth - North East	Aboriginal	7807
Perth - North East	Both Aboriginal & Torres Strait Islander	219
Perth - North East	Non-indigenous	268362
Perth - North East	Torres Strait Islander	185
Perth - North West	Aboriginal	7365
Perth - North West	Both Aboriginal & Torres Strait Islander	200
Perth - North West	Non-indigenous	569489
Perth - North West	Torres Strait Islander	243
Perth - South East	Aboriginal	11651
Perth - South East	Both Aboriginal & Torres Strait Islander	281
Perth - South East	Non-indigenous	517301
Perth - South East	Torres Strait Islander	233
Perth - South West	Aboriginal	8924
Perth - South West	Both Aboriginal & Torres Strait Islander	274
Perth - South West	Non-indigenous	434014
Perth - South West	Torres Strait Islander	195
Western Australia - Wheat Belt	Aboriginal	5786
Western Australia - Wheat Belt	Both Aboriginal & Torres Strait Islander	71
Western Australia - Wheat Belt	Non-indigenous	131242
Western Australia - Wheat Belt	Torres Strait Islander	76
Western Australia - Outback (North)	Aboriginal	21411
Western Australia - Outback (North)	Both Aboriginal & Torres Strait Islander	650
Western Australia - Outback (North)	Non-indigenous	67697
Western Australia - Outback (North)	Torres Strait Islander	370
Western Australia - Outback (South)	Aboriginal	11141
Western Australia - Outback (South)	Both Aboriginal & Torres Strait Islander	166
Western Australia - Outback (South)	Non-indigenous	107335
Western Australia - Outback (South)	Torres Strait Islander	116
Migratory - Offshore - Shipping (WA)	Aboriginal	9
Migratory - Offshore - Shipping (WA)	Non-indigenous	505
No usual address (WA)	Aboriginal	1464
No usual address (WA)	Both Aboriginal & Torres Strait Islander	19
No usual address (WA)	Non-indigenous	6561
No usual address (WA)	Torres Strait Islander	11
Hobart	Aboriginal	10188
Hobart	Both Aboriginal & Torres Strait Islander	525
Hobart	Non-indigenous	235866
Hobart	Torres Strait Islander	507
Launceston and North East	Aboriginal	5375
Launceston and North East	Both Aboriginal & Torres Strait Islander	228
Launceston and North East	Non-indigenous	145328
Launceston and North East	Torres Strait Islander	264
South East	Aboriginal	2981
South East	Both Aboriginal & Torres Strait Islander	108
South East	Non-indigenous	38534
South East	Torres Strait Islander	111
West and North West	Aboriginal	9054
West and North West	Both Aboriginal & Torres Strait Islander	363
West and North West	Non-indigenous	106396
West and North West	Torres Strait Islander	343
Migratory - Offshore - Shipping (Tas.)	Non-indigenous	19
No usual address (Tas.)	Aboriginal	143
No usual address (Tas.)	Both Aboriginal & Torres Strait Islander	5
No usual address (Tas.)	Non-indigenous	1229
Darwin	Aboriginal	12638
Darwin	Both Aboriginal & Torres Strait Islander	1400
Darwin	Non-indigenous	125365
Darwin	Torres Strait Islander	499
Northern Territory - Outback	Aboriginal	44669
Northern Territory - Outback	Both Aboriginal & Torres Strait Islander	445
Northern Territory - Outback	Non-indigenous	43810
Northern Territory - Outback	Torres Strait Islander	179
Migratory - Offshore - Shipping (NT)	Aboriginal	8
Migratory - Offshore - Shipping (NT)	Non-indigenous	91
No usual address (NT)	Aboriginal	1247
No usual address (NT)	Both Aboriginal & Torres Strait Islander	7
No usual address (NT)	Non-indigenous	2228
No usual address (NT)	Torres Strait Islander	18
Australian Capital Territory	Aboriginal	8383
Australian Capital Territory	Both Aboriginal & Torres Strait Islander	298
Australian Capital Territory	Non-indigenous	444980
Australian Capital Territory	Torres Strait Islander	229
No usual address (ACT)	Aboriginal	41
No usual address (ACT)	Non-indigenous	564
Other Territories	Aboriginal	212
Other Territories	Both Aboriginal & Torres Strait Islander	6
Other Territories	Non-indigenous	4560
No usual address (OT)	Non-indigenous	7
No usual address (OT)	Torres Strait Islander	4
