SA4_NAME21	Religion	Denomination	Sex	persons
Central West	Christianity	Uniting Church	F	4915
Central West	Christianity	Uniting Church	M	4124
Central West	Hinduism		F	653
Central West	Hinduism		M	719
Central West	Islam		F	365
Central West	Islam		M	474
Central West	Judaism		F	41
Central West	Judaism		M	51
Central West	No religion		F	30691
Central West	No religion		M	34593
Coffs Harbour - Grafton	(Other)		F	6036
Coffs Harbour - Grafton	(Other)		M	7077
Coffs Harbour - Grafton	(Other)	(Other)	F	596
Coffs Harbour - Grafton	(Other)	(Other)	M	430
Coffs Harbour - Grafton	(Other)	Australian Aboriginal Traditional	F	27
Coffs Harbour - Grafton	(Other)	Australian Aboriginal Traditional	M	32
Coffs Harbour - Grafton	(Other)	Other spiritual beliefs	F	242
Coffs Harbour - Grafton	(Other)	Other spiritual beliefs	M	132
Coffs Harbour - Grafton	(Other)	Secular beliefs	F	187
Coffs Harbour - Grafton	(Other)	Secular beliefs	M	249
Coffs Harbour - Grafton	(Other)	Sikhism	F	953
Coffs Harbour - Grafton	(Other)	Sikhism	M	1004
Coffs Harbour - Grafton	Buddhism		F	843
Coffs Harbour - Grafton	Buddhism		M	537
Coffs Harbour - Grafton	Christianity		F	1806
Coffs Harbour - Grafton	Christianity		M	1417
Coffs Harbour - Grafton	Christianity	(Other)	F	46
Coffs Harbour - Grafton	Christianity	(Other)	M	32
Coffs Harbour - Grafton	Christianity	Anglican	F	12779
Coffs Harbour - Grafton	Christianity	Anglican	M	10918
Coffs Harbour - Grafton	Christianity	Baptist	F	1061
Coffs Harbour - Grafton	Christianity	Baptist	M	976
Coffs Harbour - Grafton	Christianity	Brethren	F	9
Coffs Harbour - Grafton	Christianity	Brethren	M	5
Coffs Harbour - Grafton	Christianity	Catholic	F	13093
Coffs Harbour - Grafton	Christianity	Catholic	M	11123
Coffs Harbour - Grafton	Christianity	Churches Of Christ	F	34
Coffs Harbour - Grafton	Christianity	Churches Of Christ	M	32
Coffs Harbour - Grafton	Christianity	Eastern Orthodox	F	127
Coffs Harbour - Grafton	Christianity	Eastern Orthodox	M	130
Coffs Harbour - Grafton	Christianity	Jehovah's Witnesses	F	485
Coffs Harbour - Grafton	Christianity	Jehovah's Witnesses	M	400
Coffs Harbour - Grafton	Christianity	Latter Day Saints	F	72
Coffs Harbour - Grafton	Christianity	Latter Day Saints	M	59
Coffs Harbour - Grafton	Christianity	Lutheran	F	173
Coffs Harbour - Grafton	Christianity	Lutheran	M	125
Coffs Harbour - Grafton	Christianity	Oriental Orthodox	F	24
Coffs Harbour - Grafton	Christianity	Oriental Orthodox	M	22
Coffs Harbour - Grafton	Christianity	Pentecostal	F	959
Coffs Harbour - Grafton	Christianity	Pentecostal	M	756
Coffs Harbour - Grafton	Christianity	Presbyterian Reformed	F	2621
Coffs Harbour - Grafton	Christianity	Presbyterian Reformed	M	2288
Coffs Harbour - Grafton	Christianity	Protestant (Other)	F	270
Coffs Harbour - Grafton	Christianity	Protestant (Other)	M	239
Coffs Harbour - Grafton	Christianity	Salvation Army	F	206
Coffs Harbour - Grafton	Christianity	Salvation Army	M	143
Coffs Harbour - Grafton	Christianity	Seventh Day Adventist	F	247
Coffs Harbour - Grafton	Christianity	Seventh Day Adventist	M	191
Coffs Harbour - Grafton	Christianity	Uniting Church	F	2123
Coffs Harbour - Grafton	Christianity	Uniting Church	M	1645
Coffs Harbour - Grafton	Hinduism		F	231
Coffs Harbour - Grafton	Hinduism		M	240
Coffs Harbour - Grafton	Islam		F	241
Coffs Harbour - Grafton	Islam		M	287
Coffs Harbour - Grafton	Judaism		F	63
Coffs Harbour - Grafton	Judaism		M	65
Coffs Harbour - Grafton	No religion		F	29094
Coffs Harbour - Grafton	No religion		M	30959
Far West and Orana	(Other)		F	7026
Far West and Orana	(Other)		M	7931
Far West and Orana	(Other)	(Other)	F	127
Far West and Orana	(Other)	(Other)	M	70
Far West and Orana	(Other)	Australian Aboriginal Traditional	F	36
Far West and Orana	(Other)	Australian Aboriginal Traditional	M	34
Far West and Orana	(Other)	Other spiritual beliefs	F	65
Far West and Orana	(Other)	Other spiritual beliefs	M	48
Far West and Orana	(Other)	Secular beliefs	F	83
Far West and Orana	(Other)	Secular beliefs	M	119
Far West and Orana	(Other)	Sikhism	F	153
Far West and Orana	(Other)	Sikhism	M	182
Far West and Orana	Buddhism		F	340
Far West and Orana	Buddhism		M	265
Far West and Orana	Christianity		F	1153
Far West and Orana	Christianity		M	991
Far West and Orana	Christianity	(Other)	F	16
Far West and Orana	Christianity	(Other)	M	16
Far West and Orana	Christianity	Anglican	F	10768
Far West and Orana	Christianity	Anglican	M	9570
Far West and Orana	Christianity	Baptist	F	773
Far West and Orana	Christianity	Baptist	M	711
Far West and Orana	Christianity	Brethren	F	10
Far West and Orana	Christianity	Brethren	M	7
Far West and Orana	Christianity	Catholic	F	14504
Far West and Orana	Christianity	Catholic	M	12962
Far West and Orana	Christianity	Churches Of Christ	F	39
Far West and Orana	Christianity	Churches Of Christ	M	37
Far West and Orana	Christianity	Eastern Orthodox	F	141
Far West and Orana	Christianity	Eastern Orthodox	M	139
Far West and Orana	Christianity	Jehovah's Witnesses	F	133
Far West and Orana	Christianity	Jehovah's Witnesses	M	99
Far West and Orana	Christianity	Latter Day Saints	F	57
Far West and Orana	Christianity	Latter Day Saints	M	47
Far West and Orana	Christianity	Lutheran	F	207
Far West and Orana	Christianity	Lutheran	M	180
Far West and Orana	Christianity	Oriental Orthodox	F	27
Far West and Orana	Christianity	Oriental Orthodox	M	31
Far West and Orana	Christianity	Pentecostal	F	430
Far West and Orana	Christianity	Pentecostal	M	345
Far West and Orana	Christianity	Presbyterian Reformed	F	1739
Far West and Orana	Christianity	Presbyterian Reformed	M	1606
Far West and Orana	Christianity	Protestant (Other)	F	159
Far West and Orana	Christianity	Protestant (Other)	M	152
Far West and Orana	Christianity	Salvation Army	F	177
Far West and Orana	Christianity	Salvation Army	M	125
Far West and Orana	Christianity	Seventh Day Adventist	F	193
Far West and Orana	Christianity	Seventh Day Adventist	M	161
Far West and Orana	Christianity	Uniting Church	F	2599
Far West and Orana	Christianity	Uniting Church	M	2092
Far West and Orana	Hinduism		F	699
Far West and Orana	Hinduism		M	772
Far West and Orana	Islam		F	303
Far West and Orana	Islam		M	378
Far West and Orana	Judaism		F	17
Far West and Orana	Judaism		M	19
Far West and Orana	No religion		F	16263
Far West and Orana	No religion		M	18232
Hunter Valley exc Newcastle	(Other)		F	8543
Hunter Valley exc Newcastle	(Other)		M	11300
Hunter Valley exc Newcastle	(Other)	(Other)	F	484
Hunter Valley exc Newcastle	(Other)	(Other)	M	261
Hunter Valley exc Newcastle	(Other)	Australian Aboriginal Traditional	F	33
Hunter Valley exc Newcastle	(Other)	Australian Aboriginal Traditional	M	29
Hunter Valley exc Newcastle	(Other)	Other spiritual beliefs	F	264
Hunter Valley exc Newcastle	(Other)	Other spiritual beliefs	M	166
Hunter Valley exc Newcastle	(Other)	Secular beliefs	F	308
Hunter Valley exc Newcastle	(Other)	Secular beliefs	M	396
Hunter Valley exc Newcastle	(Other)	Sikhism	F	200
Hunter Valley exc Newcastle	(Other)	Sikhism	M	246
Hunter Valley exc Newcastle	Buddhism		F	1084
Hunter Valley exc Newcastle	Buddhism		M	646
Hunter Valley exc Newcastle	Christianity		F	2938
Hunter Valley exc Newcastle	Christianity		M	2622
Hunter Valley exc Newcastle	Christianity	(Other)	F	102
Hunter Valley exc Newcastle	Christianity	(Other)	M	109
Hunter Valley exc Newcastle	Christianity	Anglican	F	32096
Hunter Valley exc Newcastle	Christianity	Anglican	M	27911
Hunter Valley exc Newcastle	Christianity	Baptist	F	2147
Hunter Valley exc Newcastle	Christianity	Baptist	M	1930
Hunter Valley exc Newcastle	Christianity	Brethren	F	163
Hunter Valley exc Newcastle	Christianity	Brethren	M	173
Hunter Valley exc Newcastle	Christianity	Catholic	F	31542
Hunter Valley exc Newcastle	Christianity	Catholic	M	28577
Hunter Valley exc Newcastle	Christianity	Churches Of Christ	F	106
Hunter Valley exc Newcastle	Christianity	Churches Of Christ	M	79
Hunter Valley exc Newcastle	Christianity	Eastern Orthodox	F	477
Hunter Valley exc Newcastle	Christianity	Eastern Orthodox	M	491
Hunter Valley exc Newcastle	Christianity	Jehovah's Witnesses	F	474
Hunter Valley exc Newcastle	Christianity	Jehovah's Witnesses	M	323
Hunter Valley exc Newcastle	Christianity	Latter Day Saints	F	227
Hunter Valley exc Newcastle	Christianity	Latter Day Saints	M	198
Hunter Valley exc Newcastle	Christianity	Lutheran	F	253
Hunter Valley exc Newcastle	Christianity	Lutheran	M	180
Hunter Valley exc Newcastle	Christianity	Oriental Orthodox	F	42
Hunter Valley exc Newcastle	Christianity	Oriental Orthodox	M	54
Hunter Valley exc Newcastle	Christianity	Pentecostal	F	1253
Hunter Valley exc Newcastle	Christianity	Pentecostal	M	1042
Hunter Valley exc Newcastle	Christianity	Presbyterian Reformed	F	3491
Hunter Valley exc Newcastle	Christianity	Presbyterian Reformed	M	3134
Hunter Valley exc Newcastle	Christianity	Protestant (Other)	F	734
Hunter Valley exc Newcastle	Christianity	Protestant (Other)	M	623
Hunter Valley exc Newcastle	Christianity	Salvation Army	F	431
Hunter Valley exc Newcastle	Christianity	Salvation Army	M	317
Hunter Valley exc Newcastle	Christianity	Seventh Day Adventist	F	410
Hunter Valley exc Newcastle	Christianity	Seventh Day Adventist	M	372
Hunter Valley exc Newcastle	Christianity	Uniting Church	F	5899
Hunter Valley exc Newcastle	Christianity	Uniting Church	M	4525
Hunter Valley exc Newcastle	Hinduism		F	604
Hunter Valley exc Newcastle	Hinduism		M	707
Hunter Valley exc Newcastle	Islam		F	442
Hunter Valley exc Newcastle	Islam		M	547
Hunter Valley exc Newcastle	Judaism		F	72
Hunter Valley exc Newcastle	Judaism		M	67
Hunter Valley exc Newcastle	No religion		F	51979
Hunter Valley exc Newcastle	No religion		M	58106
Illawarra	(Other)		F	8936
Illawarra	(Other)		M	9474
Illawarra	(Other)	(Other)	F	550
Illawarra	(Other)	(Other)	M	358
Illawarra	(Other)	Australian Aboriginal Traditional	F	29
Illawarra	(Other)	Australian Aboriginal Traditional	M	25
Illawarra	(Other)	Other spiritual beliefs	F	364
Illawarra	(Other)	Other spiritual beliefs	M	234
Illawarra	(Other)	Secular beliefs	F	469
Illawarra	(Other)	Secular beliefs	M	550
Illawarra	(Other)	Sikhism	F	163
Illawarra	(Other)	Sikhism	M	171
Illawarra	Buddhism		F	1917
Illawarra	Buddhism		M	1205
Illawarra	Christianity		F	4573
Illawarra	Christianity		M	4189
Illawarra	Christianity	(Other)	F	89
Illawarra	Christianity	(Other)	M	73
Illawarra	Christianity	Anglican	F	23656
Illawarra	Christianity	Anglican	M	19394
Illawarra	Christianity	Assyrian Apostolic	F	10
Illawarra	Christianity	Assyrian Apostolic	M	13
Illawarra	Christianity	Baptist	F	1365
Illawarra	Christianity	Baptist	M	1180
Illawarra	Christianity	Brethren	F	156
Illawarra	Christianity	Brethren	M	148
Illawarra	Christianity	Catholic	F	38625
Illawarra	Christianity	Catholic	M	34297
Illawarra	Christianity	Churches Of Christ	F	145
Illawarra	Christianity	Churches Of Christ	M	111
Illawarra	Christianity	Eastern Orthodox	F	6090
Illawarra	Christianity	Eastern Orthodox	M	6077
Illawarra	Christianity	Jehovah's Witnesses	F	735
Illawarra	Christianity	Jehovah's Witnesses	M	564
Illawarra	Christianity	Latter Day Saints	F	203
Illawarra	Christianity	Latter Day Saints	M	164
Illawarra	Christianity	Lutheran	F	550
Illawarra	Christianity	Lutheran	M	430
Illawarra	Christianity	Oriental Orthodox	F	229
Illawarra	Christianity	Oriental Orthodox	M	247
Illawarra	Christianity	Pentecostal	F	1337
Illawarra	Christianity	Pentecostal	M	1143
Illawarra	Christianity	Presbyterian Reformed	F	2951
Illawarra	Christianity	Presbyterian Reformed	M	2460
Illawarra	Christianity	Protestant (Other)	F	521
Illawarra	Christianity	Protestant (Other)	M	433
Illawarra	Christianity	Salvation Army	F	357
Illawarra	Christianity	Salvation Army	M	248
Illawarra	Christianity	Seventh Day Adventist	F	196
Illawarra	Christianity	Seventh Day Adventist	M	146
Illawarra	Christianity	Uniting Church	F	4549
Illawarra	Christianity	Uniting Church	M	3326
Illawarra	Hinduism		F	1007
Illawarra	Hinduism		M	1287
Illawarra	Islam		F	3179
Illawarra	Islam		M	3364
Illawarra	Judaism		F	99
Illawarra	Judaism		M	115
Illawarra	No religion		F	56712
Illawarra	No religion		M	62639
Mid North Coast	(Other)		F	9034
Mid North Coast	(Other)		M	9984
Mid North Coast	(Other)	(Other)	F	404
Mid North Coast	(Other)	(Other)	M	252
Mid North Coast	(Other)	Australian Aboriginal Traditional	F	71
Mid North Coast	(Other)	Australian Aboriginal Traditional	M	72
Mid North Coast	(Other)	Other spiritual beliefs	F	320
Mid North Coast	(Other)	Other spiritual beliefs	M	169
Mid North Coast	(Other)	Secular beliefs	F	253
Mid North Coast	(Other)	Secular beliefs	M	326
Mid North Coast	(Other)	Sikhism	F	101
Mid North Coast	(Other)	Sikhism	M	129
Mid North Coast	Buddhism		F	972
Mid North Coast	Buddhism		M	630
Mid North Coast	Christianity		F	2795
Mid North Coast	Christianity		M	2312
Mid North Coast	Christianity	(Other)	F	70
Mid North Coast	Christianity	(Other)	M	46
Mid North Coast	Christianity	Anglican	F	24634
Mid North Coast	Christianity	Anglican	M	21171
Mid North Coast	Christianity	Assyrian Apostolic	M	3
Mid North Coast	Christianity	Baptist	F	1429
Mid North Coast	Christianity	Baptist	M	1278
Mid North Coast	Christianity	Brethren	F	5
Mid North Coast	Christianity	Brethren	M	6
Mid North Coast	Christianity	Catholic	F	22569
Mid North Coast	Christianity	Catholic	M	19428
Mid North Coast	Christianity	Churches Of Christ	F	91
Mid North Coast	Christianity	Churches Of Christ	M	54
Mid North Coast	Christianity	Eastern Orthodox	F	290
Mid North Coast	Christianity	Eastern Orthodox	M	278
Mid North Coast	Christianity	Jehovah's Witnesses	F	836
Mid North Coast	Christianity	Jehovah's Witnesses	M	650
Mid North Coast	Christianity	Latter Day Saints	F	159
Mid North Coast	Christianity	Latter Day Saints	M	130
Mid North Coast	Christianity	Lutheran	F	260
Mid North Coast	Christianity	Lutheran	M	191
Mid North Coast	Christianity	Oriental Orthodox	F	43
Mid North Coast	Christianity	Oriental Orthodox	M	45
Mid North Coast	Christianity	Pentecostal	F	894
Mid North Coast	Christianity	Pentecostal	M	677
Mid North Coast	Christianity	Presbyterian Reformed	F	3503
Mid North Coast	Christianity	Presbyterian Reformed	M	3017
Mid North Coast	Christianity	Protestant (Other)	F	628
Mid North Coast	Christianity	Protestant (Other)	M	559
Mid North Coast	Christianity	Salvation Army	F	539
Mid North Coast	Christianity	Salvation Army	M	380
Mid North Coast	Christianity	Seventh Day Adventist	F	795
Mid North Coast	Christianity	Seventh Day Adventist	M	614
Mid North Coast	Christianity	Uniting Church	F	4975
Mid North Coast	Christianity	Uniting Church	M	3589
Mid North Coast	Hinduism		F	408
Mid North Coast	Hinduism		M	428
Mid North Coast	Islam		F	229
Mid North Coast	Islam		M	235
Mid North Coast	Judaism		F	79
Mid North Coast	Judaism		M	78
Mid North Coast	No religion		F	41324
Mid North Coast	No religion		M	44599
Murray	(Other)		F	5171
Murray	(Other)		M	5704
Murray	(Other)	(Other)	F	171
Murray	(Other)	(Other)	M	120
Murray	(Other)	Australian Aboriginal Traditional	F	9
Murray	(Other)	Australian Aboriginal Traditional	M	10
Murray	(Other)	Other spiritual beliefs	F	73
Murray	(Other)	Other spiritual beliefs	M	56
Murray	(Other)	Secular beliefs	F	78
Murray	(Other)	Secular beliefs	M	119
Murray	(Other)	Sikhism	F	348
Murray	(Other)	Sikhism	M	419
Murray	Buddhism		F	469
Murray	Buddhism		M	321
Murray	Christianity		F	1180
Murray	Christianity		M	1059
Murray	Christianity	(Other)	F	28
Murray	Christianity	(Other)	M	26
Murray	Christianity	Anglican	F	9364
Murray	Christianity	Anglican	M	7810
Murray	Christianity	Baptist	F	591
Murray	Christianity	Baptist	M	554
Murray	Christianity	Brethren	F	74
Murray	Christianity	Brethren	M	76
Murray	Christianity	Catholic	F	14448
Murray	Christianity	Catholic	M	13252
Murray	Christianity	Churches Of Christ	F	65
Murray	Christianity	Churches Of Christ	M	41
Murray	Christianity	Eastern Orthodox	F	215
Murray	Christianity	Eastern Orthodox	M	207
Murray	Christianity	Jehovah's Witnesses	F	198
Murray	Christianity	Jehovah's Witnesses	M	131
Murray	Christianity	Latter Day Saints	F	84
Murray	Christianity	Latter Day Saints	M	54
Murray	Christianity	Lutheran	F	1120
Murray	Christianity	Lutheran	M	954
Murray	Christianity	Oriental Orthodox	F	18
Murray	Christianity	Oriental Orthodox	M	14
Murray	Christianity	Pentecostal	F	527
Murray	Christianity	Pentecostal	M	422
Murray	Christianity	Presbyterian Reformed	F	2083
Murray	Christianity	Presbyterian Reformed	M	1890
Murray	Christianity	Protestant (Other)	F	134
Murray	Christianity	Protestant (Other)	M	119
Murray	Christianity	Salvation Army	F	98
Murray	Christianity	Salvation Army	M	78
Murray	Christianity	Seventh Day Adventist	F	167
Murray	Christianity	Seventh Day Adventist	M	135
Murray	Christianity	Uniting Church	F	3029
Murray	Christianity	Uniting Church	M	2337
Murray	Hinduism		F	667
Murray	Hinduism		M	782
Murray	Islam		F	210
Murray	Islam		M	271
Murray	Judaism		F	28
Murray	Judaism		M	25
Murray	No religion		F	22003
Murray	No religion		M	23946
New England and North West	(Other)		F	9800
New England and North West	(Other)		M	10362
New England and North West	(Other)	(Other)	F	616
New England and North West	(Other)	(Other)	M	431
New England and North West	(Other)	Australian Aboriginal Traditional	F	70
New England and North West	(Other)	Australian Aboriginal Traditional	M	74
New England and North West	(Other)	Other spiritual beliefs	F	129
New England and North West	(Other)	Other spiritual beliefs	M	80
New England and North West	(Other)	Secular beliefs	F	156
New England and North West	(Other)	Secular beliefs	M	200
New England and North West	(Other)	Sikhism	F	150
New England and North West	(Other)	Sikhism	M	165
New England and North West	Buddhism		F	631
New England and North West	Buddhism		M	457
New England and North West	Christianity		F	2105
New England and North West	Christianity		M	1852
New England and North West	Christianity	(Other)	F	66
New England and North West	Christianity	(Other)	M	75
New England and North West	Christianity	Anglican	F	22766
New England and North West	Christianity	Anglican	M	20133
New England and North West	Christianity	Assyrian Apostolic	M	3
New England and North West	Christianity	Baptist	F	756
New England and North West	Christianity	Baptist	M	670
New England and North West	Christianity	Brethren	F	176
New England and North West	Christianity	Brethren	M	175
New England and North West	Christianity	Catholic	F	19887
New England and North West	Christianity	Catholic	M	17661
New England and North West	Christianity	Churches Of Christ	F	53
New England and North West	Christianity	Churches Of Christ	M	35
New England and North West	Christianity	Eastern Orthodox	F	137
New England and North West	Christianity	Eastern Orthodox	M	149
New England and North West	Christianity	Jehovah's Witnesses	F	384
New England and North West	Christianity	Jehovah's Witnesses	M	292
New England and North West	Christianity	Latter Day Saints	F	82
New England and North West	Christianity	Latter Day Saints	M	71
New England and North West	Christianity	Lutheran	F	212
New England and North West	Christianity	Lutheran	M	164
New England and North West	Christianity	Oriental Orthodox	F	18
New England and North West	Christianity	Oriental Orthodox	M	20
New England and North West	Christianity	Pentecostal	F	769
New England and North West	Christianity	Pentecostal	M	626
New England and North West	Christianity	Presbyterian Reformed	F	3360
New England and North West	Christianity	Presbyterian Reformed	M	3102
New England and North West	Christianity	Protestant (Other)	F	203
New England and North West	Christianity	Protestant (Other)	M	248
New England and North West	Christianity	Salvation Army	F	352
New England and North West	Christianity	Salvation Army	M	267
New England and North West	Christianity	Seventh Day Adventist	F	291
New England and North West	Christianity	Seventh Day Adventist	M	256
New England and North West	Christianity	Uniting Church	F	3236
New England and North West	Christianity	Uniting Church	M	2629
New England and North West	Hinduism		F	593
New England and North West	Hinduism		M	637
New England and North West	Islam		F	371
New England and North West	Islam		M	470
New England and North West	Judaism		F	29
New England and North West	Judaism		M	41
New England and North West	No religion		F	26910
New England and North West	No religion		M	29906
Newcastle and Lake Macquarie	(Other)		F	10752
Newcastle and Lake Macquarie	(Other)		M	11561
Newcastle and Lake Macquarie	(Other)	(Other)	F	654
Newcastle and Lake Macquarie	(Other)	(Other)	M	410
Newcastle and Lake Macquarie	(Other)	Australian Aboriginal Traditional	F	40
Newcastle and Lake Macquarie	(Other)	Australian Aboriginal Traditional	M	42
Newcastle and Lake Macquarie	(Other)	Other spiritual beliefs	F	499
Newcastle and Lake Macquarie	(Other)	Other spiritual beliefs	M	276
