SA4_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
Central Coast	0-14	Speaks English well or very well	0	2019	87
Central Coast	0-14	Speaks English well or very well	0	2020	41
Central Coast	0-14	Speaks English well or very well	0	2021	12
Central Coast	15-24				3
Central Coast	15-24		1		36
Central Coast	15-24		1	2005	403
Central Coast	15-24		1	2010	714
Central Coast	15-24		1	2015	276
Central Coast	15-24		1	2016	28
Central Coast	15-24		1	2017	40
Central Coast	15-24		1	2018	34
Central Coast	15-24		1	2019	36
Central Coast	15-24		1	2020	17
Central Coast	15-24		1	2021	5
Central Coast	15-24	Speaks English not well or not at all	0	2005	4
Central Coast	15-24	Speaks English not well or not at all	0	2018	8
Central Coast	15-24	Speaks English not well or not at all	0	2019	9
Central Coast	15-24	Speaks English not well or not at all	0	2020	3
Central Coast	15-24	Speaks English not well or not at all	0	2021	4
Central Coast	15-24	Speaks English well or very well	0		19
Central Coast	15-24	Speaks English well or very well	0	2005	107
Central Coast	15-24	Speaks English well or very well	0	2010	251
Central Coast	15-24	Speaks English well or very well	0	2015	230
Central Coast	15-24	Speaks English well or very well	0	2016	63
Central Coast	15-24	Speaks English well or very well	0	2017	57
Central Coast	15-24	Speaks English well or very well	0	2018	86
Central Coast	15-24	Speaks English well or very well	0	2019	107
Central Coast	15-24	Speaks English well or very well	0	2020	32
Central Coast	15-24	Speaks English well or very well	0	2021	7
Central Coast	25-34				7
Central Coast	25-34		1		48
Central Coast	25-34		1	2005	991
Central Coast	25-34		1	2010	391
Central Coast	25-34		1	2015	467
Central Coast	25-34		1	2016	120
Central Coast	25-34		1	2017	124
Central Coast	25-34		1	2018	66
Central Coast	25-34		1	2019	89
Central Coast	25-34		1	2020	53
Central Coast	25-34		1	2021	19
Central Coast	25-34	Speaks English not well or not at all	0		9
Central Coast	25-34	Speaks English not well or not at all	0	2005	6
Central Coast	25-34	Speaks English not well or not at all	0	2010	19
Central Coast	25-34	Speaks English not well or not at all	0	2015	39
Central Coast	25-34	Speaks English not well or not at all	0	2016	11
Central Coast	25-34	Speaks English not well or not at all	0	2017	15
Central Coast	25-34	Speaks English not well or not at all	0	2018	20
Central Coast	25-34	Speaks English not well or not at all	0	2019	25
Central Coast	25-34	Speaks English not well or not at all	0	2020	3
Central Coast	25-34	Speaks English not well or not at all	0	2021	3
Central Coast	25-34	Speaks English well or very well	0		47
Central Coast	25-34	Speaks English well or very well	0	2005	284
Central Coast	25-34	Speaks English well or very well	0	2010	388
Central Coast	25-34	Speaks English well or very well	0	2015	863
Central Coast	25-34	Speaks English well or very well	0	2016	257
Central Coast	25-34	Speaks English well or very well	0	2017	245
Central Coast	25-34	Speaks English well or very well	0	2018	258
Central Coast	25-34	Speaks English well or very well	0	2019	204
Central Coast	25-34	Speaks English well or very well	0	2020	78
Central Coast	25-34	Speaks English well or very well	0	2021	22
Central Coast	35-44				10
Central Coast	35-44			2005	3
Central Coast	35-44			2010	5
Central Coast	35-44		0	2015	3
Central Coast	35-44		1		63
Central Coast	35-44		1	2005	2161
Central Coast	35-44		1	2010	1123
Central Coast	35-44		1	2015	773
Central Coast	35-44		1	2016	92
Central Coast	35-44		1	2017	68
Central Coast	35-44		1	2018	59
Central Coast	35-44		1	2019	59
Central Coast	35-44		1	2020	30
Central Coast	35-44		1	2021	10
Central Coast	35-44	Speaks English not well or not at all	0		6
Central Coast	35-44	Speaks English not well or not at all	0	2005	30
Central Coast	35-44	Speaks English not well or not at all	0	2010	75
Central Coast	35-44	Speaks English not well or not at all	0	2015	80
Central Coast	35-44	Speaks English not well or not at all	0	2016	11
Central Coast	35-44	Speaks English not well or not at all	0	2017	14
Central Coast	35-44	Speaks English not well or not at all	0	2018	9
Central Coast	35-44	Speaks English not well or not at all	0	2019	24
Central Coast	35-44	Speaks English not well or not at all	0	2020	7
Central Coast	35-44	Speaks English well or very well	0		39
Central Coast	35-44	Speaks English well or very well	0	2005	806
Central Coast	35-44	Speaks English well or very well	0	2010	1261
Central Coast	35-44	Speaks English well or very well	0	2015	1015
Central Coast	35-44	Speaks English well or very well	0	2016	169
Central Coast	35-44	Speaks English well or very well	0	2017	160
Central Coast	35-44	Speaks English well or very well	0	2018	111
Central Coast	35-44	Speaks English well or very well	0	2019	115
Central Coast	35-44	Speaks English well or very well	0	2020	49
Central Coast	35-44	Speaks English well or very well	0	2021	20
Central Coast	45-54				5
Central Coast	45-54			2005	3
Central Coast	45-54		0	2015	5
Central Coast	45-54		1		104
Central Coast	45-54		1	2005	4455
Central Coast	45-54		1	2010	921
Central Coast	45-54		1	2015	373
Central Coast	45-54		1	2016	43
Central Coast	45-54		1	2017	36
Central Coast	45-54		1	2018	24
Central Coast	45-54		1	2019	31
Central Coast	45-54		1	2020	10
Central Coast	45-54		1	2021	8
Central Coast	45-54	Speaks English not well or not at all	0		12
Central Coast	45-54	Speaks English not well or not at all	0	2005	86
Central Coast	45-54	Speaks English not well or not at all	0	2010	68
Central Coast	45-54	Speaks English not well or not at all	0	2015	67
Central Coast	45-54	Speaks English not well or not at all	0	2016	22
Central Coast	45-54	Speaks English not well or not at all	0	2017	20
Central Coast	45-54	Speaks English not well or not at all	0	2018	7
Central Coast	45-54	Speaks English not well or not at all	0	2019	14
Central Coast	45-54	Speaks English well or very well	0		28
Central Coast	45-54	Speaks English well or very well	0	2005	1340
Central Coast	45-54	Speaks English well or very well	0	2010	573
Central Coast	45-54	Speaks English well or very well	0	2015	338
Central Coast	45-54	Speaks English well or very well	0	2016	41
Central Coast	45-54	Speaks English well or very well	0	2017	34
Central Coast	45-54	Speaks English well or very well	0	2018	30
Central Coast	45-54	Speaks English well or very well	0	2019	33
Central Coast	45-54	Speaks English well or very well	0	2020	11
Central Coast	45-54	Speaks English well or very well	0	2021	3
Central Coast	55-64				10
Central Coast	55-64			2005	11
Central Coast	55-64		0	2005	9
Central Coast	55-64		1		135
Central Coast	55-64		1	2005	6685
Central Coast	55-64		1	2010	353
Central Coast	55-64		1	2015	148
Central Coast	55-64		1	2016	15
Central Coast	55-64		1	2017	16
Central Coast	55-64		1	2018	18
Central Coast	55-64		1	2019	15
Central Coast	55-64		1	2020	10
Central Coast	55-64		1	2021	7
Central Coast	55-64	Speaks English not well or not at all	0		13
Central Coast	55-64	Speaks English not well or not at all	0	2005	190
Central Coast	55-64	Speaks English not well or not at all	0	2010	54
Central Coast	55-64	Speaks English not well or not at all	0	2015	48
Central Coast	55-64	Speaks English not well or not at all	0	2016	15
Central Coast	55-64	Speaks English not well or not at all	0	2017	11
Central Coast	55-64	Speaks English not well or not at all	0	2018	5
Central Coast	55-64	Speaks English not well or not at all	0	2019	29
Central Coast	55-64	Speaks English not well or not at all	0	2020	9
Central Coast	55-64	Speaks English well or very well	0		28
Central Coast	55-64	Speaks English well or very well	0	2005	1597
Central Coast	55-64	Speaks English well or very well	0	2010	159
Central Coast	55-64	Speaks English well or very well	0	2015	68
Central Coast	55-64	Speaks English well or very well	0	2016	13
Central Coast	55-64	Speaks English well or very well	0	2017	6
Central Coast	55-64	Speaks English well or very well	0	2018	12
Central Coast	55-64	Speaks English well or very well	0	2019	13
Central Coast	55-64	Speaks English well or very well	0	2020	8
Central Coast	55-64	Speaks English well or very well	0	2021	4
Central Coast	65-74				26
Central Coast	65-74			2005	6
Central Coast	65-74		0	2005	3
Central Coast	65-74		1		207
Central Coast	65-74		1	2005	6872
Central Coast	65-74		1	2010	179
Central Coast	65-74		1	2015	109
Central Coast	65-74		1	2016	17
Central Coast	65-74		1	2017	19
Central Coast	65-74		1	2018	16
Central Coast	65-74		1	2019	24
Central Coast	65-74		1	2020	16
Central Coast	65-74	Speaks English not well or not at all	0		14
Central Coast	65-74	Speaks English not well or not at all	0	2005	238
Central Coast	65-74	Speaks English not well or not at all	0	2010	51
Central Coast	65-74	Speaks English not well or not at all	0	2015	80
Central Coast	65-74	Speaks English not well or not at all	0	2016	14
Central Coast	65-74	Speaks English not well or not at all	0	2017	12
Central Coast	65-74	Speaks English not well or not at all	0	2018	10
Central Coast	65-74	Speaks English not well or not at all	0	2019	37
Central Coast	65-74	Speaks English not well or not at all	0	2020	10
Central Coast	65-74	Speaks English well or very well	0		22
Central Coast	65-74	Speaks English well or very well	0	2005	1580
Central Coast	65-74	Speaks English well or very well	0	2010	40
Central Coast	65-74	Speaks English well or very well	0	2015	30
Central Coast	65-74	Speaks English well or very well	0	2016	3
Central Coast	65-74	Speaks English well or very well	0	2017	9
Central Coast	65-74	Speaks English well or very well	0	2018	4
Central Coast	65-74	Speaks English well or very well	0	2019	11
Central Coast	65-74	Speaks English well or very well	0	2020	7
Central Coast	65-74	Speaks English well or very well	0	2021	3
Central Coast	75-84				60
Central Coast	75-84			2005	29
Central Coast	75-84		0	2005	10
Central Coast	75-84		1		188
Central Coast	75-84		1	2005	4842
Central Coast	75-84		1	2010	147
Central Coast	75-84		1	2015	67
Central Coast	75-84		1	2016	8
Central Coast	75-84		1	2017	11
Central Coast	75-84		1	2018	4
Central Coast	75-84		1	2019	10
Central Coast	75-84		1	2020	9
Central Coast	75-84	Speaks English not well or not at all	0		13
Central Coast	75-84	Speaks English not well or not at all	0	2005	228
Central Coast	75-84	Speaks English not well or not at all	0	2010	15
Central Coast	75-84	Speaks English not well or not at all	0	2015	16
Central Coast	75-84	Speaks English not well or not at all	0	2016	3
Central Coast	75-84	Speaks English not well or not at all	0	2018	8
Central Coast	75-84	Speaks English not well or not at all	0	2019	5
Central Coast	75-84	Speaks English well or very well	0		26
Central Coast	75-84	Speaks English well or very well	0	2005	1003
Central Coast	75-84	Speaks English well or very well	0	2010	16
Central Coast	75-84	Speaks English well or very well	0	2015	9
Central Coast	75-84	Speaks English well or very well	0	2017	4
Central Coast	85+				111
Central Coast	85+			2005	23
Central Coast	85+		0		9
Central Coast	85+		0	2005	7
Central Coast	85+		1		135
Central Coast	85+		1	2005	1528
Central Coast	85+		1	2010	21
Central Coast	85+		1	2015	8
Central Coast	85+		1	2019	8
Central Coast	85+	Speaks English not well or not at all	0		9
Central Coast	85+	Speaks English not well or not at all	0	2005	111
Central Coast	85+	Speaks English not well or not at all	0	2015	3
Central Coast	85+	Speaks English not well or not at all	0	2016	5
Central Coast	85+	Speaks English well or very well	0		32
Central Coast	85+	Speaks English well or very well	0	2005	333
Central Coast	85+	Speaks English well or very well	0	2015	5
Central West	0-14		0	2019	4
Central West	0-14		1		22
Central West	0-14		1	2010	60
Central West	0-14		1	2015	150
Central West	0-14		1	2016	27
Central West	0-14		1	2017	41
Central West	0-14		1	2018	29
Central West	0-14		1	2019	34
Central West	0-14		1	2020	24
Central West	0-14		1	2021	13
Central West	0-14	Speaks English not well or not at all	0	2017	7
Central West	0-14	Speaks English not well or not at all	0	2018	4
Central West	0-14	Speaks English not well or not at all	0	2019	13
Central West	0-14	Speaks English not well or not at all	0	2020	9
Central West	0-14	Speaks English not well or not at all	0	2021	6
Central West	0-14	Speaks English well or very well	0		11
Central West	0-14	Speaks English well or very well	0	2010	26
Central West	0-14	Speaks English well or very well	0	2015	125
Central West	0-14	Speaks English well or very well	0	2016	31
Central West	0-14	Speaks English well or very well	0	2017	45
Central West	0-14	Speaks English well or very well	0	2018	64
Central West	0-14	Speaks English well or very well	0	2019	73
Central West	0-14	Speaks English well or very well	0	2020	25
Central West	0-14	Speaks English well or very well	0	2021	10
Central West	15-24				23
Central West	15-24		1		20
Central West	15-24		1	2005	106
Central West	15-24		1	2010	141
Central West	15-24		1	2015	63
Central West	15-24		1	2016	21
Central West	15-24		1	2017	22
Central West	15-24		1	2018	19
Central West	15-24		1	2019	17
Central West	15-24		1	2020	15
Central West	15-24		1	2021	3
Central West	15-24	Speaks English not well or not at all	0	2015	5
Central West	15-24	Speaks English not well or not at all	0	2019	4
Central West	15-24	Speaks English not well or not at all	0	2020	5
Central West	15-24	Speaks English well or very well	0		4
Central West	15-24	Speaks English well or very well	0	2005	25
Central West	15-24	Speaks English well or very well	0	2010	104
Central West	15-24	Speaks English well or very well	0	2015	109
Central West	15-24	Speaks English well or very well	0	2016	33
Central West	15-24	Speaks English well or very well	0	2017	65
Central West	15-24	Speaks English well or very well	0	2018	60
Central West	15-24	Speaks English well or very well	0	2019	73
Central West	15-24	Speaks English well or very well	0	2020	24
Central West	25-34				81
Central West	25-34		1		34
Central West	25-34		1	2005	261
Central West	25-34		1	2010	112
Central West	25-34		1	2015	172
Central West	25-34		1	2016	55
Central West	25-34		1	2017	53
Central West	25-34		1	2018	45
Central West	25-34		1	2019	63
Central West	25-34		1	2020	18
Central West	25-34		1	2021	5
Central West	25-34	Speaks English not well or not at all	0		3
Central West	25-34	Speaks English not well or not at all	0	2005	3
Central West	25-34	Speaks English not well or not at all	0	2010	13
Central West	25-34	Speaks English not well or not at all	0	2015	28
Central West	25-34	Speaks English not well or not at all	0	2016	9
Central West	25-34	Speaks English not well or not at all	0	2017	13
Central West	25-34	Speaks English not well or not at all	0	2018	19
Central West	25-34	Speaks English not well or not at all	0	2019	16
Central West	25-34	Speaks English not well or not at all	0	2020	16
Central West	25-34	Speaks English not well or not at all	0	2021	3
Central West	25-34	Speaks English well or very well	0		22
Central West	25-34	Speaks English well or very well	0	2005	84
Central West	25-34	Speaks English well or very well	0	2010	187
Central West	25-34	Speaks English well or very well	0	2015	465
Central West	25-34	Speaks English well or very well	0	2016	163
Central West	25-34	Speaks English well or very well	0	2017	212
Central West	25-34	Speaks English well or very well	0	2018	196
Central West	25-34	Speaks English well or very well	0	2019	170
Central West	25-34	Speaks English well or very well	0	2020	60
Central West	25-34	Speaks English well or very well	0	2021	18
Central West	35-44				52
Central West	35-44			2015	4
Central West	35-44		1		42
Central West	35-44		1	2005	542
Central West	35-44		1	2010	216
Central West	35-44		1	2015	164
Central West	35-44		1	2016	8
Central West	35-44		1	2017	25
Central West	35-44		1	2018	29
Central West	35-44		1	2019	19
Central West	35-44		1	2020	7
Central West	35-44		1	2021	8
Central West	35-44	Speaks English not well or not at all	0	2005	15
Central West	35-44	Speaks English not well or not at all	0	2010	31
Central West	35-44	Speaks English not well or not at all	0	2015	31
Central West	35-44	Speaks English not well or not at all	0	2016	8
Central West	35-44	Speaks English not well or not at all	0	2017	10
Central West	35-44	Speaks English not well or not at all	0	2018	6
Central West	35-44	Speaks English not well or not at all	0	2019	17
Central West	35-44	Speaks English not well or not at all	0	2020	10
Central West	35-44	Speaks English well or very well	0		7
Central West	35-44	Speaks English well or very well	0	2005	203
Central West	35-44	Speaks English well or very well	0	2010	433
Central West	35-44	Speaks English well or very well	0	2015	449
Central West	35-44	Speaks English well or very well	0	2016	78
Central West	35-44	Speaks English well or very well	0	2017	77
Central West	35-44	Speaks English well or very well	0	2018	90
Central West	35-44	Speaks English well or very well	0	2019	102
Central West	35-44	Speaks English well or very well	0	2020	44
Central West	35-44	Speaks English well or very well	0	2021	8
Central West	45-54				46
Central West	45-54		1		55
Central West	45-54		1	2005	1193
Central West	45-54		1	2010	167
Central West	45-54		1	2015	90
Central West	45-54		1	2016	11
Central West	45-54		1	2017	8
Central West	45-54		1	2018	11
Central West	45-54		1	2019	10
Central West	45-54		1	2020	3
Central West	45-54	Speaks English not well or not at all	0	2005	30
Central West	45-54	Speaks English not well or not at all	0	2010	18
Central West	45-54	Speaks English not well or not at all	0	2015	21
Central West	45-54	Speaks English not well or not at all	0	2016	7
Central West	45-54	Speaks English not well or not at all	0	2017	3
Central West	45-54	Speaks English not well or not at all	0	2018	5
Central West	45-54	Speaks English not well or not at all	0	2019	9
Central West	45-54	Speaks English not well or not at all	0	2020	8
Central West	45-54	Speaks English well or very well	0		6
Central West	45-54	Speaks English well or very well	0	2005	340
Central West	45-54	Speaks English well or very well	0	2010	214
