CED_NAME21	IndigenousStatus	persons
Corangamite	Aboriginal	1402
Corangamite	Both Aboriginal & Torres Strait Islander	40
Corangamite	Non-indigenous	151276
Corangamite	Torres Strait Islander	34
Corio	Aboriginal	2262
Corio	Both Aboriginal & Torres Strait Islander	60
Corio	Non-indigenous	156842
Corio	Torres Strait Islander	78
Deakin	Aboriginal	836
Deakin	Both Aboriginal & Torres Strait Islander	25
Deakin	Non-indigenous	166223
Deakin	Torres Strait Islander	26
Dunkley	Aboriginal	1765
Dunkley	Both Aboriginal & Torres Strait Islander	48
Dunkley	Non-indigenous	156125
Dunkley	Torres Strait Islander	74
Flinders	Aboriginal	1508
Flinders	Both Aboriginal & Torres Strait Islander	46
Flinders	Non-indigenous	148725
Flinders	Torres Strait Islander	76
Fraser	Aboriginal	938
Fraser	Both Aboriginal & Torres Strait Islander	23
Fraser	Non-indigenous	175399
Fraser	Torres Strait Islander	28
Gellibrand	Aboriginal	1150
Gellibrand	Both Aboriginal & Torres Strait Islander	44
Gellibrand	Non-indigenous	188743
Gellibrand	Torres Strait Islander	47
Gippsland	Aboriginal	3663
Gippsland	Both Aboriginal & Torres Strait Islander	57
Gippsland	Non-indigenous	150539
Gippsland	Torres Strait Islander	98
Goldstein	Aboriginal	373
Goldstein	Non-indigenous	154355
Goldstein	Torres Strait Islander	8
Gorton	Aboriginal	1015
Gorton	Both Aboriginal & Torres Strait Islander	29
Gorton	Non-indigenous	177033
Gorton	Torres Strait Islander	23
Hawke	Aboriginal	2303
Hawke	Both Aboriginal & Torres Strait Islander	77
Hawke	Non-indigenous	162944
Hawke	Torres Strait Islander	65
Higgins	Aboriginal	474
Higgins	Both Aboriginal & Torres Strait Islander	13
Higgins	Non-indigenous	154552
Higgins	Torres Strait Islander	23
Holt	Aboriginal	1398
Holt	Both Aboriginal & Torres Strait Islander	43
Holt	Non-indigenous	185763
Holt	Torres Strait Islander	51
Hotham	Aboriginal	562
Hotham	Both Aboriginal & Torres Strait Islander	16
Hotham	Non-indigenous	194974
Hotham	Torres Strait Islander	38
Indi	Aboriginal	3130
Indi	Both Aboriginal & Torres Strait Islander	89
Indi	Non-indigenous	153293
Indi	Torres Strait Islander	108
Isaacs	Aboriginal	668
Isaacs	Both Aboriginal & Torres Strait Islander	19
Isaacs	Non-indigenous	159792
Isaacs	Torres Strait Islander	47
Jagajaga	Aboriginal	981
Jagajaga	Both Aboriginal & Torres Strait Islander	30
Jagajaga	Non-indigenous	157828
Jagajaga	Torres Strait Islander	30
Kooyong	Aboriginal	395
Kooyong	Both Aboriginal & Torres Strait Islander	9
Kooyong	Non-indigenous	162926
Kooyong	Torres Strait Islander	24
La Trobe	Aboriginal	1276
La Trobe	Both Aboriginal & Torres Strait Islander	28
La Trobe	Non-indigenous	168112
La Trobe	Torres Strait Islander	53
Lalor	Aboriginal	1897
Lalor	Both Aboriginal & Torres Strait Islander	37
Lalor	Non-indigenous	199358
Lalor	Torres Strait Islander	31
Macnamara	Aboriginal	694
Macnamara	Both Aboriginal & Torres Strait Islander	26
Macnamara	Non-indigenous	167334
Macnamara	Torres Strait Islander	26
Mallee	Aboriginal	4987
Mallee	Both Aboriginal & Torres Strait Islander	153
Mallee	Non-indigenous	162347
Mallee	Torres Strait Islander	152
Maribyrnong	Aboriginal	658
Maribyrnong	Both Aboriginal & Torres Strait Islander	33
Maribyrnong	Non-indigenous	152677
Maribyrnong	Torres Strait Islander	40
McEwen	Aboriginal	1836
McEwen	Both Aboriginal & Torres Strait Islander	38
McEwen	Non-indigenous	157954
McEwen	Torres Strait Islander	66
Melbourne	Aboriginal	1030
Melbourne	Both Aboriginal & Torres Strait Islander	34
Melbourne	Non-indigenous	198864
Melbourne	Torres Strait Islander	36
Menzies	Aboriginal	451
Menzies	Both Aboriginal & Torres Strait Islander	9
Menzies	Non-indigenous	172378
Menzies	Torres Strait Islander	17
Monash	Aboriginal	1861
Monash	Both Aboriginal & Torres Strait Islander	51
Monash	Non-indigenous	144353
Monash	Torres Strait Islander	84
Nicholls	Aboriginal	4789
Nicholls	Both Aboriginal & Torres Strait Islander	143
Nicholls	Non-indigenous	154447
Nicholls	Torres Strait Islander	128
Scullin	Aboriginal	1425
Scullin	Both Aboriginal & Torres Strait Islander	46
Scullin	Non-indigenous	168887
Scullin	Torres Strait Islander	41
Wannon	Aboriginal	2769
Wannon	Both Aboriginal & Torres Strait Islander	59
Wannon	Non-indigenous	151665
Wannon	Torres Strait Islander	62
Wills	Aboriginal	930
Wills	Both Aboriginal & Torres Strait Islander	44
Wills	Non-indigenous	157320
Wills	Torres Strait Islander	25
No usual address (Vic.)	Aboriginal	448
No usual address (Vic.)	Both Aboriginal & Torres Strait Islander	4
No usual address (Vic.)	Non-indigenous	8628
No usual address (Vic.)	Torres Strait Islander	9
Migratory - Offshore - Shipping (Vic.)	Non-indigenous	38
Blair	Aboriginal	9798
Blair	Both Aboriginal & Torres Strait Islander	496
Blair	Non-indigenous	179266
Blair	Torres Strait Islander	388
Bonner	Aboriginal	2856
Bonner	Both Aboriginal & Torres Strait Islander	236
Bonner	Non-indigenous	159583
Bonner	Torres Strait Islander	208
Bowman	Aboriginal	4201
Bowman	Both Aboriginal & Torres Strait Islander	250
Bowman	Non-indigenous	154570
Bowman	Torres Strait Islander	201
Brisbane	Aboriginal	2249
Brisbane	Both Aboriginal & Torres Strait Islander	139
Brisbane	Non-indigenous	180663
Brisbane	Torres Strait Islander	204
Capricornia	Aboriginal	8600
Capricornia	Both Aboriginal & Torres Strait Islander	901
Capricornia	Non-indigenous	149469
Capricornia	Torres Strait Islander	822
Dawson	Aboriginal	7671
Dawson	Both Aboriginal & Torres Strait Islander	1683
Dawson	Non-indigenous	151219
Dawson	Torres Strait Islander	1510
Dickson	Aboriginal	3926
Dickson	Both Aboriginal & Torres Strait Islander	236
Dickson	Non-indigenous	155179
Dickson	Torres Strait Islander	230
Fadden	Aboriginal	4265
Fadden	Both Aboriginal & Torres Strait Islander	203
Fadden	Non-indigenous	189983
Fadden	Torres Strait Islander	166
Fairfax	Aboriginal	3644
Fairfax	Both Aboriginal & Torres Strait Islander	197
Fairfax	Non-indigenous	165449
Fairfax	Torres Strait Islander	176
Fisher	Aboriginal	3979
Fisher	Both Aboriginal & Torres Strait Islander	159
Fisher	Non-indigenous	167873
Fisher	Torres Strait Islander	174
Flynn	Aboriginal	9743
Flynn	Both Aboriginal & Torres Strait Islander	793
Flynn	Non-indigenous	147807
Flynn	Torres Strait Islander	334
Forde	Aboriginal	6513
Forde	Both Aboriginal & Torres Strait Islander	385
Forde	Non-indigenous	186101
Forde	Torres Strait Islander	346
Griffith	Aboriginal	2395
Griffith	Both Aboriginal & Torres Strait Islander	155
Griffith	Non-indigenous	174876
Griffith	Torres Strait Islander	163
Groom	Aboriginal	7594
Groom	Both Aboriginal & Torres Strait Islander	251
Groom	Non-indigenous	152781
Groom	Torres Strait Islander	238
Herbert	Aboriginal	11577
Herbert	Both Aboriginal & Torres Strait Islander	2423
Herbert	Non-indigenous	148159
Herbert	Torres Strait Islander	1887
Hinkler	Aboriginal	7106
Hinkler	Both Aboriginal & Torres Strait Islander	431
Hinkler	Non-indigenous	148709
Hinkler	Torres Strait Islander	319
Kennedy	Aboriginal	20645
Kennedy	Both Aboriginal & Torres Strait Islander	2707
Kennedy	Non-indigenous	146099
Kennedy	Torres Strait Islander	1951
Leichhardt	Aboriginal	12935
Leichhardt	Both Aboriginal & Torres Strait Islander	6611
Leichhardt	Non-indigenous	146917
Leichhardt	Torres Strait Islander	9157
Lilley	Aboriginal	3534
Lilley	Both Aboriginal & Torres Strait Islander	296
Lilley	Non-indigenous	157469
Lilley	Torres Strait Islander	259
Longman	Aboriginal	8319
Longman	Both Aboriginal & Torres Strait Islander	464
Longman	Non-indigenous	177490
Longman	Torres Strait Islander	316
Maranoa	Aboriginal	10687
Maranoa	Both Aboriginal & Torres Strait Islander	369
Maranoa	Non-indigenous	140096
Maranoa	Torres Strait Islander	270
McPherson	Aboriginal	3045
McPherson	Both Aboriginal & Torres Strait Islander	126
McPherson	Non-indigenous	160267
McPherson	Torres Strait Islander	170
Moncrieff	Aboriginal	3130
Moncrieff	Both Aboriginal & Torres Strait Islander	154
Moncrieff	Non-indigenous	178693
Moncrieff	Torres Strait Islander	166
Moreton	Aboriginal	2323
Moreton	Both Aboriginal & Torres Strait Islander	200
Moreton	Non-indigenous	165774
Moreton	Torres Strait Islander	179
Oxley	Aboriginal	5946
Oxley	Both Aboriginal & Torres Strait Islander	430
Oxley	Non-indigenous	179752
Oxley	Torres Strait Islander	391
Petrie	Aboriginal	5720
Petrie	Both Aboriginal & Torres Strait Islander	398
Petrie	Non-indigenous	178846
Petrie	Torres Strait Islander	321
Rankin	Aboriginal	5527
Rankin	Both Aboriginal & Torres Strait Islander	533
Rankin	Non-indigenous	180363
Rankin	Torres Strait Islander	433
Ryan	Aboriginal	1648
Ryan	Both Aboriginal & Torres Strait Islander	116
Ryan	Non-indigenous	161863
Ryan	Torres Strait Islander	170
Wide Bay	Aboriginal	6257
Wide Bay	Both Aboriginal & Torres Strait Islander	357
Wide Bay	Non-indigenous	145333
Wide Bay	Torres Strait Islander	289
Wright	Aboriginal	6546
Wright	Both Aboriginal & Torres Strait Islander	351
Wright	Non-indigenous	174505
Wright	Torres Strait Islander	263
No usual address (Qld)	Aboriginal	1025
No usual address (Qld)	Both Aboriginal & Torres Strait Islander	84
No usual address (Qld)	Non-indigenous	13489
No usual address (Qld)	Torres Strait Islander	72
Migratory - Offshore - Shipping (Qld)	Non-indigenous	183
Adelaide	Aboriginal	2584
Adelaide	Both Aboriginal & Torres Strait Islander	75
Adelaide	Non-indigenous	194877
Adelaide	Torres Strait Islander	85
Barker	Aboriginal	4862
Barker	Both Aboriginal & Torres Strait Islander	105
Barker	Non-indigenous	166619
Barker	Torres Strait Islander	101
Boothby	Aboriginal	1668
Boothby	Both Aboriginal & Torres Strait Islander	52
Boothby	Non-indigenous	173861
Boothby	Torres Strait Islander	45
Grey	Aboriginal	12258
Grey	Both Aboriginal & Torres Strait Islander	203
Grey	Non-indigenous	158838
Grey	Torres Strait Islander	186
Hindmarsh	Aboriginal	3164
Hindmarsh	Both Aboriginal & Torres Strait Islander	108
Hindmarsh	Non-indigenous	169162
Hindmarsh	Torres Strait Islander	98
Kingston	Aboriginal	2930
Kingston	Both Aboriginal & Torres Strait Islander	86
Kingston	Non-indigenous	162995
Kingston	Torres Strait Islander	94
Makin	Aboriginal	2915
Makin	Both Aboriginal & Torres Strait Islander	56
Makin	Non-indigenous	170709
Makin	Torres Strait Islander	77
Mayo	Aboriginal	2091
Mayo	Both Aboriginal & Torres Strait Islander	46
Mayo	Non-indigenous	171523
Mayo	Torres Strait Islander	75
Spence	Aboriginal	6329
Spence	Both Aboriginal & Torres Strait Islander	174
Spence	Non-indigenous	181546
Spence	Torres Strait Islander	178
Sturt	Aboriginal	1419
Sturt	Both Aboriginal & Torres Strait Islander	54
Sturt	Non-indigenous	185821
Sturt	Torres Strait Islander	60
No usual address (SA)	Aboriginal	376
No usual address (SA)	Both Aboriginal & Torres Strait Islander	6
No usual address (SA)	Non-indigenous	2995
Migratory - Offshore - Shipping (SA)	Non-indigenous	12
Brand	Aboriginal	5304
Brand	Both Aboriginal & Torres Strait Islander	187
Brand	Non-indigenous	175932
Brand	Torres Strait Islander	124
Burt	Aboriginal	5276
Burt	Both Aboriginal & Torres Strait Islander	106
Burt	Non-indigenous	176860
Burt	Torres Strait Islander	88
Canning	Aboriginal	4192
Canning	Both Aboriginal & Torres Strait Islander	90
Canning	Non-indigenous	155564
Canning	Torres Strait Islander	100
Cowan	Aboriginal	3681
Cowan	Both Aboriginal & Torres Strait Islander	108
Cowan	Non-indigenous	176310
Cowan	Torres Strait Islander	78
Curtin	Aboriginal	1234
Curtin	Both Aboriginal & Torres Strait Islander	20
Curtin	Non-indigenous	171753
Curtin	Torres Strait Islander	33
Durack	Aboriginal	29513
Durack	Both Aboriginal & Torres Strait Islander	749
Durack	Non-indigenous	170751
Durack	Torres Strait Islander	432
Forrest	Aboriginal	4185
Forrest	Both Aboriginal & Torres Strait Islander	94
Forrest	Non-indigenous	153663
Forrest	Torres Strait Islander	57
Fremantle	Aboriginal	2871
Fremantle	Both Aboriginal & Torres Strait Islander	66
Fremantle	Non-indigenous	163799
Fremantle	Torres Strait Islander	46
Hasluck	Aboriginal	5522
Hasluck	Both Aboriginal & Torres Strait Islander	125
Hasluck	Non-indigenous	168966
Hasluck	Torres Strait Islander	126
Moore	Aboriginal	1234
Moore	Both Aboriginal & Torres Strait Islander	35
Moore	Non-indigenous	162788
Moore	Torres Strait Islander	56
O'Connor	Aboriginal	9708
O'Connor	Both Aboriginal & Torres Strait Islander	153
O'Connor	Non-indigenous	166054
O'Connor	Torres Strait Islander	156
Pearce	Aboriginal	2877
Pearce	Both Aboriginal & Torres Strait Islander	82
Pearce	Non-indigenous	174444
Pearce	Torres Strait Islander	110
Perth	Aboriginal	2099
Perth	Both Aboriginal & Torres Strait Islander	74
Perth	Non-indigenous	179689
Perth	Torres Strait Islander	66
Swan	Aboriginal	3953
Swan	Both Aboriginal & Torres Strait Islander	94
Swan	Non-indigenous	185733
Swan	Torres Strait Islander	92
Tangney	Aboriginal	1879
Tangney	Both Aboriginal & Torres Strait Islander	56
Tangney	Non-indigenous	181988
Tangney	Torres Strait Islander	36
No usual address (WA)	Aboriginal	1464
No usual address (WA)	Both Aboriginal & Torres Strait Islander	19
No usual address (WA)	Non-indigenous	6561
No usual address (WA)	Torres Strait Islander	11
Migratory - Offshore - Shipping (WA)	Aboriginal	9
Migratory - Offshore - Shipping (WA)	Non-indigenous	505
Bass	Aboriginal	3998
Bass	Both Aboriginal & Torres Strait Islander	176
Bass	Non-indigenous	105618
Bass	Torres Strait Islander	185
Braddon	Aboriginal	8694
Braddon	Both Aboriginal & Torres Strait Islander	349
Braddon	Non-indigenous	100190
Braddon	Torres Strait Islander	323
Clark	Aboriginal	3423
Clark	Both Aboriginal & Torres Strait Islander	151
Clark	Non-indigenous	108034
Clark	Torres Strait Islander	142
Franklin	Aboriginal	5511
Franklin	Both Aboriginal & Torres Strait Islander	236
Franklin	Non-indigenous	105898
Franklin	Torres Strait Islander	188
Lyons	Aboriginal	5964
Lyons	Both Aboriginal & Torres Strait Islander	313
Lyons	Non-indigenous	106415
Lyons	Torres Strait Islander	375
No usual address (Tas.)	Aboriginal	143
No usual address (Tas.)	Both Aboriginal & Torres Strait Islander	5
No usual address (Tas.)	Non-indigenous	1229
Migratory - Offshore - Shipping (Tas.)	Non-indigenous	19
Lingiari	Aboriginal	47779
Lingiari	Both Aboriginal & Torres Strait Islander	653
Lingiari	Non-indigenous	72264
Lingiari	Torres Strait Islander	308
Solomon	Aboriginal	9534
Solomon	Both Aboriginal & Torres Strait Islander	1190
Solomon	Non-indigenous	99192
Solomon	Torres Strait Islander	372
No usual address (NT)	Aboriginal	1247
No usual address (NT)	Both Aboriginal & Torres Strait Islander	7
No usual address (NT)	Non-indigenous	2228
No usual address (NT)	Torres Strait Islander	18
Migratory - Offshore - Shipping (NT)	Aboriginal	8
Migratory - Offshore - Shipping (NT)	Non-indigenous	91
Bean	Aboriginal	3550
Bean	Both Aboriginal & Torres Strait Islander	136
Bean	Non-indigenous	148812
Bean	Torres Strait Islander	112
Canberra	Aboriginal	1911
Canberra	Both Aboriginal & Torres Strait Islander	91
Canberra	Non-indigenous	143452
Canberra	Torres Strait Islander	53
Fenner	Aboriginal	3127
Fenner	Both Aboriginal & Torres Strait Islander	77
Fenner	Non-indigenous	155001
Fenner	Torres Strait Islander	62
No usual address (ACT)	Aboriginal	41
No usual address (ACT)	Non-indigenous	564
No usual address (OT)	Non-indigenous	7
No usual address (OT)	Torres Strait Islander	4
