STE_NAME16	Age	MaritalStatus	Registered	adults
South Australia	85+	Married	1	12106
South Australia	85+	Never married		21327
Western Australia	15-19	Married	0	1859
Western Australia	15-19	Married	1	138
Western Australia	15-19	Never married		137563
Western Australia	20-24	Married	0	21636
Western Australia	20-24	Married	1	4275
Western Australia	20-24	Never married		112182
Western Australia	25-34	Married	0	84594
Western Australia	25-34	Married	1	108018
Western Australia	25-34	Never married		130551
Western Australia	35-44	Married	0	49355
Western Australia	35-44	Married	1	204785
Western Australia	35-44	Never married		83085
Western Australia	45-54	Married	0	35038
Western Australia	45-54	Married	1	190864
Western Australia	45-54	Never married		83718
Western Australia	55-64	Married	0	23936
Western Australia	55-64	Married	1	171239
Western Australia	55-64	Never married		82041
Western Australia	65-74	Married	0	10774
Western Australia	65-74	Married	1	139128
Western Australia	65-74	Never married		69675
Western Australia	75-84	Married	0	2991
Western Australia	75-84	Married	1	67130
Western Australia	75-84	Never married		44993
Western Australia	85+	Married	0	428
Western Australia	85+	Married	1	13591
Western Australia	85+	Never married		22476
Tasmania	15-19	Married	0	352
Tasmania	15-19	Married	1	17
Tasmania	15-19	Never married		26720
Tasmania	20-24	Married	0	5075
Tasmania	20-24	Married	1	1067
Tasmania	20-24	Never married		20767
Tasmania	25-34	Married	0	18053
Tasmania	25-34	Married	1	20954
Tasmania	25-34	Never married		30018
Tasmania	35-44	Married	0	11211
Tasmania	35-44	Married	1	31487
Tasmania	35-44	Never married		17494
Tasmania	45-54	Married	0	9405
Tasmania	45-54	Married	1	34112
Tasmania	45-54	Never married		19742
Tasmania	55-64	Married	0	7320
Tasmania	55-64	Married	1	38918
Tasmania	55-64	Never married		21833
Tasmania	65-74	Married	0	3636
Tasmania	65-74	Married	1	36392
Tasmania	65-74	Never married		19750
Tasmania	75-84	Married	0	969
Tasmania	75-84	Married	1	18178
Tasmania	75-84	Never married		13285
Tasmania	85+	Married	0	107
Tasmania	85+	Married	1	3265
Tasmania	85+	Never married		6097
Northern Territory	15-19	Married	0	253
Northern Territory	15-19	Married	1	228
Northern Territory	15-19	Never married		11702
Northern Territory	20-24	Married	0	2257
Northern Territory	20-24	Married	1	1374
Northern Territory	20-24	Never married		8783
Northern Territory	25-34	Married	0	8145
Northern Territory	25-34	Married	1	11933
Northern Territory	25-34	Never married		14648
Northern Territory	35-44	Married	0	5223
Northern Territory	35-44	Married	1	15981
Northern Territory	35-44	Never married		8642
Northern Territory	45-54	Married	0	3834
Northern Territory	45-54	Married	1	12771
Northern Territory	45-54	Never married		8236
Northern Territory	55-64	Married	0	2333
Northern Territory	55-64	Married	1	9976
Northern Territory	55-64	Never married		7542
Northern Territory	65-74	Married	0	879
Northern Territory	65-74	Married	1	5958
Northern Territory	65-74	Never married		5274
Northern Territory	75-84	Married	0	178
Northern Territory	75-84	Married	1	1973
Northern Territory	75-84	Never married		2201
Northern Territory	85+	Married	0	17
Northern Territory	85+	Married	1	235
Northern Territory	85+	Never married		600
Australian Capital Territory	15-19	Married	0	233
Australian Capital Territory	15-19	Married	1	12
Australian Capital Territory	15-19	Never married		21929
Australian Capital Territory	20-24	Married	0	4437
Australian Capital Territory	20-24	Married	1	947
Australian Capital Territory	20-24	Never married		23102
Australian Capital Territory	25-34	Married	0	17587
Australian Capital Territory	25-34	Married	1	24038
Australian Capital Territory	25-34	Never married		29789
Australian Capital Territory	35-44	Married	0	8720
Australian Capital Territory	35-44	Married	1	41139
Australian Capital Territory	35-44	Never married		15351
Australian Capital Territory	45-54	Married	0	5822
Australian Capital Territory	45-54	Married	1	32867
Australian Capital Territory	45-54	Never married		14287
Australian Capital Territory	55-64	Married	0	3443
Australian Capital Territory	55-64	Married	1	25887
Australian Capital Territory	55-64	Never married		12756
Australian Capital Territory	65-74	Married	0	1569
Australian Capital Territory	65-74	Married	1	20776
Australian Capital Territory	65-74	Never married		10214
Australian Capital Territory	75-84	Married	0	421
Australian Capital Territory	75-84	Married	1	10148
Australian Capital Territory	75-84	Never married		6718
Australian Capital Territory	85+	Married	0	57
Australian Capital Territory	85+	Married	1	2046
Australian Capital Territory	85+	Never married		3267
Other Territories	15-19	Never married		149
Other Territories	20-24	Married	0	21
Other Territories	20-24	Married	1	15
Other Territories	20-24	Never married		101
Other Territories	25-34	Married	0	83
Other Territories	25-34	Married	1	127
Other Territories	25-34	Never married		117
Other Territories	35-44	Married	0	66
Other Territories	35-44	Married	1	266
Other Territories	35-44	Never married		111
Other Territories	45-54	Married	0	83
Other Territories	45-54	Married	1	255
Other Territories	45-54	Never married		142
Other Territories	55-64	Married	0	79
Other Territories	55-64	Married	1	333
Other Territories	55-64	Never married		188
Other Territories	65-74	Married	0	32
Other Territories	65-74	Married	1	266
Other Territories	65-74	Never married		153
Other Territories	75-84	Married	0	9
Other Territories	75-84	Married	1	111
Other Territories	75-84	Never married		95
Other Territories	85+	Married	1	18
Other Territories	85+	Never married		37
