STE_NAME16	Age	EnglishProficiency	SpeaksEnglishOnly	YearOfArrival.max	persons_born_overseas
New South Wales	15-24			2010	36
New South Wales	15-24			2015	24
New South Wales	15-24			2016	11
New South Wales	15-24			2017	12
New South Wales	15-24			2018	49
New South Wales	15-24			2019	47
New South Wales	15-24			2020	10
New South Wales	15-24		0		28
New South Wales	15-24		0	2005	24
New South Wales	15-24		0	2010	24
New South Wales	15-24		0	2015	24
New South Wales	15-24		0	2016	13
New South Wales	15-24		0	2017	26
New South Wales	15-24		0	2018	40
New South Wales	15-24		0	2019	35
New South Wales	15-24		0	2020	9
New South Wales	15-24		0	2021	3
New South Wales	15-24		1		1192
New South Wales	15-24		1	2005	11712
New South Wales	15-24		1	2010	15852
New South Wales	15-24		1	2015	6862
New South Wales	15-24		1	2016	1364
New South Wales	15-24		1	2017	1606
New South Wales	15-24		1	2018	2034
New South Wales	15-24		1	2019	2547
New South Wales	15-24		1	2020	1453
New South Wales	15-24		1	2021	538
New South Wales	15-24	Speaks English not well or not at all	0		232
New South Wales	15-24	Speaks English not well or not at all	0	2005	228
New South Wales	15-24	Speaks English not well or not at all	0	2010	203
New South Wales	15-24	Speaks English not well or not at all	0	2015	678
New South Wales	15-24	Speaks English not well or not at all	0	2016	529
New South Wales	15-24	Speaks English not well or not at all	0	2017	801
New South Wales	15-24	Speaks English not well or not at all	0	2018	1270
New South Wales	15-24	Speaks English not well or not at all	0	2019	1795
New South Wales	15-24	Speaks English not well or not at all	0	2020	611
New South Wales	15-24	Speaks English not well or not at all	0	2021	208
New South Wales	15-24	Speaks English well or very well	0		1975
New South Wales	15-24	Speaks English well or very well	0	2005	11494
New South Wales	15-24	Speaks English well or very well	0	2010	22439
New South Wales	15-24	Speaks English well or very well	0	2015	21602
New South Wales	15-24	Speaks English well or very well	0	2016	8832
New South Wales	15-24	Speaks English well or very well	0	2017	11653
New South Wales	15-24	Speaks English well or very well	0	2018	16155
New South Wales	15-24	Speaks English well or very well	0	2019	17726
New South Wales	15-24	Speaks English well or very well	0	2020	6516
New South Wales	15-24	Speaks English well or very well	0	2021	808
New South Wales	25-34				1631
New South Wales	25-34			2005	54
New South Wales	25-34			2010	49
New South Wales	25-34			2015	111
New South Wales	25-34			2016	28
New South Wales	25-34			2017	42
New South Wales	25-34			2018	58
New South Wales	25-34			2019	66
New South Wales	25-34			2020	12
New South Wales	25-34			2021	11
New South Wales	25-34		0		83
New South Wales	25-34		0	2005	58
New South Wales	25-34		0	2010	54
New South Wales	25-34		0	2015	96
New South Wales	25-34		0	2016	34
New South Wales	25-34		0	2017	32
New South Wales	25-34		0	2018	49
New South Wales	25-34		0	2019	68
New South Wales	25-34		0	2020	20
New South Wales	25-34		0	2021	13
New South Wales	25-34		1		2060
New South Wales	25-34		1	2005	30658
New South Wales	25-34		1	2010	11196
New South Wales	25-34		1	2015	21615
New South Wales	25-34		1	2016	6569
New South Wales	25-34		1	2017	7018
New South Wales	25-34		1	2018	7825
New South Wales	25-34		1	2019	8325
New South Wales	25-34		1	2020	3229
New South Wales	25-34		1	2021	938
New South Wales	25-34	Speaks English not well or not at all	0		868
New South Wales	25-34	Speaks English not well or not at all	0	2005	1037
New South Wales	25-34	Speaks English not well or not at all	0	2010	3575
New South Wales	25-34	Speaks English not well or not at all	0	2015	7754
New South Wales	25-34	Speaks English not well or not at all	0	2016	2759
New South Wales	25-34	Speaks English not well or not at all	0	2017	3311
New South Wales	25-34	Speaks English not well or not at all	0	2018	3812
New South Wales	25-34	Speaks English not well or not at all	0	2019	4437
New South Wales	25-34	Speaks English not well or not at all	0	2020	1158
New South Wales	25-34	Speaks English not well or not at all	0	2021	344
New South Wales	25-34	Speaks English well or very well	0		3817
New South Wales	25-34	Speaks English well or very well	0	2005	39210
New South Wales	25-34	Speaks English well or very well	0	2010	46916
New South Wales	25-34	Speaks English well or very well	0	2015	72847
New South Wales	25-34	Speaks English well or very well	0	2016	23003
New South Wales	25-34	Speaks English well or very well	0	2017	26086
New South Wales	25-34	Speaks English well or very well	0	2018	29010
New South Wales	25-34	Speaks English well or very well	0	2019	29740
New South Wales	25-34	Speaks English well or very well	0	2020	8510
New South Wales	25-34	Speaks English well or very well	0	2021	1982
New South Wales	35-44				1350
New South Wales	35-44			2005	82
New South Wales	35-44			2010	68
New South Wales	35-44			2015	75
New South Wales	35-44			2016	7
New South Wales	35-44			2017	15
New South Wales	35-44			2018	22
New South Wales	35-44			2019	7
New South Wales	35-44			2020	9
New South Wales	35-44			2021	6
New South Wales	35-44		0		59
New South Wales	35-44		0	2005	119
New South Wales	35-44		0	2010	105
New South Wales	35-44		0	2015	98
New South Wales	35-44		0	2016	24
New South Wales	35-44		0	2017	31
New South Wales	35-44		0	2018	19
New South Wales	35-44		0	2019	29
New South Wales	35-44		0	2020	8
New South Wales	35-44		0	2021	10
New South Wales	35-44		1		1971
New South Wales	35-44		1	2005	55892
New South Wales	35-44		1	2010	26769
New South Wales	35-44		1	2015	20546
New South Wales	35-44		1	2016	3199
New South Wales	35-44		1	2017	2660
New South Wales	35-44		1	2018	2356
New South Wales	35-44		1	2019	2363
New South Wales	35-44		1	2020	1171
New South Wales	35-44		1	2021	520
New South Wales	35-44	Speaks English not well or not at all	0		842
New South Wales	35-44	Speaks English not well or not at all	0	2005	5039
New South Wales	35-44	Speaks English not well or not at all	0	2010	8810
New South Wales	35-44	Speaks English not well or not at all	0	2015	9149
New South Wales	35-44	Speaks English not well or not at all	0	2016	2467
New South Wales	35-44	Speaks English not well or not at all	0	2017	2881
New South Wales	35-44	Speaks English not well or not at all	0	2018	2412
New South Wales	35-44	Speaks English not well or not at all	0	2019	2720
New South Wales	35-44	Speaks English not well or not at all	0	2020	872
New South Wales	35-44	Speaks English not well or not at all	0	2021	254
New South Wales	35-44	Speaks English well or very well	0		2797
New South Wales	35-44	Speaks English well or very well	0	2005	97062
New South Wales	35-44	Speaks English well or very well	0	2010	91924
New South Wales	35-44	Speaks English well or very well	0	2015	61731
New South Wales	35-44	Speaks English well or very well	0	2016	13639
New South Wales	35-44	Speaks English well or very well	0	2017	12575
New South Wales	35-44	Speaks English well or very well	0	2018	11360
New South Wales	35-44	Speaks English well or very well	0	2019	10307
New South Wales	35-44	Speaks English well or very well	0	2020	3768
New South Wales	35-44	Speaks English well or very well	0	2021	1526
New South Wales	45-54				926
New South Wales	45-54			2005	96
New South Wales	45-54			2010	34
New South Wales	45-54			2015	18
New South Wales	45-54			2016	6
New South Wales	45-54			2017	3
New South Wales	45-54			2018	9
New South Wales	45-54			2019	7
New South Wales	45-54			2020	4
New South Wales	45-54		0		62
New South Wales	45-54		0	2005	206
New South Wales	45-54		0	2010	44
New South Wales	45-54		0	2015	43
New South Wales	45-54		0	2016	21
New South Wales	45-54		0	2017	17
New South Wales	45-54		0	2018	11
New South Wales	45-54		0	2019	20
New South Wales	45-54		0	2020	11
New South Wales	45-54		0	2021	3
New South Wales	45-54		1		2154
New South Wales	45-54		1	2005	96337
New South Wales	45-54		1	2010	16427
New South Wales	45-54		1	2015	7837
New South Wales	45-54		1	2016	1126
New South Wales	45-54		1	2017	893
New South Wales	45-54		1	2018	833
New South Wales	45-54		1	2019	845
New South Wales	45-54		1	2020	548
New South Wales	45-54		1	2021	235
New South Wales	45-54	Speaks English not well or not at all	0		1200
New South Wales	45-54	Speaks English not well or not at all	0	2005	18431
New South Wales	45-54	Speaks English not well or not at all	0	2010	8341
New South Wales	45-54	Speaks English not well or not at all	0	2015	6854
New South Wales	45-54	Speaks English not well or not at all	0	2016	2050
New South Wales	45-54	Speaks English not well or not at all	0	2017	2451
New South Wales	45-54	Speaks English not well or not at all	0	2018	1832
New South Wales	45-54	Speaks English not well or not at all	0	2019	2124
New South Wales	45-54	Speaks English not well or not at all	0	2020	815
New South Wales	45-54	Speaks English not well or not at all	0	2021	163
New South Wales	45-54	Speaks English well or very well	0		2124
New South Wales	45-54	Speaks English well or very well	0	2005	121353
New South Wales	45-54	Speaks English well or very well	0	2010	33193
New South Wales	45-54	Speaks English well or very well	0	2015	15827
New South Wales	45-54	Speaks English well or very well	0	2016	2724
New South Wales	45-54	Speaks English well or very well	0	2017	2283
New South Wales	45-54	Speaks English well or very well	0	2018	1977
New South Wales	45-54	Speaks English well or very well	0	2019	1922
New South Wales	45-54	Speaks English well or very well	0	2020	997
New South Wales	45-54	Speaks English well or very well	0	2021	371
New South Wales	55-64				904
New South Wales	55-64			2005	194
New South Wales	55-64			2010	16
New South Wales	55-64			2015	14
New South Wales	55-64			2016	6
New South Wales	55-64			2018	5
New South Wales	55-64			2019	6
New South Wales	55-64			2020	6
New South Wales	55-64		0		72
New South Wales	55-64		0	2005	283
New South Wales	55-64		0	2010	43
New South Wales	55-64		0	2015	37
New South Wales	55-64		0	2016	4
New South Wales	55-64		0	2018	8
New South Wales	55-64		0	2019	21
New South Wales	55-64		0	2020	4
New South Wales	55-64		1		2551
New South Wales	55-64		1	2005	121379
New South Wales	55-64		1	2010	5929
New South Wales	55-64		1	2015	2540
New South Wales	55-64		1	2016	368
New South Wales	55-64		1	2017	328
New South Wales	55-64		1	2018	326
New South Wales	55-64		1	2019	373
New South Wales	55-64		1	2020	308
New South Wales	55-64		1	2021	104
New South Wales	55-64	Speaks English not well or not at all	0		1901
New South Wales	55-64	Speaks English not well or not at all	0	2005	38133
New South Wales	55-64	Speaks English not well or not at all	0	2010	6476
New South Wales	55-64	Speaks English not well or not at all	0	2015	6643
New South Wales	55-64	Speaks English not well or not at all	0	2016	2075
New South Wales	55-64	Speaks English not well or not at all	0	2017	1671
New South Wales	55-64	Speaks English not well or not at all	0	2018	1540
New South Wales	55-64	Speaks English not well or not at all	0	2019	3483
New South Wales	55-64	Speaks English not well or not at all	0	2020	1532
New South Wales	55-64	Speaks English not well or not at all	0	2021	221
New South Wales	55-64	Speaks English well or very well	0		2228
New South Wales	55-64	Speaks English well or very well	0	2005	129113
New South Wales	55-64	Speaks English well or very well	0	2010	8194
New South Wales	55-64	Speaks English well or very well	0	2015	3635
New South Wales	55-64	Speaks English well or very well	0	2016	658
New South Wales	55-64	Speaks English well or very well	0	2017	568
New South Wales	55-64	Speaks English well or very well	0	2018	471
New South Wales	55-64	Speaks English well or very well	0	2019	905
New South Wales	55-64	Speaks English well or very well	0	2020	570
New South Wales	55-64	Speaks English well or very well	0	2021	146
New South Wales	65-74				1180
New South Wales	65-74			2005	261
New South Wales	65-74			2010	13
New South Wales	65-74			2015	10
New South Wales	65-74		0		62
New South Wales	65-74		0	2005	363
New South Wales	65-74		0	2010	22
New South Wales	65-74		0	2015	24
New South Wales	65-74		0	2016	4
New South Wales	65-74		0	2017	3
New South Wales	65-74		0	2018	3
New South Wales	65-74		0	2019	7
New South Wales	65-74		0	2020	5
New South Wales	65-74		1		2833
New South Wales	65-74		1	2005	114642
New South Wales	65-74		1	2010	1847
New South Wales	65-74		1	2015	1181
New South Wales	65-74		1	2016	186
New South Wales	65-74		1	2017	162
New South Wales	65-74		1	2018	182
New South Wales	65-74		1	2019	286
New South Wales	65-74		1	2020	205
New South Wales	65-74		1	2021	64
New South Wales	65-74	Speaks English not well or not at all	0		1474
New South Wales	65-74	Speaks English not well or not at all	0	2005	38156
New South Wales	65-74	Speaks English not well or not at all	0	2010	5293
New South Wales	65-74	Speaks English not well or not at all	0	2015	6825
New South Wales	65-74	Speaks English not well or not at all	0	2016	1719
New South Wales	65-74	Speaks English not well or not at all	0	2017	1189
New South Wales	65-74	Speaks English not well or not at all	0	2018	1184
New South Wales	65-74	Speaks English not well or not at all	0	2019	2866
New South Wales	65-74	Speaks English not well or not at all	0	2020	1234
New South Wales	65-74	Speaks English not well or not at all	0	2021	146
New South Wales	65-74	Speaks English well or very well	0		1722
New South Wales	65-74	Speaks English well or very well	0	2005	93583
New South Wales	65-74	Speaks English well or very well	0	2010	2054
New South Wales	65-74	Speaks English well or very well	0	2015	1602
New South Wales	65-74	Speaks English well or very well	0	2016	304
New South Wales	65-74	Speaks English well or very well	0	2017	273
New South Wales	65-74	Speaks English well or very well	0	2018	265
New South Wales	65-74	Speaks English well or very well	0	2019	691
New South Wales	65-74	Speaks English well or very well	0	2020	538
New South Wales	65-74	Speaks English well or very well	0	2021	80
New South Wales	75-84				2217
New South Wales	75-84			2005	327
New South Wales	75-84			2010	5
New South Wales	75-84			2015	7
New South Wales	75-84			2019	4
New South Wales	75-84		0		128
New South Wales	75-84		0	2005	289
New South Wales	75-84		0	2010	3
New South Wales	75-84		0	2015	8
New South Wales	75-84		0	2018	3
New South Wales	75-84		0	2019	7
New South Wales	75-84		1		2462
New South Wales	75-84		1	2005	69104
New South Wales	75-84		1	2010	1128
New South Wales	75-84		1	2015	574
New South Wales	75-84		1	2016	103
New South Wales	75-84		1	2017	103
New South Wales	75-84		1	2018	78
New South Wales	75-84		1	2019	115
New South Wales	75-84		1	2020	105
New South Wales	75-84		1	2021	18
New South Wales	75-84	Speaks English not well or not at all	0		1154
New South Wales	75-84	Speaks English not well or not at all	0	2005	29367
New South Wales	75-84	Speaks English not well or not at all	0	2010	2800
New South Wales	75-84	Speaks English not well or not at all	0	2015	2206
New South Wales	75-84	Speaks English not well or not at all	0	2016	519
New South Wales	75-84	Speaks English not well or not at all	0	2017	363
New South Wales	75-84	Speaks English not well or not at all	0	2018	320
New South Wales	75-84	Speaks English not well or not at all	0	2019	749
New South Wales	75-84	Speaks English not well or not at all	0	2020	309
New South Wales	75-84	Speaks English not well or not at all	0	2021	15
New South Wales	75-84	Speaks English well or very well	0		1202
New South Wales	75-84	Speaks English well or very well	0	2005	46126
New South Wales	75-84	Speaks English well or very well	0	2010	761
New South Wales	75-84	Speaks English well or very well	0	2015	486
New South Wales	75-84	Speaks English well or very well	0	2016	94
New South Wales	75-84	Speaks English well or very well	0	2017	97
New South Wales	75-84	Speaks English well or very well	0	2018	64
New South Wales	75-84	Speaks English well or very well	0	2019	236
New South Wales	75-84	Speaks English well or very well	0	2020	144
New South Wales	75-84	Speaks English well or very well	0	2021	14
New South Wales	85+				3277
New South Wales	85+			2005	224
New South Wales	85+			2010	9
New South Wales	85+			2015	4
New South Wales	85+		0		149
New South Wales	85+		0	2005	180
New South Wales	85+		0	2010	4
New South Wales	85+		0	2019	3
New South Wales	85+		1		1730
New South Wales	85+		1	2005	20630
New South Wales	85+		1	2010	263
New South Wales	85+		1	2015	133
New South Wales	85+		1	2016	26
New South Wales	85+		1	2017	26
New South Wales	85+		1	2018	15
New South Wales	85+		1	2019	41
New South Wales	85+		1	2020	18
New South Wales	85+		1	2021	9
New South Wales	85+	Speaks English not well or not at all	0		1334
New South Wales	85+	Speaks English not well or not at all	0	2005	16537
New South Wales	85+	Speaks English not well or not at all	0	2010	711
New South Wales	85+	Speaks English not well or not at all	0	2015	442
New South Wales	85+	Speaks English not well or not at all	0	2016	115
New South Wales	85+	Speaks English not well or not at all	0	2017	73
New South Wales	85+	Speaks English not well or not at all	0	2018	45
New South Wales	85+	Speaks English not well or not at all	0	2019	135
New South Wales	85+	Speaks English not well or not at all	0	2020	56
New South Wales	85+	Speaks English not well or not at all	0	2021	9
New South Wales	85+	Speaks English well or very well	0		1018
New South Wales	85+	Speaks English well or very well	0	2005	14576
New South Wales	85+	Speaks English well or very well	0	2010	164
New South Wales	85+	Speaks English well or very well	0	2015	84
New South Wales	85+	Speaks English well or very well	0	2016	7
New South Wales	85+	Speaks English well or very well	0	2017	8
New South Wales	85+	Speaks English well or very well	0	2018	7
New South Wales	85+	Speaks English well or very well	0	2019	39
New South Wales	85+	Speaks English well or very well	0	2020	25
Victoria	0-14				148
Victoria	0-14			2010	7
Victoria	0-14			2015	52
Victoria	0-14			2016	18
Victoria	0-14			2017	21
Victoria	0-14			2018	20
Victoria	0-14			2019	26
Victoria	0-14			2020	14
Victoria	0-14			2021	17
Victoria	0-14		0		60
Victoria	0-14		0	2010	4
Victoria	0-14		0	2015	31
Victoria	0-14		0	2016	21
Victoria	0-14		0	2017	26
Victoria	0-14		0	2018	56
Victoria	0-14		0	2019	156
Victoria	0-14		0	2020	106
Victoria	0-14		0	2021	105
Victoria	0-14		1		1273
Victoria	0-14		1	2010	4118
Victoria	0-14		1	2015	12075
Victoria	0-14		1	2016	2936
Victoria	0-14		1	2017	2933
Victoria	0-14		1	2018	2809
Victoria	0-14		1	2019	2846
Victoria	0-14		1	2020	1447
Victoria	0-14		1	2021	809
Victoria	0-14	Speaks English not well or not at all	0		557
Victoria	0-14	Speaks English not well or not at all	0	2010	52
Victoria	0-14	Speaks English not well or not at all	0	2015	270
Victoria	0-14	Speaks English not well or not at all	0	2016	272
Victoria	0-14	Speaks English not well or not at all	0	2017	448
Victoria	0-14	Speaks English not well or not at all	0	2018	894
Victoria	0-14	Speaks English not well or not at all	0	2019	1610
Victoria	0-14	Speaks English not well or not at all	0	2020	956
Victoria	0-14	Speaks English not well or not at all	0	2021	869
Victoria	0-14	Speaks English well or very well	0		1797
Victoria	0-14	Speaks English well or very well	0	2010	4990
Victoria	0-14	Speaks English well or very well	0	2015	21537
Victoria	0-14	Speaks English well or very well	0	2016	7287
Victoria	0-14	Speaks English well or very well	0	2017	7571
Victoria	0-14	Speaks English well or very well	0	2018	7387
Victoria	0-14	Speaks English well or very well	0	2019	7322
Victoria	0-14	Speaks English well or very well	0	2020	2626
Victoria	0-14	Speaks English well or very well	0	2021	1071
Victoria	15-24				444
Victoria	15-24			2005	15
Victoria	15-24			2010	40
Victoria	15-24			2015	44
Victoria	15-24			2016	10
Victoria	15-24			2017	12
Victoria	15-24			2018	23
Victoria	15-24			2019	39
Victoria	15-24			2020	10
Victoria	15-24			2021	6
Victoria	15-24		0		27
Victoria	15-24		0	2005	10
Victoria	15-24		0	2010	40
Victoria	15-24		0	2015	24
Victoria	15-24		0	2016	16
Victoria	15-24		0	2017	15
Victoria	15-24		0	2018	16
Victoria	15-24		0	2019	32
Victoria	15-24		0	2020	15
Victoria	15-24		0	2021	3
Victoria	15-24		1		945
Victoria	15-24		1	2005	9956
Victoria	15-24		1	2010	15737
Victoria	15-24		1	2015	7285
Victoria	15-24		1	2016	1291
Victoria	15-24		1	2017	1429
Victoria	15-24		1	2018	1851
Victoria	15-24		1	2019	2465
Victoria	15-24		1	2020	1162
Victoria	15-24		1	2021	450
Victoria	15-24	Speaks English not well or not at all	0		225
Victoria	15-24	Speaks English not well or not at all	0	2005	207
Victoria	15-24	Speaks English not well or not at all	0	2010	209
Victoria	15-24	Speaks English not well or not at all	0	2015	644
Victoria	15-24	Speaks English not well or not at all	0	2016	525
Victoria	15-24	Speaks English not well or not at all	0	2017	848
Victoria	15-24	Speaks English not well or not at all	0	2018	1341
Victoria	15-24	Speaks English not well or not at all	0	2019	1599
Victoria	15-24	Speaks English not well or not at all	0	2020	563
Victoria	15-24	Speaks English not well or not at all	0	2021	222
Victoria	15-24	Speaks English well or very well	0		1690
Victoria	15-24	Speaks English well or very well	0	2005	8527
Victoria	15-24	Speaks English well or very well	0	2010	24580
Victoria	15-24	Speaks English well or very well	0	2015	25031
Victoria	15-24	Speaks English well or very well	0	2016	8702
Victoria	15-24	Speaks English well or very well	0	2017	10203
Victoria	15-24	Speaks English well or very well	0	2018	13548
Victoria	15-24	Speaks English well or very well	0	2019	18021
Victoria	15-24	Speaks English well or very well	0	2020	7135
Victoria	15-24	Speaks English well or very well	0	2021	816
Victoria	25-34				1118
Victoria	25-34			2005	44
Victoria	25-34			2010	53
Victoria	25-34			2015	105
Victoria	25-34			2016	33
Victoria	25-34			2017	52
Victoria	25-34			2018	40
Victoria	25-34			2019	44
Victoria	25-34			2020	17
Victoria	25-34			2021	5
Victoria	25-34		0		71
Victoria	25-34		0	2005	35
Victoria	25-34		0	2010	62
Victoria	25-34		0	2015	100
Victoria	25-34		0	2016	21
Victoria	25-34		0	2017	28
Victoria	25-34		0	2018	47
Victoria	25-34		0	2019	52
Victoria	25-34		0	2020	19
Victoria	25-34		0	2021	5
Victoria	25-34		1		1674
Victoria	25-34		1	2005	24876
Victoria	25-34		1	2010	12180
Victoria	25-34		1	2015	18077
Victoria	25-34		1	2016	4933
Victoria	25-34		1	2017	5444
Victoria	25-34		1	2018	6076
Victoria	25-34		1	2019	6538
Victoria	25-34		1	2020	2187
Victoria	25-34		1	2021	830
Victoria	25-34	Speaks English not well or not at all	0		709
Victoria	25-34	Speaks English not well or not at all	0	2005	651
Victoria	25-34	Speaks English not well or not at all	0	2010	2762
Victoria	25-34	Speaks English not well or not at all	0	2015	6285
Victoria	25-34	Speaks English not well or not at all	0	2016	2168
Victoria	25-34	Speaks English not well or not at all	0	2017	2628
Victoria	25-34	Speaks English not well or not at all	0	2018	3126
Victoria	25-34	Speaks English not well or not at all	0	2019	3581
Victoria	25-34	Speaks English not well or not at all	0	2020	1071
Victoria	25-34	Speaks English not well or not at all	0	2021	308
Victoria	25-34	Speaks English well or very well	0		3152
Victoria	25-34	Speaks English well or very well	0	2005	26739
Victoria	25-34	Speaks English well or very well	0	2010	48444
Victoria	25-34	Speaks English well or very well	0	2015	68981
Victoria	25-34	Speaks English well or very well	0	2016	20129
Victoria	25-34	Speaks English well or very well	0	2017	22408
Victoria	25-34	Speaks English well or very well	0	2018	26081
Victoria	25-34	Speaks English well or very well	0	2019	26659
Victoria	25-34	Speaks English well or very well	0	2020	7330
Victoria	25-34	Speaks English well or very well	0	2021	1921
Victoria	35-44				804
Victoria	35-44			2005	57
Victoria	35-44			2010	72
Victoria	35-44			2015	68
Victoria	35-44			2016	14
Victoria	35-44			2017	20
Victoria	35-44			2018	14
Victoria	35-44			2019	11
Victoria	35-44			2021	3
Victoria	35-44		0		53
Victoria	35-44		0	2005	83
Victoria	35-44		0	2010	131
Victoria	35-44		0	2015	85
Victoria	35-44		0	2016	15
Victoria	35-44		0	2017	23
Victoria	35-44		0	2018	21
Victoria	35-44		0	2019	28
Victoria	35-44		0	2020	7
Victoria	35-44		0	2021	3
Victoria	35-44		1		1501
Victoria	35-44		1	2005	44609
Victoria	35-44		1	2010	21407
Victoria	35-44		1	2015	16155
Victoria	35-44		1	2016	2317
Victoria	35-44		1	2017	2134
Victoria	35-44		1	2018	1823
Victoria	35-44		1	2019	1739
Victoria	35-44		1	2020	687
Victoria	35-44		1	2021	326
Victoria	35-44	Speaks English not well or not at all	0		677
Victoria	35-44	Speaks English not well or not at all	0	2005	3406
Victoria	35-44	Speaks English not well or not at all	0	2010	7255
Victoria	35-44	Speaks English not well or not at all	0	2015	7983
Victoria	35-44	Speaks English not well or not at all	0	2016	2057
Victoria	35-44	Speaks English not well or not at all	0	2017	2203
Victoria	35-44	Speaks English not well or not at all	0	2018	2221
Victoria	35-44	Speaks English not well or not at all	0	2019	2378
Victoria	35-44	Speaks English not well or not at all	0	2020	831
Victoria	35-44	Speaks English not well or not at all	0	2021	291
Victoria	35-44	Speaks English well or very well	0		2181
Victoria	35-44	Speaks English well or very well	0	2005	70934
Victoria	35-44	Speaks English well or very well	0	2010	91429
Victoria	35-44	Speaks English well or very well	0	2015	55659
Victoria	35-44	Speaks English well or very well	0	2016	10817
Victoria	35-44	Speaks English well or very well	0	2017	10164
Victoria	35-44	Speaks English well or very well	0	2018	9188
Victoria	35-44	Speaks English well or very well	0	2019	8283
Victoria	35-44	Speaks English well or very well	0	2020	2767
Victoria	35-44	Speaks English well or very well	0	2021	1305
Victoria	45-54				478
Victoria	45-54			2005	97
Victoria	45-54			2010	30
Victoria	45-54			2015	27
Victoria	45-54			2016	4
Victoria	45-54			2018	3
Victoria	45-54			2019	9
Victoria	45-54			2020	3
Victoria	45-54			2021	3
Victoria	45-54		0		45
Victoria	45-54		0	2005	149
Victoria	45-54		0	2010	57
Victoria	45-54		0	2015	31
Victoria	45-54		0	2016	4
Victoria	45-54		0	2017	8
Victoria	45-54		0	2018	6
Victoria	45-54		0	2019	15
Victoria	45-54		0	2020	4
Victoria	45-54		1		1676
Victoria	45-54		1	2005	68171
Victoria	45-54		1	2010	13599
Victoria	45-54		1	2015	6906
Victoria	45-54		1	2016	844
Victoria	45-54		1	2017	827
Victoria	45-54		1	2018	651
Victoria	45-54		1	2019	643
Victoria	45-54		1	2020	381
Victoria	45-54		1	2021	157
Victoria	45-54	Speaks English not well or not at all	0		872
Victoria	45-54	Speaks English not well or not at all	0	2005	11967
Victoria	45-54	Speaks English not well or not at all	0	2010	6718
Victoria	45-54	Speaks English not well or not at all	0	2015	6783
Victoria	45-54	Speaks English not well or not at all	0	2016	1719
Victoria	45-54	Speaks English not well or not at all	0	2017	1819
Victoria	45-54	Speaks English not well or not at all	0	2018	1596
Victoria	45-54	Speaks English not well or not at all	0	2019	1888
Victoria	45-54	Speaks English not well or not at all	0	2020	785
Victoria	45-54	Speaks English not well or not at all	0	2021	189
Victoria	45-54	Speaks English well or very well	0		1534
Victoria	45-54	Speaks English well or very well	0	2005	79004
Victoria	45-54	Speaks English well or very well	0	2010	31440
Victoria	45-54	Speaks English well or very well	0	2015	15948
Victoria	45-54	Speaks English well or very well	0	2016	2607
Victoria	45-54	Speaks English well or very well	0	2017	2224
Victoria	45-54	Speaks English well or very well	0	2018	1809
Victoria	45-54	Speaks English well or very well	0	2019	1691
Victoria	45-54	Speaks English well or very well	0	2020	752
Victoria	45-54	Speaks English well or very well	0	2021	360
Victoria	55-64				359
Victoria	55-64			2005	136
Victoria	55-64			2010	17
Victoria	55-64			2015	15
Victoria	55-64			2016	4
Victoria	55-64			2017	3
Victoria	55-64			2020	5
Victoria	55-64		0		57
Victoria	55-64		0	2005	216
Victoria	55-64		0	2010	35
Victoria	55-64		0	2015	28
Victoria	55-64		0	2016	11
Victoria	55-64		0	2017	5
Victoria	55-64		0	2018	9
Victoria	55-64		0	2019	16
