LGA_NAME16	IndigenousStatus	persons
Upper Lachlan Shire	Aboriginal	260
Upper Lachlan Shire	Non-indigenous	8250
Upper Lachlan Shire	Torres Strait Islander	4
Uralla	Aboriginal	550
Uralla	Both Aboriginal & Torres Strait Islander	13
Uralla	Non-indigenous	5408
Wagga Wagga	Aboriginal	4325
Wagga Wagga	Both Aboriginal & Torres Strait Islander	69
Wagga Wagga	Non-indigenous	63140
Wagga Wagga	Torres Strait Islander	75
Walcha	Aboriginal	189
Walcha	Both Aboriginal & Torres Strait Islander	6
Walcha	Non-indigenous	2815
Walcha	Torres Strait Islander	6
Walgett	Aboriginal	1103
Walgett	Both Aboriginal & Torres Strait Islander	8
Walgett	Non-indigenous	4142
Warren	Aboriginal	385
Warren	Both Aboriginal & Torres Strait Islander	6
Warren	Non-indigenous	2155
Warren	Torres Strait Islander	4
Warrumbungle Shire	Aboriginal	956
Warrumbungle Shire	Both Aboriginal & Torres Strait Islander	18
Warrumbungle Shire	Non-indigenous	8241
Warrumbungle Shire	Torres Strait Islander	10
Waverley	Aboriginal	255
Waverley	Both Aboriginal & Torres Strait Islander	5
Waverley	Non-indigenous	68330
Waverley	Torres Strait Islander	15
Weddin	Aboriginal	158
Weddin	Both Aboriginal & Torres Strait Islander	11
Weddin	Non-indigenous	3436
Weddin	Torres Strait Islander	3
Wentworth	Aboriginal	599
Wentworth	Both Aboriginal & Torres Strait Islander	15
Wentworth	Non-indigenous	6829
Wentworth	Torres Strait Islander	10
Willoughby	Aboriginal	197
Willoughby	Both Aboriginal & Torres Strait Islander	3
Willoughby	Non-indigenous	75405
Willoughby	Torres Strait Islander	8
Wingecarribee	Aboriginal	1161
Wingecarribee	Both Aboriginal & Torres Strait Islander	33
Wingecarribee	Non-indigenous	51499
Wingecarribee	Torres Strait Islander	16
Wollondilly	Aboriginal	2303
Wollondilly	Both Aboriginal & Torres Strait Islander	32
Wollondilly	Non-indigenous	51597
Wollondilly	Torres Strait Islander	29
Wollongong	Aboriginal	6704
Wollongong	Both Aboriginal & Torres Strait Islander	111
Wollongong	Non-indigenous	207620
Wollongong	Torres Strait Islander	129
Woollahra	Aboriginal	151
Woollahra	Both Aboriginal & Torres Strait Islander	10
Woollahra	Non-indigenous	53324
Woollahra	Torres Strait Islander	11
Yass Valley	Aboriginal	538
Yass Valley	Both Aboriginal & Torres Strait Islander	3
Yass Valley	Non-indigenous	16731
Yass Valley	Torres Strait Islander	9
Unincorporated NSW	Aboriginal	30
Unincorporated NSW	Both Aboriginal & Torres Strait Islander	3
Unincorporated NSW	Non-indigenous	983
No usual address (NSW)	Aboriginal	1175
No usual address (NSW)	Both Aboriginal & Torres Strait Islander	35
No usual address (NSW)	Non-indigenous	10141
No usual address (NSW)	Torres Strait Islander	20
Alpine	Aboriginal	125
Alpine	Both Aboriginal & Torres Strait Islander	4
Alpine	Non-indigenous	13106
Ararat	Aboriginal	214
Ararat	Both Aboriginal & Torres Strait Islander	3
Ararat	Non-indigenous	11650
Ararat	Torres Strait Islander	13
Ballarat	Aboriginal	1975
Ballarat	Both Aboriginal & Torres Strait Islander	44
Ballarat	Non-indigenous	111669
Ballarat	Torres Strait Islander	75
Banyule	Aboriginal	814
Banyule	Both Aboriginal & Torres Strait Islander	25
Banyule	Non-indigenous	125365
Banyule	Torres Strait Islander	32
Bass Coast	Aboriginal	431
Bass Coast	Both Aboriginal & Torres Strait Islander	18
Bass Coast	Non-indigenous	40325
Bass Coast	Torres Strait Islander	15
Baw Baw	Aboriginal	698
Baw Baw	Both Aboriginal & Torres Strait Islander	13
Baw Baw	Non-indigenous	56898
Baw Baw	Torres Strait Islander	17
Bayside (Vic.)	Aboriginal	258
Bayside (Vic.)	Non-indigenous	101043
Bayside (Vic.)	Torres Strait Islander	5
Benalla	Aboriginal	270
Benalla	Both Aboriginal & Torres Strait Islander	3
Benalla	Non-indigenous	14251
Benalla	Torres Strait Islander	4
Boroondara	Aboriginal	410
Boroondara	Both Aboriginal & Torres Strait Islander	13
Boroondara	Non-indigenous	167460
Boroondara	Torres Strait Islander	17
Brimbank	Aboriginal	806
Brimbank	Both Aboriginal & Torres Strait Islander	30
Brimbank	Non-indigenous	193763
Brimbank	Torres Strait Islander	19
Buloke	Aboriginal	84
Buloke	Non-indigenous	6082
Buloke	Torres Strait Islander	12
Campaspe	Aboriginal	1117
Campaspe	Both Aboriginal & Torres Strait Islander	22
Campaspe	Non-indigenous	37566
Campaspe	Torres Strait Islander	30
Cardinia	Aboriginal	1077
Cardinia	Both Aboriginal & Torres Strait Islander	23
Cardinia	Non-indigenous	117049
Cardinia	Torres Strait Islander	45
Casey	Aboriginal	2252
Casey	Both Aboriginal & Torres Strait Islander	62
Casey	Non-indigenous	362839
Casey	Torres Strait Islander	86
Central Goldfields	Aboriginal	291
Central Goldfields	Both Aboriginal & Torres Strait Islander	3
Central Goldfields	Non-indigenous	13180
Central Goldfields	Torres Strait Islander	9
Colac Otway	Aboriginal	304
Colac Otway	Both Aboriginal & Torres Strait Islander	3
Colac Otway	Non-indigenous	22108
Colac Otway	Torres Strait Islander	8
Corangamite	Aboriginal	188
Corangamite	Both Aboriginal & Torres Strait Islander	4
Corangamite	Non-indigenous	15911
Corangamite	Torres Strait Islander	12
Darebin	Aboriginal	1348
Darebin	Both Aboriginal & Torres Strait Islander	46
Darebin	Non-indigenous	147129
Darebin	Torres Strait Islander	47
East Gippsland	Aboriginal	1648
East Gippsland	Both Aboriginal & Torres Strait Islander	14
East Gippsland	Non-indigenous	47031
East Gippsland	Torres Strait Islander	22
Frankston	Aboriginal	1679
Frankston	Both Aboriginal & Torres Strait Islander	48
Frankston	Non-indigenous	137478
Frankston	Torres Strait Islander	76
Gannawarra	Aboriginal	253
Gannawarra	Both Aboriginal & Torres Strait Islander	8
Gannawarra	Non-indigenous	10419
Gannawarra	Torres Strait Islander	3
Glen Eira	Aboriginal	381
Glen Eira	Both Aboriginal & Torres Strait Islander	13
Glen Eira	Non-indigenous	148495
Glen Eira	Torres Strait Islander	19
Glenelg	Aboriginal	554
Glenelg	Both Aboriginal & Torres Strait Islander	13
Glenelg	Non-indigenous	19577
Glenelg	Torres Strait Islander	8
Golden Plains	Aboriginal	344
Golden Plains	Both Aboriginal & Torres Strait Islander	19
Golden Plains	Non-indigenous	24608
Golden Plains	Torres Strait Islander	14
Greater Bendigo	Aboriginal	2594
Greater Bendigo	Both Aboriginal & Torres Strait Islander	56
Greater Bendigo	Non-indigenous	118732
Greater Bendigo	Torres Strait Islander	88
Greater Dandenong	Aboriginal	563
Greater Dandenong	Both Aboriginal & Torres Strait Islander	14
Greater Dandenong	Non-indigenous	157594
Greater Dandenong	Torres Strait Islander	37
Greater Geelong	Aboriginal	3381
Greater Geelong	Both Aboriginal & Torres Strait Islander	92
Greater Geelong	Non-indigenous	267495
Greater Geelong	Torres Strait Islander	89
Greater Shepparton	Aboriginal	2547
Greater Shepparton	Both Aboriginal & Torres Strait Islander	76
Greater Shepparton	Non-indigenous	65722
Greater Shepparton	Torres Strait Islander	64
Hepburn	Aboriginal	177
Hepburn	Non-indigenous	16423
Hepburn	Torres Strait Islander	4
Hindmarsh	Aboriginal	88
Hindmarsh	Non-indigenous	5610
Hobsons Bay	Aboriginal	582
Hobsons Bay	Both Aboriginal & Torres Strait Islander	16
Hobsons Bay	Non-indigenous	90694
Hobsons Bay	Torres Strait Islander	30
Horsham	Aboriginal	336
Horsham	Both Aboriginal & Torres Strait Islander	8
Horsham	Non-indigenous	20070
Horsham	Torres Strait Islander	15
Hume	Aboriginal	1735
Hume	Both Aboriginal & Torres Strait Islander	45
Hume	Non-indigenous	242037
Hume	Torres Strait Islander	84
Indigo	Aboriginal	250
Indigo	Both Aboriginal & Torres Strait Islander	13
Indigo	Non-indigenous	17091
Indigo	Torres Strait Islander	14
Kingston (Vic.)	Aboriginal	663
Kingston (Vic.)	Both Aboriginal & Torres Strait Islander	19
Kingston (Vic.)	Non-indigenous	157406
Kingston (Vic.)	Torres Strait Islander	41
Knox	Aboriginal	974
Knox	Both Aboriginal & Torres Strait Islander	22
Knox	Non-indigenous	158078
Knox	Torres Strait Islander	29
Latrobe (Vic.)	Aboriginal	1531
Latrobe (Vic.)	Both Aboriginal & Torres Strait Islander	41
Latrobe (Vic.)	Non-indigenous	75655
Latrobe (Vic.)	Torres Strait Islander	91
Loddon	Aboriginal	154
Loddon	Both Aboriginal & Torres Strait Islander	5
Loddon	Non-indigenous	7586
Loddon	Torres Strait Islander	14
Macedon Ranges	Aboriginal	444
Macedon Ranges	Both Aboriginal & Torres Strait Islander	12
Macedon Ranges	Non-indigenous	50977
Macedon Ranges	Torres Strait Islander	25
Manningham	Aboriginal	280
Manningham	Both Aboriginal & Torres Strait Islander	11
Manningham	Non-indigenous	124397
Manningham	Torres Strait Islander	12
Mansfield	Aboriginal	103
Mansfield	Non-indigenous	10069
Mansfield	Torres Strait Islander	6
Maribyrnong	Aboriginal	600
Maribyrnong	Both Aboriginal & Torres Strait Islander	14
Maribyrnong	Non-indigenous	84572
Maribyrnong	Torres Strait Islander	23
Maroondah	Aboriginal	687
Maroondah	Both Aboriginal & Torres Strait Islander	17
Maroondah	Non-indigenous	114308
Maroondah	Torres Strait Islander	31
Melbourne	Aboriginal	707
Melbourne	Both Aboriginal & Torres Strait Islander	37
Melbourne	Non-indigenous	148847
Melbourne	Torres Strait Islander	24
Melton	Aboriginal	2027
Melton	Both Aboriginal & Torres Strait Islander	57
Melton	Non-indigenous	176832
Melton	Torres Strait Islander	44
Mildura	Aboriginal	2494
Mildura	Both Aboriginal & Torres Strait Islander	79
Mildura	Non-indigenous	54353
Mildura	Torres Strait Islander	46
Mitchell	Aboriginal	1032
Mitchell	Both Aboriginal & Torres Strait Islander	18
Mitchell	Non-indigenous	48387
Mitchell	Torres Strait Islander	23
Moira	Aboriginal	599
Moira	Both Aboriginal & Torres Strait Islander	24
Moira	Non-indigenous	29878
Moira	Torres Strait Islander	21
Monash	Aboriginal	491
Monash	Both Aboriginal & Torres Strait Islander	18
Monash	Non-indigenous	189875
Monash	Torres Strait Islander	13
Moonee Valley	Aboriginal	516
Moonee Valley	Both Aboriginal & Torres Strait Islander	23
Moonee Valley	Non-indigenous	121280
Moonee Valley	Torres Strait Islander	32
Moorabool	Aboriginal	518
Moorabool	Both Aboriginal & Torres Strait Islander	13
Moorabool	Non-indigenous	37082
